ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DocumentConfiguration	CreditLifeInsuranceFinChange	actors	Operations	Operations	ОПЕРУ	Operations
DocumentFlowDefinition	CreditLifeInsuranceFinChangeFlow	transitions	transitions@Draft_to_Cancelled@Title	Draft_to_Cancelled	Аннулировать	Draft_to_Cancelled
DocumentFlowDefinition	CreditLifeInsuranceFinChangeFlow	operations	operations@Save@Title	Save	Сохранить	Save
DocumentFlowDefinition	CreditLifeInsuranceFinChangeFlow	states	states@Draft	Draft	Проект	Draft
DocumentFlowDefinition	CreditLifeInsuranceFinChangeFlow	states	states@Cancelled	Cancelled	Аннулирован	Cancelled
UiSchema	CreditLifeInsuranceFinChangeMainContent	ui-label	amendment	amendment	ДС	amendment
UiSchema	CreditLifeInsuranceFinChangeMainContent	ui-label	Insurance Conditions	Insurance Conditions	Условия страхования	Insurance Conditions
UiSchema	CreditLifeInsuranceFinChangeMainContent	ui-label	Participants	Participants	Участники	Participants
UiSchema	CreditLifeInsuranceFinChangeMainContent	ui-label	Additional Conditions	Additional Conditions	Дополнительные условия	Additional Conditions
UiSchema	CreditLifeInsuranceFinChangeMainContent	ui-label	PaymentPlan	PaymentPlan	График платежей	PaymentPlan
UiSchema	CreditLifeInsuranceFinChangeMainContent	ui-label	Underwriting	Underwriting	Андеррайтинг	Underwriting
UiSchema	CreditLifeInsuranceFinChangeMainContent	ui-label	commissionTab	commissionTab	Комиссия	commissionTab
DocumentConfiguration	CreditLifeInsuranceFinChange	rootConfiguration	CreditLifeInsuranceFinChange@Title	CreditLifeInsuranceFinChange	ДС на финансовые изменения	CreditLifeInsuranceFinChange
DataSchema	CreditLifeInsuranceFinChange	field-title	commentIsRequired	commentIsRequired	Комментарий обязателен для заполнения	commentIsRequired
DataSchema	CreditLifeInsuranceFinChange	field-title	commentAuthorIsRequired	commentAuthorIsRequired	Автор комментария обязателен для заполнения	commentAuthorIsRequired
UiSchema	CreditLifeInsuranceFinChangeMainContent	ui-label	History	History	История	History
DocumentConfiguration	CreditLifeInsuranceFinChange	actors	System	System	Система	System
DocumentFlowDefinition	CreditLifeInsuranceFinChangeFlow	states	states@Activated	Activated	Действует	Activated
DataSchema	CreditLifeInsuranceFinChange	field-title	isAutoconversionAmendment	isAutoconversionAmendment	ДС создано автоконверсией	isAutoconversionAmendment
DocumentFlowDefinition	CreditLifeInsuranceFinChangeFlow	transitions	transitions@Draft_to_OperationsApproval@Title	Draft_to_OperationsApproval	Отправить на рассмотрение ОПЕРУ	Draft_to_OperationsApproval
DocumentFlowDefinition	CreditLifeInsuranceFinChangeFlow	transitions	transitions@OperationsApproval_to_Cancelled@Title	OperationsApproval_to_Cancelled	Аннулировать	OperationsApproval_to_Cancelled
DocumentFlowDefinition	CreditLifeInsuranceFinChangeFlow	transitions	transitions@OperationsApproval_to_Activated@Title	OperationsApproval_to_Activated	Действует	OperationsApproval_to_Activated
DocumentFlowDefinition	CreditLifeInsuranceFinChangeFlow	states	states@OperationsApproval	OperationsApproval	На рассмотрении группы ОПЕРУ	OperationsApproval
