ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
DocumentConfiguration	CreditLifeInsurancePortfolioMovement	actors	Operations	Operations	Operations	ОПЕРУ
DocumentConfiguration	CreditLifeInsurancePortfolioMovement	actors	System	System	System	Система
DocumentFlowDefinition	CreditLifeInsurancePortfolioMovementFlow	transitions	transitions@Draft_to_Cancelled@Title	Draft_to_Cancelled	Draft_to_Cancelled	Отменить
DocumentFlowDefinition	CreditLifeInsurancePortfolioMovementFlow	transitions	transitions@Draft_to_Activated@Title	Draft_to_Activated	Draft_to_Activated	Проект -> Действует
DocumentFlowDefinition	CreditLifeInsurancePortfolioMovementFlow	operations	operations@Save@Title	Save	Save	Сохранить
DocumentFlowDefinition	CreditLifeInsurancePortfolioMovementFlow	states	states@Draft	Draft	Draft	Черновик
DocumentFlowDefinition	CreditLifeInsurancePortfolioMovementFlow	states	states@Activated	Activated	Activated	Активировать
DocumentFlowDefinition	CreditLifeInsurancePortfolioMovementFlow	states	states@Cancelled	Cancelled	Cancelled	Отменить
UiSchema	CreditLifeInsurancePortfolioMovementMainContent	ui-label	amendment	amendment	amendment	ДС
UiSchema	CreditLifeInsurancePortfolioMovementMainContent	ui-label	Insurance Conditions	Insurance Conditions	Insurance Conditions	Условия страхования
UiSchema	CreditLifeInsurancePortfolioMovementMainContent	ui-label	commissionTab	commissionTab	commissionTab	Комиссия
DocumentConfiguration	CreditLifeInsurancePortfolioMovement	rootConfiguration	CreditLifeInsurancePortfolioMovement@Title	CreditLifeInsurancePortfolioMovement	CreditLifeInsurancePortfolioMovement	ДС на передачу портфеля
DataSchema	CreditLifeInsurancePortfolioMovement	field-title	commentIsRequired	commentIsRequired	commentIsRequired	Комментарий обязателен для заполнения
DataSchema	CreditLifeInsurancePortfolioMovement	field-title	commentAuthorIsRequired	commentAuthorIsRequired	commentAuthorIsRequired	Автор комментария обязателен для заполнения
