ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DataSchema	CreditLifeInsuranceQuote	field-title	commentAuthorIsRequired	commentAuthorIsRequired	commentAuthorIsRequired	commentAuthorIsRequired
DataSchema	CreditLifeInsuranceQuote	field-title	commentIsRequired	commentIsRequired	commentIsRequired	commentIsRequired
DocumentConfiguration	CreditLifeInsuranceQuote	actors	Agent	Agent	Агент	Agent
DocumentConfiguration	CreditLifeInsuranceQuote	actors	Operations	Operations	ОПЕРУ	Operations
DocumentConfiguration	CreditLifeInsuranceQuote	actors	UKSP	UKSP	УКСП	UKSP
DocumentConfiguration	CreditLifeInsuranceQuote	actors	Underwriter	Underwriter	Андеррайтер	Underwriter
DocumentConfiguration	CreditLifeInsuranceQuote	actors	Viewer	Viewer	Просмотр	Viewer
DocumentConfiguration	CreditLifeInsuranceQuote	rootConfiguration	CreditLifeInsuranceQuote@Title	CreditLifeInsuranceQuote	КСЖ. Заявка на страхование	CreditLifeInsuranceQuote
DocumentFlowDefinition	CreditLifeInsuranceQuoteFlow	operations	operations@Save@Title	Save	Сохранить	Save
DocumentFlowDefinition	CreditLifeInsuranceQuoteFlow	states	states@Approved	Approved	Согласована	Approved
DocumentFlowDefinition	CreditLifeInsuranceQuoteFlow	states	states@Cancelled	Cancelled	Отменена	Cancelled
DocumentFlowDefinition	CreditLifeInsuranceQuoteFlow	states	states@Draft	Draft	Проект	Draft
DocumentFlowDefinition	CreditLifeInsuranceQuoteFlow	states	states@InfoRequest	InfoRequest	Запрос информации	InfoRequest
DocumentFlowDefinition	CreditLifeInsuranceQuoteFlow	states	states@Issued	Issued	Создан договор	Issued
DocumentFlowDefinition	CreditLifeInsuranceQuoteFlow	states	states@OnReview	OnReview	На рассмотрении в СК	OnReview
DocumentFlowDefinition	CreditLifeInsuranceQuoteFlow	states	states@Rejected	Rejected	Не согласована	Rejected
DocumentFlowDefinition	CreditLifeInsuranceQuoteFlow	transitions	transitions@Approved_to_Cancelled@Title	Approved_to_Cancelled	Отменить	Approved_to_Cancelled
DocumentFlowDefinition	CreditLifeInsuranceQuoteFlow	transitions	transitions@Approved_to_Issued@Title	Approved_to_Issued	Согласована -> Создан договор	Approved_to_Issued
DocumentFlowDefinition	CreditLifeInsuranceQuoteFlow	transitions	transitions@Draft_to_Approved@Title	Draft_to_Approved	Согласовать	Draft_to_Approved
DocumentFlowDefinition	CreditLifeInsuranceQuoteFlow	transitions	transitions@Draft_to_Cancelled@Title	Draft_to_Cancelled	Отменить	Draft_to_Cancelled
DocumentFlowDefinition	CreditLifeInsuranceQuoteFlow	transitions	transitions@Draft_to_OnReview@Title	Draft_to_OnReview	Отправить в СК	Draft_to_OnReview
DocumentFlowDefinition	CreditLifeInsuranceQuoteFlow	transitions	transitions@InfoRequest_to_Cancelled@Title	InfoRequest_to_Cancelled	Отменить	InfoRequest_to_Cancelled
DocumentFlowDefinition	CreditLifeInsuranceQuoteFlow	transitions	transitions@InfoRequest_to_OnReview@Title	InfoRequest_to_OnReview	Отправить в СК	InfoRequest_to_OnReview
DocumentFlowDefinition	CreditLifeInsuranceQuoteFlow	transitions	transitions@OnReview_to_Approved@Title	OnReview_to_Approved	Согласовать	OnReview_to_Approved
DocumentFlowDefinition	CreditLifeInsuranceQuoteFlow	transitions	transitions@OnReview_to_InfoRequest@Title	OnReview_to_InfoRequest	Запросить информацию	OnReview_to_InfoRequest
DocumentFlowDefinition	CreditLifeInsuranceQuoteFlow	transitions	transitions@OnReview_to_Rejected@Title	OnReview_to_Rejected	Отказать	OnReview_to_Rejected
DocumentFlowDefinition	CreditLifeInsuranceQuoteFlow	transitions	transitions@Rejected_to_Cancelled@Title	Rejected_to_Cancelled	Не согласована -> Отменена	Rejected_to_Cancelled
Rule	CreditLifeInsuranceQuoteDraft_to_OnReviewTransitionRule	rule	validation@Draft_to_OnReview_ApplicationAttachment	Draft_to_OnReview	E: Необходимо добавить вложение с типом 'Заявление на страхование'	E: validation@Draft_to_OnReview_ApplicationAttachment
Rule	CreditLifeInsuranceQuoteDraft_to_OnReviewTransitionRule	rule	validation@Draft_to_OnReview_BlockTrigger	Draft_to_OnReview	E: При указанных параметрах заявка не может быть согласована, см. причины на закладке СОГЛАСОВАНИЕ СК	E: validation@Draft_to_OnReview_BlockTrigger
Rule	CreditLifeInsuranceQuoteDraft_to_OnReviewTransitionRule	rule	validation@Draft_to_OnReview_NoTriger	Draft_to_OnReview	N: Согласование СК не требуется	N: validation@Draft_to_OnReview_NoTriger
Rule	CreditLifeInsuranceQuoteOnReview_to_InfoRequestTransitionRule	rule	validation@OnReview_to_InfoRequest_EmptyCommentOperations	OnReview_to_InfoRequest	E: Необходимо указать комментарий СК на закладке СОГЛАСОВАНИЕ СК	E: validation@OnReview_to_InfoRequest_EmptyCommentOperations
Rule	CreditLifeInsuranceQuoteOnReview_to_RejectedTransitionRule	rule	validation@OnReview_to_Rejected_EmptyCommentOperations	OnReview_to_Rejected	E: Необходимо указать комментарий СК на закладке СОГЛАСОВАНИЕ СК	E: validation@OnReview_to_Rejected_EmptyCommentOperations
UiSchema	CreditLifeInsuranceQuoteMainContent	ui-label	Additional Conditions	Additional Conditions	Дополнительные условия	Additional Conditions
UiSchema	CreditLifeInsuranceQuoteMainContent	ui-label	History	History	История	History
UiSchema	CreditLifeInsuranceQuoteMainContent	ui-label	Insurance Conditions	Insurance Conditions	Условия страхования	Insurance Conditions
UiSchema	CreditLifeInsuranceQuoteMainContent	ui-label	Participants	Participants	Участники	Participants
UiSchema	CreditLifeInsuranceQuoteMainContent	ui-label	PaymentPlan	PaymentPlan	График платежей	PaymentPlan
UiSchema	CreditLifeInsuranceQuoteMainContent	ui-label	save	save	Рассчитать	save
DocumentFlowDefinition	CreditLifeInsuranceQuoteFlow	transitions	transitions@Draft_to_Issued@Title	Draft_to_Issued	Проект -> Создан договор	Draft_to_Issued
UiSchema	CreditLifeInsuranceQuoteMainContent	ui-label	commissionTab	commissionTab	Комиссия	commissionTab
UiSchema	CreditLifeInsuranceQuoteMainContent	ui-label	Review	Review	Согласование СК	Review
UiSchema	CreditLifeInsuranceQuoteMainContent	ui-label	Underwriting	Underwriting	Андеррайтинг	Underwriting
DocumentFlowDefinition	CreditLifeInsuranceQuoteFlow	transitions	transitions@Rejected_to_Draft@Title	Rejected_to_Draft	Не согласована -> Проект	Rejected_to_Draft
DocumentFlowDefinition	CreditLifeInsuranceQuoteFlow	transitions	transitions@Cancelled_to_Draft@Title	Cancelled_to_Draft	Отменена -> Проект	Cancelled_to_Draft
DocumentConfiguration	CreditLifeInsuranceQuote	actors	System	System	Система	System
DocumentFlowDefinition	CreditLifeInsuranceQuoteFlow	transitions	transitions@ChangeUnderwritingGroup_to_OnReview@Title	ChangeUnderwritingGroup_to_OnReview	Отправить в СК	ChangeUnderwritingGroup_to_OnReview
DocumentFlowDefinition	CreditLifeInsuranceQuoteFlow	transitions	transitions@OnReview_to_ChangeUnderwritingGroup@Title	OnReview_to_ChangeUnderwritingGroup	Перевод на группу Андеррайтинг 2	OnReview_to_ChangeUnderwritingGroup
DocumentFlowDefinition	CreditLifeInsuranceQuoteFlow	states	states@ChangeUnderwritingGroup	ChangeUnderwritingGroup	Перевод между группами андеррайтинга	ChangeUnderwritingGroup
