ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
DocumentConfiguration	CreditLifeInsuranceReactivation	actors	Operations	Operations	Operations	ОПЕРУ
DocumentConfiguration	CreditLifeInsuranceReactivation	actors	Viewer	Viewer	Viewer	Просмотр
DocumentFlowDefinition	CreditLifeInsuranceReactivationFlow	transitions	transitions@Draft_to_Activated@Title	Draft_to_Activated	Draft_to_Activated	Подтвердить
DocumentFlowDefinition	CreditLifeInsuranceReactivationFlow	transitions	transitions@Draft_to_Cancelled@Title	Draft_to_Cancelled	Draft_to_Cancelled	Отменить
DocumentFlowDefinition	CreditLifeInsuranceReactivationFlow	operations	operations@Save@Title	Save	Save	Сохранить
DocumentFlowDefinition	CreditLifeInsuranceReactivationFlow	states	states@Draft	Draft	Draft	Проект
DocumentFlowDefinition	CreditLifeInsuranceReactivationFlow	states	states@Activated	Activated	Activated	Действует
DocumentFlowDefinition	CreditLifeInsuranceReactivationFlow	states	states@Cancelled	Cancelled	Cancelled	Аннулирован
UiSchema	CreditLifeInsuranceReactivationMainContent	ui-label	tabAmendmentConditions	tabAmendmentConditions	tabAmendmentConditions	Общая информация
UiSchema	CreditLifeInsuranceReactivationMainContent	ui-label	History	History	History	История статусов
DocumentConfiguration	CreditLifeInsuranceReactivation	rootConfiguration	CreditLifeInsuranceReactivation@Title	CreditLifeInsuranceReactivation	CreditLifeInsuranceReactivation	ДС на восстановление
DataSchema	CreditLifeInsuranceReactivation	field-title	commentIsRequired	commentIsRequired	commentIsRequired	Комментарий обязателен
DataSchema	CreditLifeInsuranceReactivation	field-title	commentAuthorIsRequired	commentAuthorIsRequired	commentAuthorIsRequired	Автор комментария обязателен
DocumentConfiguration	CreditLifeInsuranceReactivation	actors	System	System	System	Система
