ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
UiSchema	CreditLifeInsuranceTechnicalAmendmentMainContent	ui-label	amendment	amendment	amendment	ДС
DocumentConfiguration	CreditLifeInsuranceTechnicalAmendment	actors	Viewer	Viewer	Viewer	Просмотр
DocumentFlowDefinition	CreditLifeInsuranceTechnicalAmendmentFlow	states	states@Activated	Activated	Activated	Действует
DocumentConfiguration	CreditLifeInsuranceTechnicalAmendment	rootConfiguration	CreditLifeInsuranceTechnicalAmendment@Title	CreditLifeInsuranceTechnicalAmendment	CreditLifeInsuranceTechnicalAmendment	Техническое дополнительное соглашение
DocumentConfiguration	CreditLifeInsuranceTechnicalAmendment	actors	System	System	System	Система
DocumentFlowDefinition	CreditLifeInsuranceTechnicalAmendmentFlow	states	states@Draft	Draft	Draft	Проект
DocumentFlowDefinition	CreditLifeInsuranceTechnicalAmendmentFlow	transitions	transitions@Draft_to_Activated@Title	Draft_to_Activated	Draft_to_Activated	Проект -> Действует
DocumentFlowDefinition	CreditLifeInsuranceTechnicalAmendmentFlow	operations	operations@Save@Title	Save	Save	Сохранить
DocumentFlowDefinition	CreditLifeInsuranceTechnicalAmendmentFlow	transitions	transitions@Draft_to_Cancelled@Title	Draft_to_Cancelled	Draft_to_Cancelled	Проект -> Отменён
DocumentFlowDefinition	CreditLifeInsuranceTechnicalAmendmentFlow	states	states@Cancelled	Cancelled	Cancelled	Отменён
DocumentConfiguration	CreditLifeInsuranceTechnicalAmendment	actors	Operations	Operations	Operations	ОПЕРУ
