ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DocumentConfiguration	ImportCreditLifeCoolOff	actors	Operations	Operations	ОПЕРУ	Operations
DocumentConfiguration	ImportCreditLifeCoolOff	actors	System	System	System	System
DocumentFlowDefinition	ImportCreditLifeCoolOffFlow	transitions	transitions@StartLoading@Title	StartLoading	Начать загрузку	StartLoading
DocumentFlowDefinition	ImportCreditLifeCoolOffFlow	transitions	transitions@FinishLoading@Title	FinishLoading	Закончить загрузку	FinishLoading
DocumentFlowDefinition	ImportCreditLifeCoolOffFlow	transitions	transitions@ChangeImportData@Title	ChangeImportData	Изменить данные	ChangeImportData
DocumentFlowDefinition	ImportCreditLifeCoolOffFlow	transitions	transitions@CancelLoaded@Title	CancelLoaded	Отменить загрузку	CancelLoaded
DocumentFlowDefinition	ImportCreditLifeCoolOffFlow	transitions	transitions@StartImporting@Title	StartImporting	Начать импорт	StartImporting
DocumentFlowDefinition	ImportCreditLifeCoolOffFlow	transitions	transitions@FinishImporting@Title	FinishImporting	Закончить импорт	FinishImporting
DocumentFlowDefinition	ImportCreditLifeCoolOffFlow	operations	operations@Save@Title	Save	Сохранить	Save
DocumentFlowDefinition	ImportCreditLifeCoolOffFlow	states	states@Draft	Draft	Проект	Draft
DocumentFlowDefinition	ImportCreditLifeCoolOffFlow	states	states@Loading	Loading	Загрузка	Loading
DocumentFlowDefinition	ImportCreditLifeCoolOffFlow	states	states@Loaded	Loaded	Загружено	Loaded
DocumentFlowDefinition	ImportCreditLifeCoolOffFlow	states	states@Cancelled	Cancelled	Отменено	Cancelled
DocumentFlowDefinition	ImportCreditLifeCoolOffFlow	states	states@Importing	Importing	Импорт	Importing
DocumentFlowDefinition	ImportCreditLifeCoolOffFlow	states	states@Imported	Imported	Импортировано	Imported
UiSchema	ImportCreditLifeCoolOffUiSchema	ui-label	GeneralInfo	GeneralInfo	Общая информация	GeneralInfo
UiSchema	ImportCreditLifeCoolOffUiSchema	ui-label	FileSelection	FileSelection	Выбор файла	FileSelection
UiSchema	ImportCreditLifeCoolOffUiSchema	ui-label	LoadedData	LoadedData	Загруженные данные	LoadedData
UiSchema	ImportCreditLifeCoolOffUiSchema	ui-label	LoadDataErrors	LoadDataErrors	Ошибки при загрузке	LoadDataErrors
UiSchema	ImportCreditLifeCoolOffUiSchema	ui-label	ImportedData	ImportedData	Импортированные данные	ImportedData
DocumentConfiguration	ImportCreditLifeCoolOff	rootConfiguration	ImportCreditLifeCoolOff@Title	ImportCreditLifeCoolOff	Импорт КСЖ. Период охлаждения	ImportCreditLifeCoolOff
Rule	ImportCreditLifeCoolOffValidationImportCreditLifePolicy	rule	validation@fileIsRequired	validationImportCreditLifePolicy	E: Необходимо выбрать файл	E: validation@fileIsRequired
