ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DocumentConfiguration	ImportCreditLifePolicy	actors	Operations	Operations	ОПЕРУ	Operations
DocumentConfiguration	ImportCreditLifePolicy	actors	System	System	System	System
DocumentFlowDefinition	ImportCreditLifePolicyFlow	transitions	transitions@StartLoading@Title	StartLoading	Начать загрузку	StartLoading
DocumentFlowDefinition	ImportCreditLifePolicyFlow	transitions	transitions@FinishLoading@Title	FinishLoading	Закончить загрузку	FinishLoading
DocumentFlowDefinition	ImportCreditLifePolicyFlow	transitions	transitions@ChangeImportData@Title	ChangeImportData	Изменить данные	ChangeImportData
DocumentFlowDefinition	ImportCreditLifePolicyFlow	transitions	transitions@CancelLoaded@Title	CancelLoaded	Отменить загрузку	CancelLoaded
DocumentFlowDefinition	ImportCreditLifePolicyFlow	transitions	transitions@StartImporting@Title	StartImporting	Начать импорт	StartImporting
DocumentFlowDefinition	ImportCreditLifePolicyFlow	transitions	transitions@FinishImporting@Title	FinishImporting	Закончить импорт	FinishImporting
DocumentFlowDefinition	ImportCreditLifePolicyFlow	operations	operations@Save@Title	Save	Сохранить	Save
DocumentFlowDefinition	ImportCreditLifePolicyFlow	states	states@Draft	Draft	Проект	Draft
DocumentFlowDefinition	ImportCreditLifePolicyFlow	states	states@Loading	Loading	Загрузка	Loading
DocumentFlowDefinition	ImportCreditLifePolicyFlow	states	states@Loaded	Loaded	Загружено	Loaded
DocumentFlowDefinition	ImportCreditLifePolicyFlow	states	states@Cancelled	Cancelled	Отменено	Cancelled
DocumentFlowDefinition	ImportCreditLifePolicyFlow	states	states@Importing	Importing	Импорт	Importing
DocumentFlowDefinition	ImportCreditLifePolicyFlow	states	states@Imported	Imported	Импортировано	Imported
UiSchema	ImportCreditLifePolicyUiSchema	ui-label	GeneralInfo	GeneralInfo	Общая информация	GeneralInfo
UiSchema	ImportCreditLifePolicyUiSchema	ui-label	FileSelection	FileSelection	Выбор файла	FileSelection
UiSchema	ImportCreditLifePolicyUiSchema	ui-label	LoadedData	LoadedData	Загруженные данные	LoadedData
UiSchema	ImportCreditLifePolicyUiSchema	ui-label	LoadDataErrors	LoadDataErrors	Ошибки при загрузке	LoadDataErrors
UiSchema	ImportCreditLifePolicyUiSchema	ui-label	ImportedData	ImportedData	Импортированные данные	ImportedData
DocumentConfiguration	ImportCreditLifePolicy	rootConfiguration	ImportCreditLifePolicy@Title	ImportCreditLifePolicy	Импорт КСЖ. Договоры	ImportCreditLifePolicy
UiSchema	ImportCreditLifePolicyUiSchema	ui-label	OrganisationInfo	OrganisationInfo	Орг. данные	OrganisationInfo
UiSchema	ImportCreditLifePolicyUiSchema	ui-label	partner	partner	Партнер	partner
UiSchema	ImportCreditLifePolicyUiSchema	ui-label	employeeName	employeeName	Инициатор	employeeName
Rule	ImportCreditLifePolicyValidationImportCreditLifePolicy	rule	validation@fileIsRequired	validationImportCreditLifePolicy	E: Необходимо выбрать файл	E: validation@fileIsRequired
Rule	ImportCreditLifePolicyValidationImportCreditLifePolicy	rule	validation@partnerIsRequired	validationImportCreditLifePolicy	E: Необходимо выбрать партнера	E: validation@partnerIsRequired
Rule	ImportCreditLifePolicyValidationImportCreditLifePolicy	rule	validation@initiatorIsRequired	validationImportCreditLifePolicy	E: Необходимо выбрать инициатора	E: validation@initiatorIsRequired
UiSchema	ImportCreditLifePolicyUiSchema	ui-label	agentAgreement	agentAgreement	Агентский договор	agentAgreement
Rule	ImportCreditLifePolicyValidationImportCreditLifePolicy	rule	validation@agentAgreementIsRequired	validationImportCreditLifePolicy	E: Необходимо выбрать агентский договор	E: validation@agentAgreementIsRequired
