ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
ViewConfiguration	CreditLifeImportLoadSuccess	actors	General	General	General	General
UiSchema	CreditLifeImportLoadSuccessUiSchema	ui-label	Loaded data	Loaded data	Loaded data	Загруженные данные
ViewConfiguration	CreditLifeImportLoadSuccess	rootConfiguration	CreditLifeImportLoadSuccess@Title	CreditLifeImportLoadSuccess	CreditLifeImportLoadSuccess	Загруженные данные
UiSchema	CreditLifeImportLoadSuccessUiSchema	ui-label	regionName	regionName	regionName	Наименование региона
UiSchema	CreditLifeImportLoadSuccessUiSchema	ui-label	creditDate	creditDate	creditDate	Дата выдачи кредита
UiSchema	CreditLifeImportLoadSuccessUiSchema	ui-label	creditContractId	creditContractId	creditContractId	ID кредитного договора
UiSchema	CreditLifeImportLoadSuccessUiSchema	ui-label	creditSum	creditSum	creditSum	Сумма кредита
UiSchema	CreditLifeImportLoadSuccessUiSchema	ui-label	creditRate	creditRate	creditRate	Ставка по кредиту
UiSchema	CreditLifeImportLoadSuccessUiSchema	ui-label	annuityPaymentSum	annuityPaymentSum	annuityPaymentSum	Размер аннуитетного платежа
UiSchema	CreditLifeImportLoadSuccessUiSchema	ui-label	salesPointName	salesPointName	salesPointName	Наименование отделения (точки продаж)
UiSchema	CreditLifeImportLoadSuccessUiSchema	ui-label	policySeries	policySeries	policySeries	Серия договора страхования
UiSchema	CreditLifeImportLoadSuccessUiSchema	ui-label	policyNumber	policyNumber	policyNumber	Номер договора (полиса) страхования
UiSchema	CreditLifeImportLoadSuccessUiSchema	ui-label	issueDate	issueDate	issueDate	Дата заключения договора страхования
UiSchema	CreditLifeImportLoadSuccessUiSchema	ui-label	productName	productName	productName	Название продукта страхования
UiSchema	CreditLifeImportLoadSuccessUiSchema	ui-label	riskPremiumLife	riskPremiumLife	riskPremiumLife	Размер страховой премии оплаченной Клиентом (в рублях)
UiSchema	CreditLifeImportLoadSuccessUiSchema	ui-label	commissionPercent	commissionPercent	commissionPercent	Вознаграждение Банка, %
UiSchema	CreditLifeImportLoadSuccessUiSchema	ui-label	commissionSum	commissionSum	commissionSum	Вознаграждение Банка, руб.
UiSchema	CreditLifeImportLoadSuccessUiSchema	ui-label	startDate	startDate	startDate	Дата начала срока страхования
UiSchema	CreditLifeImportLoadSuccessUiSchema	ui-label	endDate	endDate	endDate	Дата окончания срока страхования
UiSchema	CreditLifeImportLoadSuccessUiSchema	ui-label	creditProgramId	creditProgramId	creditProgramId	ID страховой программы
UiSchema	CreditLifeImportLoadSuccessUiSchema	ui-label	riskPremiumDMS1	riskPremiumDMS1	riskPremiumDMS1	Размер страховой премии  по программме ДМС1 (в рублях)
UiSchema	CreditLifeImportLoadSuccessUiSchema	ui-label	riskPremiumDMS2	riskPremiumDMS2	riskPremiumDMS2	Размер страховой премии  по программме ДМС2 (в рублях)
UiSchema	CreditLifeImportLoadSuccessUiSchema	ui-label	insuredSumDMS1	insuredSumDMS1	insuredSumDMS1	Страховая сумма по программе ДМС1
UiSchema	CreditLifeImportLoadSuccessUiSchema	ui-label	insuredSumDMS2	insuredSumDMS2	insuredSumDMS2	Страховая сумма по программе ДМС2
UiSchema	CreditLifeImportLoadSuccessUiSchema	ui-label	lastName	lastName	lastName	Фамилия
UiSchema	CreditLifeImportLoadSuccessUiSchema	ui-label	firstName	firstName	firstName	Имя
UiSchema	CreditLifeImportLoadSuccessUiSchema	ui-label	middleName	middleName	middleName	Отчество
UiSchema	CreditLifeImportLoadSuccessUiSchema	ui-label	personGender	personGender	personGender	Пол
UiSchema	CreditLifeImportLoadSuccessUiSchema	ui-label	dateOfBirth	dateOfBirth	dateOfBirth	Дата рождения
UiSchema	CreditLifeImportLoadSuccessUiSchema	ui-label	birthPlace	birthPlace	birthPlace	Место рождения
UiSchema	CreditLifeImportLoadSuccessUiSchema	ui-label	mobilePhoneNumber	mobilePhoneNumber	mobilePhoneNumber	Телефон мобильный
UiSchema	CreditLifeImportLoadSuccessUiSchema	ui-label	email	email	email	Email
UiSchema	CreditLifeImportLoadSuccessUiSchema	ui-label	docSeries	docSeries	docSeries	Серия паспорта
UiSchema	CreditLifeImportLoadSuccessUiSchema	ui-label	docNumber	docNumber	docNumber	Номер паспорта
UiSchema	CreditLifeImportLoadSuccessUiSchema	ui-label	issuerName	issuerName	issuerName	Выдавшая паспорт организация
UiSchema	CreditLifeImportLoadSuccessUiSchema	ui-label	issuerCode	issuerCode	issuerCode	Код подразделения
UiSchema	CreditLifeImportLoadSuccessUiSchema	ui-label	docIssueDate	docIssueDate	docIssueDate	Дата выдачи паспорта
UiSchema	CreditLifeImportLoadSuccessUiSchema	ui-label	citizenship	citizenship	citizenship	Гражданство
UiSchema	CreditLifeImportLoadSuccessUiSchema	ui-label	rCity	rCity	rCity	Адрес регистрации. Город
UiSchema	CreditLifeImportLoadSuccessUiSchema	ui-label	rStreet	rStreet	rStreet	Адрес регистрации. Улица
UiSchema	CreditLifeImportLoadSuccessUiSchema	ui-label	rHouse	rHouse	rHouse	Адрес регистрации. Дом и корпус
UiSchema	CreditLifeImportLoadSuccessUiSchema	ui-label	rFlat	rFlat	rFlat	Адрес регистрации. Квартира
UiSchema	CreditLifeImportLoadSuccessUiSchema	ui-label	rPostCode	rPostCode	rPostCode	Адрес регистрации. Индекс
UiSchema	CreditLifeImportLoadSuccessUiSchema	ui-label	fCity	fCity	fCity	Адрес фактического места жительства. Город
UiSchema	CreditLifeImportLoadSuccessUiSchema	ui-label	fStreet	fStreet	fStreet	Адрес фактического места жительства. Улица
UiSchema	CreditLifeImportLoadSuccessUiSchema	ui-label	fHouse	fHouse	fHouse	Адрес фактического места жительства. Дом и корпус
UiSchema	CreditLifeImportLoadSuccessUiSchema	ui-label	fFlat	fFlat	fFlat	Адрес фактического места жительства. Квартира
UiSchema	CreditLifeImportLoadSuccessUiSchema	ui-label	fPostCode	fPostCode	fPostCode	Адрес фактического места жительства. Индекс
UiSchema	CreditLifeImportLoadSuccessUiSchema	ui-label	inn	inn	inn	ИНН
UiSchema	CreditLifeImportLoadSuccessUiSchema	ui-label	snils	snils	snils	Снилс
UiSchema	CreditLifeImportLoadSuccessUiSchema	ui-label	lineNumber	lineNumber	lineNumber	Номер записи
UiSchema	CreditLifeImportLoadSuccessUiSchema	ui-label	externalContractId	externalContractId	externalContractId	ID договора страхования
UiSchema	CreditLifeImportLoadSuccessUiSchema	ui-label	sellerName	sellerName	sellerName	ФИО сотрудника
UiSchema	CreditLifeImportLoadSuccessUiSchema	ui-label	sellerEmail	sellerEmail	sellerEmail	Email сотрудника
UiSchema	CreditLifeImportLoadSuccessUiSchema	ui-label	rCountry	rCountry	rCountry	Адрес регистрации. Страна
UiSchema	CreditLifeImportLoadSuccessUiSchema	ui-label	fCountry	fCountry	fCountry	Адрес фактического места жительства. Страна
UiSchema	CreditLifeImportLoadSuccessUiSchema	ui-label	creditEndDate	creditEndDate	creditEndDate	Дата окончания кредита
