ApplicationRole	PermissionType	CodeName	ConceptTypeName	AssignedPermission	AssignmentOperator
Administrator	Allow Actor	StrategyConfigurationView	ViewConfiguration	GeneralBackOffice	Add
GeneralBackOffice	Allow Actor	LifeInsuranceStrategyConfiguration	DocumentConfiguration	GeneralBackOffice	Add
Administrator	Allow Actor	StrategyConfigurationExcelImport	DocumentConfiguration	Administrator	Add
System	Allow Actor	StrategyConfigurationExcelImport	DocumentConfiguration	System	Add
Administrator	Allow Actor	StrategyConfigurationExcelLoadSuccess	ViewConfiguration	Administrator	Add
Administrator	Allow Actor	StrategyConfigurationLoadedDataErrorsFromExcel	ViewConfiguration	Administrator	Add
Administrator	Allow Actor	StrategyConfigurationExcelImportSuccess	ViewConfiguration	Administrator	Add
Administrator	Allow Actor	StrategyConfigurationExcelFailedImports	ViewConfiguration	Administrator	Add
ServiceExecutor	Execute Service	StrategyConfigurationExcelETL	EtlServiceConfiguration	*	Add
GeneralBackOffice	Allow Actor	LifeInsuranceStrategyInstruments	DocumentConfiguration	GeneralBackOffice	Add
Administrator	Allow Actor	StrategyInstrumentsView	ViewConfiguration	GeneralBackOffice	Add
Administrator	Allow Actor	StrategyInstrumentsExcelImport	DocumentConfiguration	Administrator	Add
System	Allow Actor	StrategyInstrumentsExcelImport	DocumentConfiguration	System	Add
Administrator	Allow Actor	StrategyInstrumentsExcelLoadSuccess	ViewConfiguration	Administrator	Add
Administrator	Allow Actor	StrategyInstrumentsLoadedDataErrorsFromExcel	ViewConfiguration	Administrator	Add
Administrator	Allow Actor	StrategyInstrumentsExcelImportSuccess	ViewConfiguration	Administrator	Add
Administrator	Allow Actor	StrategyInstrumentsExcelFailedImports	ViewConfiguration	Administrator	Add
ServiceExecutor	Execute Service	StrategyInstrumentsExcelETL	EtlServiceConfiguration	*	Add
General	Execute Service	ExcelStrategyConfigurationDataSource	DataSourceConfiguration	*	Add
General	Execute Service	ExcelStrategyInstrumentsDataSource	DataSourceConfiguration	*	Add
General	Execute Service	StrategyConfigurationDataSource	DataSourceConfiguration	*	Add
General	Execute Service	StrategyInstrumentsDataSource	DataSourceConfiguration	*	Add
General	Execute Service	UniversalDocumentDataSource	DataSourceConfiguration	*	Add
