ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DataSchema	StrategyConfiguration	field-title	strategyCode	strategyCode	Код стратегии	strategyCode
DataSchema	StrategyConfiguration	field-title	strategyDescriptionFull	strategyDescriptionFull	Описание стратегии	strategyDescriptionFull
DataSchema	StrategyConfiguration	field-title	payOffDescription	payOffDescription	Описание pay-off	payOffDescription
DataSchema	StrategyConfiguration	field-title	baseActiveDescription	baseActiveDescription	Описание БА	baseActiveDescription
DataSchema	StrategyConfiguration	field-title	participationCoeff	participationCoeff	КУ/ИЧ	participationCoeff
DataSchema	StrategyConfiguration	field-title	participationCoeffByPeriods	participationCoeffByPeriods	КУ/Купон по периодам	participationCoeffByPeriods
DataSchema	StrategyConfiguration	field-title	optionPrice	optionPrice	Цена опциона	optionPrice
DataSchema	StrategyConfiguration	field-title	barrier	barrier	Барьер	barrier
DataSchema	StrategyConfiguration	field-title	barrierAutoCall	barrierAutoCall	Барьер автоотзыва	barrierAutoCall
DataSchema	StrategyConfiguration	field-title	emitent	emitent	Эмитент	emitent
DataSchema	StrategyConfiguration	field-title	fixRate	fixRate	Ставка фиксации/Купон	fixRate
DataSchema	StrategyConfiguration	field-title	intialShare	intialShare	Первоначальная доля инвестиционной части	intialShare
DataSchema	StrategyConfiguration	field-title	hedgeCost	hedgeCost	Стоимость Хеджа	hedgeCost
DataSchema	StrategyConfiguration	field-title	spreadBA	spreadBA	Спред БА	spreadBA
DataSchema	StrategyConfiguration	field-title	payOffShortDescription	payOffShortDescription	Краткое наименование Pay-off	payOffShortDescription
UiSchema	StrategyConfiguration	ui-label	strategyDescriptionFull	strategyDescriptionFull	Описание стратегии	strategyDescriptionFull
UiSchema	StrategyConfiguration	ui-label	payOffDescription	payOffDescription	Описание pay-off	payOffDescription
UiSchema	StrategyConfiguration	ui-label	baseActiveDescription	baseActiveDescription	Описание БА	baseActiveDescription
UiSchema	StrategyConfiguration	ui-label	participationCoeff	participationCoeff	КУ/ИЧ	participationCoeff
UiSchema	StrategyConfiguration	ui-label	participationCoeffByPeriods	participationCoeffByPeriods	КУ/Купон по периодам	participationCoeffByPeriods
UiSchema	StrategyConfiguration	ui-label	optionPrice	optionPrice	Цена опциона	optionPrice
UiSchema	StrategyConfiguration	ui-label	barrier	barrier	Барьер	barrier
UiSchema	StrategyConfiguration	ui-label	barrierAutoCall	barrierAutoCall	Барьер автоотзыва	barrierAutoCall
UiSchema	StrategyConfiguration	ui-label	emitent	emitent	Эмитент	emitent
UiSchema	StrategyConfiguration	ui-label	fixRate	fixRate	Ставка фиксации/Купон	fixRate
UiSchema	StrategyConfiguration	ui-label	intialShare	intialShare	Первоначальная доля инвестиционной части	intialShare
UiSchema	StrategyConfiguration	ui-label	hedgeCost	hedgeCost	Стоимость Хеджа	hedgeCost
UiSchema	StrategyConfiguration	ui-label	spreadBA	spreadBA	Спред БА	spreadBA
UiSchema	StrategyConfiguration	ui-label	payOffShortDescription	payOffShortDescription	Краткое наименование Pay-off	payOffShortDescription
UiSchema	StrategyConfiguration	ui-label	Input parameters	Input parameters	Входящие параметры	Input parameters
UiSchema	StrategyConfiguration	ui-label	Output parameters	Output parameters	Исходящие параметры	Output parameters
UiSchema	StrategyConfiguration	ui-label	issueDateMin	issueDateMin	Дата заключения с	issueDateMin
UiSchema	StrategyConfiguration	ui-label	issueDateMax	issueDateMax	Дата заключения по	issueDateMax
UiSchema	StrategyConfiguration	ui-label	Product	Product	Продукт	Product
DataSchema	StrategyConfiguration	field-title	productCodes	productCodes	Коды продуктов	productCodes
UiSchema	StrategyConfiguration	ui-label	Strategy	Strategy	Стратегия	Strategy
DataSchema	StrategyConfiguration	field-title	toolType	toolType	Вид инструмента	toolType
DataSchema	StrategyConfiguration	field-title	measureToolNominal	measureToolNominal	Единица измерения инструмента	measureToolNominal
DataSchema	StrategyConfiguration	field-title	calculatingAgent	calculatingAgent	Расчетный агент	calculatingAgent
DataSchema	StrategyConfiguration	field-title	partOfPremiumForTool	partOfPremiumForTool	Доля страховой премии	partOfPremiumForTool
DataSchema	StrategyConfiguration	field-title	priceOfMeasureTool	priceOfMeasureTool	Цена единицы инструмента	priceOfMeasureTool
UiSchema	StrategyConfiguration	ui-label	toolType	toolType	Вид инструмента	toolType
UiSchema	StrategyConfiguration	ui-label	measureToolNominal	measureToolNominal	Единица измерения инструмента	measureToolNominal
UiSchema	StrategyConfiguration	ui-label	calculatingAgent	calculatingAgent	Расчетный агент	calculatingAgent
UiSchema	StrategyConfiguration	ui-label	priceOfMeasureTool	priceOfMeasureTool	Цена единицы инструмента	priceOfMeasureTool
UiSchema	StrategyConfiguration	ui-label	partOfPremiumForTool	partOfPremiumForTool	Доля страховой премии	partOfPremiumForTool
