ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DataSchema	StrategyInstruments	field-title	productCodes	productCodes	Коды продуктов	productCodes
DataSchema	StrategyInstruments	field-title	strategyCode	strategyCode	Код стратегии	strategyCode
DataSchema	StrategyInstruments	field-title	strategyDescriptionFull	strategyDescriptionFull	Описание стратегии	strategyDescriptionFull
UiSchema	StrategyInstruments	ui-label	Input parameters	Input parameters	Входящие параметры	Input parameters
UiSchema	StrategyInstruments	ui-label	Product	Product	Продукт	Product
UiSchema	StrategyInstruments	ui-label	issueDateMin	issueDateMin	Дата заключения с	issueDateMin
UiSchema	StrategyInstruments	ui-label	issueDateMax	issueDateMax	Дата заключения по	issueDateMax
UiSchema	StrategyInstruments	ui-label	Output parameters	Output parameters	Исходящие параметры	Output parameters
UiSchema	StrategyInstruments	ui-label	strategyDescriptionFull	strategyDescriptionFull	Описание стратегии	strategyDescriptionFull
DataSchema	StrategyInstruments	field-title	purchaseDate	purchaseDate	Дата покупки	purchaseDate
DataSchema	StrategyInstruments	field-title	dischargeDate	dischargeDate	Дата продажи	dischargeDate
DataSchema	StrategyInstruments	field-title	didBeginDate	didBeginDate	Дата начала ДИД	didBeginDate
DataSchema	StrategyInstruments	field-title	didEndDate	didEndDate	Дада окончания ДИД	didEndDate
DataSchema	StrategyInstruments	field-title	couponPeriods	couponPeriods	Купонные периоды	couponPeriods
DataSchema	StrategyInstruments	field-title	windowStartDate	windowStartDate	Дата начала окна продаж	windowStartDate
DataSchema	StrategyInstruments	field-title	windowEndDate	windowEndDate	Дата окончания окна продаж	windowEndDate
UiSchema	StrategyInstruments	ui-label	purchaseDate	purchaseDate	Дата покупки	purchaseDate
UiSchema	StrategyInstruments	ui-label	dischargeDate	dischargeDate	Дата продажи	dischargeDate
UiSchema	StrategyInstruments	ui-label	didBeginDate	didBeginDate	Дата начала ДИД	didBeginDate
UiSchema	StrategyInstruments	ui-label	didEndDate	didEndDate	Дада окончания ДИД	didEndDate
UiSchema	StrategyInstruments	ui-label	couponPeriods	couponPeriods	Купонные периоды	couponPeriods
UiSchema	StrategyInstruments	ui-label	windowStartDate	windowStartDate	Дата начала окна продаж	windowStartDate
UiSchema	StrategyInstruments	ui-label	windowEndDate	windowEndDate	Дата окончания окна продаж	windowEndDate
UiSchema	StrategyInstruments	ui-label	beginDate	beginDate	Дата начала	beginDate
UiSchema	StrategyInstruments	ui-label	endDate	endDate	Дата окончания	endDate
UiSchema	StrategyInstruments	ui-label	Strategy	Strategy	Стратегия	Strategy
