ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
DocumentConfiguration	StrategyConfigurationExcelImport	actors	Administrator	Administrator	Administrator	Administrator
DocumentConfiguration	StrategyConfigurationExcelImport	actors	System	System	System	System
DocumentFlowDefinition	StrategyConfigurationExcelImportFlow	transitions	transitions@StartLoading@Title	StartLoading	StartLoading	Начало загрузки
DocumentFlowDefinition	StrategyConfigurationExcelImportFlow	transitions	transitions@FinishLoading@Title	FinishLoading	FinishLoading	Конец загрузки
DocumentFlowDefinition	StrategyConfigurationExcelImportFlow	transitions	transitions@ChangeImportData@Title	ChangeImportData	ChangeImportData	Изменение данных
DocumentFlowDefinition	StrategyConfigurationExcelImportFlow	transitions	transitions@CancelLoaded@Title	CancelLoaded	CancelLoaded	Отмена загрузки
DocumentFlowDefinition	StrategyConfigurationExcelImportFlow	transitions	transitions@StartImporting@Title	StartImporting	StartImporting	Начало импорта
DocumentFlowDefinition	StrategyConfigurationExcelImportFlow	transitions	transitions@FinishImporting@Title	FinishImporting	FinishImporting	Конец импорта
DocumentFlowDefinition	StrategyConfigurationExcelImportFlow	operations	operations@Save@Title	Save	Save	Сохранить
DocumentFlowDefinition	StrategyConfigurationExcelImportFlow	states	states@Draft	Draft	Draft	Проект
DocumentFlowDefinition	StrategyConfigurationExcelImportFlow	states	states@Loading	Loading	Loading	Загрузка
DocumentFlowDefinition	StrategyConfigurationExcelImportFlow	states	states@Loaded	Loaded	Loaded	Загружен
DocumentFlowDefinition	StrategyConfigurationExcelImportFlow	states	states@Cancelled	Cancelled	Cancelled	Отменён
DocumentFlowDefinition	StrategyConfigurationExcelImportFlow	states	states@Importing	Importing	Importing	Импортирование
DocumentFlowDefinition	StrategyConfigurationExcelImportFlow	states	states@Imported	Imported	Imported	Импортирован
UiSchema	StrategyConfigurationExcelImportUiSchema	ui-label	GeneralInfo	GeneralInfo	GeneralInfo	Основная информация
UiSchema	StrategyConfigurationExcelImportUiSchema	ui-label	FileSelection	FileSelection	FileSelection	Выбор файла
UiSchema	StrategyConfigurationExcelImportUiSchema	ui-label	LoadedData	LoadedData	LoadedData	Загруженные данные
UiSchema	StrategyConfigurationExcelImportUiSchema	ui-label	LoadDataErrors	LoadDataErrors	LoadDataErrors	Ошибки загрузки
UiSchema	StrategyConfigurationExcelImportUiSchema	ui-label	ImportedData	ImportedData	ImportedData	Импортированные данные
UiSchema	StrategyConfigurationExcelImportUiSchema	ui-label	Date	Date	Date	Дата
DocumentConfiguration	StrategyConfigurationExcelImport	rootConfiguration	StrategyConfigurationExcelImport@Title	StrategyConfigurationExcelImport	StrategyConfigurationExcelImport	Импорт справочника 'Стратегия. Конфигурация'
UiSchema	StrategyConfigurationExcelImportUiSchema	ui-label	Bank statement document number	Bank statement document number	Bank statement document number	Номер
