ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
DocumentConfiguration	StrategyInstrumentsExcelImport	actors	Administrator	Administrator	Administrator	Administrator
DocumentConfiguration	StrategyInstrumentsExcelImport	actors	System	System	System	System
DocumentFlowDefinition	StrategyInstrumentsExcelImportFlow	transitions	transitions@StartLoading@Title	StartLoading	StartLoading	Начало загрузки
DocumentFlowDefinition	StrategyInstrumentsExcelImportFlow	transitions	transitions@FinishLoading@Title	FinishLoading	FinishLoading	Конец загрузки
DocumentFlowDefinition	StrategyInstrumentsExcelImportFlow	transitions	transitions@ChangeImportData@Title	ChangeImportData	ChangeImportData	Изменение данных
DocumentFlowDefinition	StrategyInstrumentsExcelImportFlow	transitions	transitions@CancelLoaded@Title	CancelLoaded	CancelLoaded	Отмена загрузки
DocumentFlowDefinition	StrategyInstrumentsExcelImportFlow	transitions	transitions@StartImporting@Title	StartImporting	StartImporting	Начало импорта
DocumentFlowDefinition	StrategyInstrumentsExcelImportFlow	transitions	transitions@FinishImporting@Title	FinishImporting	FinishImporting	Конец импорта
DocumentFlowDefinition	StrategyInstrumentsExcelImportFlow	operations	operations@Save@Title	Save	Save	Сохранить
DocumentFlowDefinition	StrategyInstrumentsExcelImportFlow	states	states@Draft	Draft	Draft	Проект
DocumentFlowDefinition	StrategyInstrumentsExcelImportFlow	states	states@Loading	Loading	Loading	Загрузка
DocumentFlowDefinition	StrategyInstrumentsExcelImportFlow	states	states@Loaded	Loaded	Loaded	Загружен
DocumentFlowDefinition	StrategyInstrumentsExcelImportFlow	states	states@Cancelled	Cancelled	Cancelled	Отменён
DocumentFlowDefinition	StrategyInstrumentsExcelImportFlow	states	states@Importing	Importing	Importing	Импортирование
DocumentFlowDefinition	StrategyInstrumentsExcelImportFlow	states	states@Imported	Imported	Imported	Импортирован
UiSchema	StrategyInstrumentsExcelImportUiSchema	ui-label	GeneralInfo	GeneralInfo	GeneralInfo	Основная информация
UiSchema	StrategyInstrumentsExcelImportUiSchema	ui-label	FileSelection	FileSelection	FileSelection	Выбор файла
UiSchema	StrategyInstrumentsExcelImportUiSchema	ui-label	LoadedData	LoadedData	LoadedData	Загруженные данные
UiSchema	StrategyInstrumentsExcelImportUiSchema	ui-label	LoadDataErrors	LoadDataErrors	LoadDataErrors	Ошибки загрузки
UiSchema	StrategyInstrumentsExcelImportUiSchema	ui-label	ImportedData	ImportedData	ImportedData	Импортированные данные
UiSchema	StrategyInstrumentsExcelImportUiSchema	ui-label	Bank statement document number	Bank statement document number	Bank statement document number	Номер
UiSchema	StrategyInstrumentsExcelImportUiSchema	ui-label	Date	Date	Date	Дата
DocumentConfiguration	StrategyInstrumentsExcelImport	rootConfiguration	StrategyInstrumentsExcelImport@Title	StrategyInstrumentsExcelImport	StrategyInstrumentsExcelImport	Импорт справочника 'Стратегия. Инструменты'
