ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
ViewConfiguration	StrategyConfigurationExcelLoadSuccess	actors	Administrator	Administrator	Administrator	Администратор
UiSchema	StrategyConfigurationExcelLoadSuccessUiSchema	ui-label	Loaded data	Loaded data	Loaded data	Загруженные данные
ViewConfiguration	StrategyConfigurationExcelLoadSuccess	rootConfiguration	StrategyConfigurationExcelLoadSuccess@Title	StrategyConfigurationExcelLoadSuccess	StrategyConfigurationExcelLoadSuccess	StrategyConfigurationExcelLoadSuccess
UiSchema	StrategyConfigurationExcelLoadSuccessUiSchema	ui-label	productCode	productCode	productCode	Код продукта
UiSchema	StrategyConfigurationExcelLoadSuccessUiSchema	ui-label	strategyCode	strategyCode	strategyCode	Код стратегии
UiSchema	StrategyConfigurationExcelLoadSuccessUiSchema	ui-label	productDescription	productDescription	productDescription	Наименование продукта
UiSchema	StrategyConfigurationExcelLoadSuccessUiSchema	ui-label	strategyDescriptionFull	strategyDescriptionFull	strategyDescriptionFull	Описание стратегии
UiSchema	StrategyConfigurationExcelLoadSuccessUiSchema	ui-label	payOffDescription	payOffDescription	payOffDescription	Описание pay-off
UiSchema	StrategyConfigurationExcelLoadSuccessUiSchema	ui-label	baseActiveDescription	baseActiveDescription	baseActiveDescription	Описание БА
UiSchema	StrategyConfigurationExcelLoadSuccessUiSchema	ui-label	participationCoeff	participationCoeff	participationCoeff	КУ/ИЧ
UiSchema	StrategyConfigurationExcelLoadSuccessUiSchema	ui-label	participationCoeffByPeriods	participationCoeffByPeriods	participationCoeffByPeriods	КУ/Купон по периодам
UiSchema	StrategyConfigurationExcelLoadSuccessUiSchema	ui-label	optionPrice	optionPrice	optionPrice	Цена опциона
UiSchema	StrategyConfigurationExcelLoadSuccessUiSchema	ui-label	barrier	barrier	barrier	Барьер
UiSchema	StrategyConfigurationExcelLoadSuccessUiSchema	ui-label	barrierAutoCall	barrierAutoCall	barrierAutoCall	Барьер автоотзыва
UiSchema	StrategyConfigurationExcelLoadSuccessUiSchema	ui-label	emitent	emitent	emitent	Эмитент
UiSchema	StrategyConfigurationExcelLoadSuccessUiSchema	ui-label	fixRate	fixRate	fixRate	Ставка фиксации/Купон
UiSchema	StrategyConfigurationExcelLoadSuccessUiSchema	ui-label	intialShare	intialShare	intialShare	Первоначальная доля инвестиционной части
UiSchema	StrategyConfigurationExcelLoadSuccessUiSchema	ui-label	issueDateMin	issueDateMin	issueDateMin	Дата заключения с
UiSchema	StrategyConfigurationExcelLoadSuccessUiSchema	ui-label	issueDateMax	issueDateMax	issueDateMax	Дата заключения по
UiSchema	StrategyConfigurationExcelLoadSuccessUiSchema	ui-label	hedgeCost	hedgeCost	hedgeCost	Стоимость Хеджа
UiSchema	StrategyConfigurationExcelLoadSuccessUiSchema	ui-label	spreadBA	spreadBA	spreadBA	Спред БА
UiSchema	StrategyConfigurationExcelLoadSuccessUiSchema	ui-label	payOffShortDescription	payOffShortDescription	payOffShortDescription	Краткое наименование Pay-off
UiSchema	StrategyConfigurationExcelLoadSuccessUiSchema	ui-label	toolType	toolType	toolType	Вид инструмента
UiSchema	StrategyConfigurationExcelLoadSuccessUiSchema	ui-label	measureToolNominal	measureToolNominal	measureToolNominal	Единица измерения инструмента
UiSchema	StrategyConfigurationExcelLoadSuccessUiSchema	ui-label	calculatingAgent	calculatingAgent	calculatingAgent	Расчетный агент
UiSchema	StrategyConfigurationExcelLoadSuccessUiSchema	ui-label	priceOfMeasureTool	priceOfMeasureTool	priceOfMeasureTool	Цена единицы инструмента
UiSchema	StrategyConfigurationExcelLoadSuccessUiSchema	ui-label	partOfPremiumForTool	partOfPremiumForTool	partOfPremiumForTool	Доля страховой премии
