ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
ViewConfiguration	StrategyInstrumentsExcelLoadSuccess	actors	Administrator	Administrator	Administrator	Administrator
UiSchema	StrategyInstrumentsExcelLoadSuccessUiSchema	ui-label	Loaded data	Loaded data	Loaded data	Загруженные данные
UiSchema	StrategyInstrumentsExcelLoadSuccessUiSchema	ui-label	productCode	productCode	productCode	Код продукта
UiSchema	StrategyInstrumentsExcelLoadSuccessUiSchema	ui-label	strategyCode	strategyCode	strategyCode	Код стратегии
UiSchema	StrategyInstrumentsExcelLoadSuccessUiSchema	ui-label	issueDateMin	issueDateMin	issueDateMin	Дата заключения с
UiSchema	StrategyInstrumentsExcelLoadSuccessUiSchema	ui-label	issueDateMax	issueDateMax	issueDateMax	Дата заключения по
UiSchema	StrategyInstrumentsExcelLoadSuccessUiSchema	ui-label	productDescription	productDescription	productDescription	Наименование продукта
UiSchema	StrategyInstrumentsExcelLoadSuccessUiSchema	ui-label	strategyDescriptionFull	strategyDescriptionFull	strategyDescriptionFull	Описание стратегии
ViewConfiguration	StrategyInstrumentsExcelLoadSuccess	rootConfiguration	StrategyInstrumentsExcelLoadSuccess@Title	StrategyInstrumentsExcelLoadSuccess	StrategyInstrumentsExcelLoadSuccess	StrategyInstrumentsExcelLoadSuccess
UiSchema	StrategyInstrumentsExcelLoadSuccessUiSchema	ui-label	purchaseDate	purchaseDate	purchaseDate	Дата покупки
UiSchema	StrategyInstrumentsExcelLoadSuccessUiSchema	ui-label	dischargeDate	dischargeDate	dischargeDate	Дата продажи
UiSchema	StrategyInstrumentsExcelLoadSuccessUiSchema	ui-label	didBeginDate	didBeginDate	didBeginDate	Дата начала ДИД
UiSchema	StrategyInstrumentsExcelLoadSuccessUiSchema	ui-label	didEndDate	didEndDate	didEndDate	Дада окончания ДИД
UiSchema	StrategyInstrumentsExcelLoadSuccessUiSchema	ui-label	couponPeriods	couponPeriods	couponPeriods	Купонные периоды
UiSchema	StrategyInstrumentsExcelLoadSuccessUiSchema	ui-label	windowStartDate	windowStartDate	windowStartDate	Дата начала окна продаж
UiSchema	StrategyInstrumentsExcelLoadSuccessUiSchema	ui-label	windowEndDate	windowEndDate	windowEndDate	Дата окончания окна продаж
