ApplicationRole	PermissionType	CodeName	ConceptTypeName	AssignedPermission	AssignmentOperator
OrganisationAdministrator	Allow Actor	Employee	MasterEntityConfiguration	OrganisationAdministrator	Add
OrganisationViewer	Allow Actor	Employee	MasterEntityConfiguration	OrganisationViewer	Add
OrganisationAdministrator	Allow Actor	UsersExcelImport	DocumentConfiguration	OrganisationAdministrator	Add
System	Allow Actor	UsersExcelImport	DocumentConfiguration	System	Add
OrganisationAdministrator	Allow Actor	UsersExcelLoadSuccess	ViewConfiguration	OrganisationAdministrator	Add
OrganisationAdministrator	Allow Actor	UsersLoadedDataErrorsFromExcel	ViewConfiguration	OrganisationAdministrator	Add
OrganisationAdministrator	Allow Actor	UsersExcelImportSuccess	ViewConfiguration	OrganisationAdministrator	Add
OrganisationAdministrator	Allow Actor	UsersExcelFailedImports	ViewConfiguration	OrganisationAdministrator	Add
ServiceExecutor	Execute Service	UsersExcelETL	EtlServiceConfiguration	*	Add
OrganisationAdministrator	Allow Actor	UserActivityExcelImport	DocumentConfiguration	OrganisationAdministrator	Add
System	Allow Actor	UserActivityExcelImport	DocumentConfiguration	System	Add
OrganisationAdministrator	Allow Actor	UserActivityExcelLoadSuccess	ViewConfiguration	OrganisationAdministrator	Add
OrganisationAdministrator	Allow Actor	UserActivityLoadedDataErrorsFromExcel	ViewConfiguration	OrganisationAdministrator	Add
OrganisationAdministrator	Allow Actor	UserActivityExcelImportSuccess	ViewConfiguration	OrganisationAdministrator	Add
OrganisationAdministrator	Allow Actor	UserActivityExcelFailedImports	ViewConfiguration	OrganisationAdministrator	Add
ServiceExecutor	Execute Service	UserActivityExcelETL	EtlServiceConfiguration	*	Add
OrganisationAdministrator	Allow Actor	UserPasswordExcelImport	DocumentConfiguration	OrganisationAdministrator	Add
System	Allow Actor	UserPasswordExcelImport	DocumentConfiguration	System	Add
OrganisationAdministrator	Allow Actor	UserPasswordExcelLoadSuccess	ViewConfiguration	OrganisationAdministrator	Add
OrganisationAdministrator	Allow Actor	UserPasswordLoadedDataErrorsFromExcel	ViewConfiguration	OrganisationAdministrator	Add
OrganisationAdministrator	Allow Actor	UserPasswordExcelImportSuccess	ViewConfiguration	OrganisationAdministrator	Add
OrganisationAdministrator	Allow Actor	UserPasswordExcelFailedImports	ViewConfiguration	OrganisationAdministrator	Add
ServiceExecutor	Execute Service	UserPasswordExcelETL	EtlServiceConfiguration	*	Add
General	Execute Service	ExcelUserActivityDataSource	DataSourceConfiguration	*	Add
General	Execute Service	ExcelUserDataSource	DataSourceConfiguration	*	Add
General	Execute Service	ExcelUserPasswordDataSource	DataSourceConfiguration	*	Add
General	Execute Service	GetTabNumberDataSource	DataSourceConfiguration	*	Add
General	Execute Service	ImportRecordStatusSuccessful	DataSourceConfiguration	*	Add
General	Execute Service	ImportStagingDataSource	DataSourceConfiguration	*	Add
General	Execute Service	RGSBranchesDataSource	DataSourceConfiguration	*	Add
General	Execute Service	UsersLoadedDataErrorsFromExcelDataSource	DataSourceConfiguration	*	Add
General	Execute Service	UsersExcelFailedImportsExport	DataExportConfiguration	*	Add
General	Execute Service	UsersExcelSuccesfulImportsExport	DataExportConfiguration	*	Add
General	Execute Service	UsersPasswordsFailedImportsExport	DataExportConfiguration	*	Add
General	Execute Service	UsersPasswordsSuccesfulImportsExport	DataExportConfiguration	*	Add
