ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DocumentConfiguration	UserActivityExcelImport	actors	OrganisationAdministrator	OrganisationAdministrator	Администратор орг. структуры	OrganisationAdministrator
DocumentConfiguration	UserActivityExcelImport	actors	System	System	Система	System
DocumentFlowDefinition	UserActivityExcelImportFlow	transitions	transitions@StartLoading@Title	StartLoading	Начать Загрузку	StartLoading
DocumentFlowDefinition	UserActivityExcelImportFlow	transitions	transitions@FinishLoading@Title	FinishLoading	Закончить Загрузку	FinishLoading
DocumentFlowDefinition	UserActivityExcelImportFlow	transitions	transitions@ChangeImportData@Title	ChangeImportData	Заменить импортированные данные	ChangeImportData
DocumentFlowDefinition	UserActivityExcelImportFlow	transitions	transitions@CancelLoaded@Title	CancelLoaded	Отменить загрузку	CancelLoaded
DocumentFlowDefinition	UserActivityExcelImportFlow	transitions	transitions@StartImporting@Title	StartImporting	Начать импорт	StartImporting
DocumentFlowDefinition	UserActivityExcelImportFlow	transitions	transitions@FinishImporting@Title	FinishImporting	Закончит импорт	FinishImporting
DocumentFlowDefinition	UserActivityExcelImportFlow	operations	operations@Save@Title	Save	Сохранить	Save
DocumentFlowDefinition	UserActivityExcelImportFlow	states	states@Draft	Draft	Черновик	Draft
DocumentFlowDefinition	UserActivityExcelImportFlow	states	states@Loading	Loading	Загрузка	Loading
DocumentFlowDefinition	UserActivityExcelImportFlow	states	states@Loaded	Loaded	Загружено	Loaded
DocumentFlowDefinition	UserActivityExcelImportFlow	states	states@Cancelled	Cancelled	Отменен	Cancelled
DocumentFlowDefinition	UserActivityExcelImportFlow	states	states@Importing	Importing	Импорт	Importing
DocumentFlowDefinition	UserActivityExcelImportFlow	states	states@Imported	Imported	Импортировано	Imported
UiSchema	UserActivityExcelImportUiSchema	ui-label	GeneralInfo	GeneralInfo	Загрузить данные	GeneralInfo
UiSchema	UserActivityExcelImportUiSchema	ui-label	FileSelection	FileSelection	Выбор Файла	FileSelection
UiSchema	UserActivityExcelImportUiSchema	ui-label	LoadedData	LoadedData	Загруженная Информация	LoadedData
UiSchema	UserActivityExcelImportUiSchema	ui-label	LoadDataErrors	LoadDataErrors	Ошибки по Загруженной Информации	LoadDataErrors
UiSchema	UserActivityExcelImportUiSchema	ui-label	ImportedData	ImportedData	Загруженные данные	ImportedData
UiSchema	UserActivityExcelImportUiSchema	ui-label	Bank statement document number	Bank statement document number	Номер документа загрузки	Bank statement document number
UiSchema	UserActivityExcelImportUiSchema	ui-label	Date	Date	Дата	Date
DocumentConfiguration	UserActivityExcelImport	rootConfiguration	UserActivityExcelImport@Title	UserActivityExcelImport	Загрузка пользователей EXCEL	UsersExcelImport
