ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DocumentConfiguration	UserPasswordExcelImport	actors	OrganisationAdministrator	OrganisationAdministrator	Администратор орг. структуры	OrganisationAdministrator
DocumentConfiguration	UserPasswordExcelImport	actors	System	System	Система	System
DocumentFlowDefinition	UserPasswordExcelImportFlow	transitions	transitions@StartLoading@Title	StartLoading	Начать Загрузку	StartLoading
DocumentFlowDefinition	UserPasswordExcelImportFlow	transitions	transitions@FinishLoading@Title	FinishLoading	Закончить Загрузку	FinishLoading
DocumentFlowDefinition	UserPasswordExcelImportFlow	transitions	transitions@ChangeImportData@Title	ChangeImportData	Заменить импортированные данные	ChangeImportData
DocumentFlowDefinition	UserPasswordExcelImportFlow	transitions	transitions@CancelLoaded@Title	CancelLoaded	Отменить загрузку	CancelLoaded
DocumentFlowDefinition	UserPasswordExcelImportFlow	transitions	transitions@StartImporting@Title	StartImporting	Начать импорт	StartImporting
DocumentFlowDefinition	UserPasswordExcelImportFlow	transitions	transitions@FinishImporting@Title	FinishImporting	Закончит импорт	FinishImporting
DocumentFlowDefinition	UserPasswordExcelImportFlow	operations	operations@Save@Title	Save	Сохранить	Save
DocumentFlowDefinition	UserPasswordExcelImportFlow	states	states@Draft	Draft	Черновик	Draft
DocumentFlowDefinition	UserPasswordExcelImportFlow	states	states@Loading	Loading	Загрузка	Loading
DocumentFlowDefinition	UserPasswordExcelImportFlow	states	states@Loaded	Loaded	Загружено	Loaded
DocumentFlowDefinition	UserPasswordExcelImportFlow	states	states@Cancelled	Cancelled	Отменен	Cancelled
DocumentFlowDefinition	UserPasswordExcelImportFlow	states	states@Importing	Importing	Импорт	Importing
DocumentFlowDefinition	UserPasswordExcelImportFlow	states	states@Imported	Imported	Импортировано	Imported
UiSchema	UserPasswordExcelImportUiSchema	ui-label	GeneralInfo	GeneralInfo	Загрузить данные	GeneralInfo
UiSchema	UserPasswordExcelImportUiSchema	ui-label	FileSelection	FileSelection	Выбор Файла	FileSelection
UiSchema	UserPasswordExcelImportUiSchema	ui-label	LoadedData	LoadedData	Загруженная Информация	LoadedData
UiSchema	UserPasswordExcelImportUiSchema	ui-label	LoadDataErrors	LoadDataErrors	Ошибки по Загруженной Информации	LoadDataErrors
UiSchema	UserPasswordExcelImportUiSchema	ui-label	ImportedData	ImportedData	Загруженные данные	ImportedData
UiSchema	UserPasswordExcelImportUiSchema	ui-label	Bank statement document number	Bank statement document number	Номер документа загрузки	Bank statement document number
UiSchema	UserPasswordExcelImportUiSchema	ui-label	Date	Date	Дата	Date
DocumentConfiguration	UserPasswordExcelImport	rootConfiguration	UserPasswordExcelImport@Title	UserPasswordExcelImport	Загрузка пользователей EXCEL	UsersExcelImport
