ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DocumentConfiguration	UsersExcelImport	actors	OrganisationAdministrator	OrganisationAdministrator	Администратор орг. структуры	OrganisationAdministrator
DocumentConfiguration	UsersExcelImport	actors	System	System	Система	System
DocumentFlowDefinition	UsersExcelImportFlow	transitions	transitions@StartLoading@Title	StartLoading	Начать Загрузку	StartLoading
DocumentFlowDefinition	UsersExcelImportFlow	transitions	transitions@FinishLoading@Title	FinishLoading	Закончить Загрузку	FinishLoading
DocumentFlowDefinition	UsersExcelImportFlow	transitions	transitions@ChangeImportData@Title	ChangeImportData	Заменить импортированные данные	ChangeImportData
DocumentFlowDefinition	UsersExcelImportFlow	transitions	transitions@CancelLoaded@Title	CancelLoaded	Отменить загрузку	CancelLoaded
DocumentFlowDefinition	UsersExcelImportFlow	transitions	transitions@StartImporting@Title	StartImporting	Начать импорт	StartImporting
DocumentFlowDefinition	UsersExcelImportFlow	transitions	transitions@FinishImporting@Title	FinishImporting	Закончит импорт	FinishImporting
DocumentFlowDefinition	UsersExcelImportFlow	operations	operations@Save@Title	Save	Сохранить	Save
DocumentFlowDefinition	UsersExcelImportFlow	states	states@Draft	Draft	Черновик	Draft
DocumentFlowDefinition	UsersExcelImportFlow	states	states@Loading	Loading	Загрузка	Loading
DocumentFlowDefinition	UsersExcelImportFlow	states	states@Loaded	Loaded	Загружено	Loaded
DocumentFlowDefinition	UsersExcelImportFlow	states	states@Cancelled	Cancelled	Отменен	Cancelled
DocumentFlowDefinition	UsersExcelImportFlow	states	states@Importing	Importing	Импорт	Importing
DocumentFlowDefinition	UsersExcelImportFlow	states	states@Imported	Imported	Импортировано	Imported
UiSchema	UsersExcelImportUiSchema	ui-label	GeneralInfo	GeneralInfo	Загрузить данные	GeneralInfo
UiSchema	UsersExcelImportUiSchema	ui-label	FileSelection	FileSelection	Выбор Файла	FileSelection
UiSchema	UsersExcelImportUiSchema	ui-label	LoadedData	LoadedData	Загруженная Информация	LoadedData
UiSchema	UsersExcelImportUiSchema	ui-label	LoadDataErrors	LoadDataErrors	Ошибки по Загруженной Информации	LoadDataErrors
UiSchema	UsersExcelImportUiSchema	ui-label	ImportedData	ImportedData	Загруженные данные	ImportedData
UiSchema	UsersExcelImportUiSchema	ui-label	Bank statement document number	Bank statement document number	Номер документа загрузки	Bank statement document number
UiSchema	UsersExcelImportUiSchema	ui-label	Date	Date	Дата	Date
UiSchema	UsersExcelImportUiSchema	ui-label	organisationUnit	organisationUnit	Подразделение	Organisation unit
DocumentConfiguration	UsersExcelImport	rootConfiguration	UsersExcelImport@Title	UsersExcelImport	Загрузка пользователей EXCEL	UsersExcelImport
