ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
UiSchema	EmployeeMainContent	ui-label	MainTab	MainTab	Общая информация	MainTab
Rule	EmployeeValidateEmployee	rule	validation@partyIsRequired	validateEmployee	E: Необходимо указать контрагента	E: validation@partyIsRequired
MasterEntityConfiguration	Employee	rootConfiguration	Employee@Title	Employee	Сотрудник	Employee@Title
UiSchema	EmployeeMainContent	operations	operations@Save@Title	Save	Сохранить	Save
UiSchema	EmployeeSummaryContent	operations	operations@Save@Title	Save	Сохранить	Save
UiSchema	EmployeeConfiguration	operations	operations@Save@Title	Save	Сохранить	Save
DataSchema	Employee	field-title	position	position	Должность	position
DataSchema	Employee	field-title	tabNumber	tabNumber	Табельный номер	tabNumber
UiSchema	EmployeeMainContent	ui-label	position	position	Должность	position
UiSchema	EmployeeMainContent	ui-label	tabNumber	tabNumber	Табельный номер	tabNumber
UiSchema	EmployeeMainContent	ui-label	orgUnitName	orgUnitName	Подразделение	orgUnitName
Rule	EmployeeValidateEmployee	rule	validation@orgUnitIsRequired	validateEmployee	E: Необходимо указать подразделение	E: validation@orgUnitIsRequired
MasterEntityConfiguration	Employee	actors	OrganisationAdministrator	OrganisationAdministrator	Администратор орг. структуры	OrganisationAdministrator
DataSchema	Employee	field-title	visibilityType	visibilityType	Видимость договоров	visibilityType
UiSchema	EmployeeMainContent	ui-label	visibilityType	visibilityType	Видимость договоров	visibilityType
DataSchema	Employee	field-title	isPersonalManager	isPersonalManager	Персональный менеджер	isPersonalManager
UiSchema	EmployeeMainContent	ui-label	isPersonalManager	isPersonalManager	Персональный менеджер	isPersonalManager
DataSchema	Employee	field-title	sadNumber	sadNumber	САД РГСЖ (ЛНР по САД)	sadNumber
DataSchema	Employee	field-title	sadBeginDate	sadBeginDate	Дата приема по САД	sadBeginDate
DataSchema	Employee	field-title	sadEndDate	sadEndDate	Дата увольнения по САД	sadEndDate
DataSchema	Employee	field-title	lnrNumber	lnrNumber	ЛНР продавца	lnrNumber
DataSchema	Employee	field-title	positionKFN	positionKFN	Должность сотрудника (КФН)	positionKFN
DataSchema	Employee	field-title	sadNumber1	sadNumber1	1й - САД РГСЖ	sadNumber1
DataSchema	Employee	field-title	sadNumber2	sadNumber2	2й - САД РГСЖ	sadNumber2
DataSchema	Employee	field-title	sadNumberMAG	sadNumberMAG	САД РГСЖ МАГа	sadNumberMAG
DataSchema	Employee	field-title	sadNumberNSO	sadNumberNSO	САД РГСЖ НСО	sadNumberNSO
DataSchema	Employee	field-title	isSASAgent	isSASAgent	Агент САС	isSASAgent
DataSchema	Employee	field-title	level	level	Уровень	level
DataSchema	Employee	enum	level@level1	level1	1 уровень	level1
DataSchema	Employee	enum	level@level2	level2	2 уровень	level2
DataSchema	Employee	enum	level@level3	level3	3 уровень	level3
DataSchema	Employee	enum	level@level4	level4	4 уровень	level4
DataSchema	Employee	field-title	sadFinal	sadFinal	Итоговый САД	sadFinal
DataSchema	Employee	field-title	SKK	SKK	СКК	SKK
DataSchema	Employee	field-title	receiveType	receiveType	Вид приема	receiveType
DataSchema	Employee	field-title	order	order	Ордер	order
DataSchema	Employee	enum	order@6000461	6000461	6000461	6000461
DataSchema	Employee	enum	order@6000260	6000260	6000260	6000260
DataSchema	Employee	field-title	sapAD	sapAD	АД в SAP	sapAD
DataSchema	Employee	field-title	salesChannel	salesChannel	Канал продаж	salesChannel
UiSchema	EmployeeMainContent	ui-label	SAD information	SAD information	Информация по субагенту	SAD information
UiSchema	EmployeeMainContent	ui-label	sadNumber	sadNumber	САД РГСЖ (ЛНР по САД)	sadNumber
UiSchema	EmployeeMainContent	ui-label	sadBeginDate	sadBeginDate	Дата приема по САД	sadBeginDate
UiSchema	EmployeeMainContent	ui-label	sadEndDate	sadEndDate	Дата увольнения по САД	sadEndDate
UiSchema	EmployeeMainContent	ui-label	lnrNumber	lnrNumber	ЛНР продавца	lnrNumber
UiSchema	EmployeeMainContent	ui-label	positionKFN	positionKFN	Должность сотрудника (КФН)	positionKFN
UiSchema	EmployeeMainContent	ui-label	sadNumber1	sadNumber1	1й - САД РГСЖ	sadNumber1
UiSchema	EmployeeMainContent	ui-label	sadNumber2	sadNumber2	2й - САД РГСЖ	sadNumber2
UiSchema	EmployeeMainContent	ui-label	sadNumberMAG	sadNumberMAG	САД РГСЖ МАГа	sadNumberMAG
UiSchema	EmployeeMainContent	ui-label	sadNumberNSO	sadNumberNSO	САД РГСЖ НСО	sadNumberNSO
UiSchema	EmployeeMainContent	ui-label	isSASAgent	isSASAgent	Агент САС	isSASAgent
UiSchema	EmployeeMainContent	ui-label	level	level	Уровень	level
UiSchema	EmployeeMainContent	ui-label	sadFinal	sadFinal	Итоговый САД	sadFinal
UiSchema	EmployeeMainContent	ui-label	SKK	SKK	СКК	SKK
UiSchema	EmployeeMainContent	ui-label	receiveType	receiveType	Вид приема	receiveType
UiSchema	EmployeeMainContent	ui-label	order	order	Ордер	order
UiSchema	EmployeeMainContent	ui-label	sapAD	sapAD	АД в SAP	sapAD
UiSchema	EmployeeMainContent	ui-label	salesChannel	salesChannel	Канал продаж	salesChannel
DataSchema	Employee	field-title	physicalPersonID	physicalPersonID	ID физ. Лица	physicalPersonID
UiSchema	EmployeeMainContent	ui-label	physicalPersonID	physicalPersonID	ID физ. Лица	physicalPersonID
DataSchema	Employee	field-title	branch	branch	Филиал	branch
DataSchema	Employee	field-title	branchName	branchName	Наименование филиала	branchName
DataSchema	Employee	field-title	branchKSP	branchKSP	КСП филиала	branchKSP
DataSchema	Employee	field-title	branchRegion	branchRegion	Регион филиала	branchRegion
DataSchema	Employee	field-title	department	department	Подразделение	department
UiSchema	EmployeeMainContent	ui-label	branch	branch	Филиал	branch
UiSchema	EmployeeMainContent	ui-label	department	department	Подразделение	department
DataSchema	Employee	field-title	actualEmail	actualEmail	Актуальный e-mail	actualEmail
UiSchema	EmployeeMainContent	ui-label	actualEmail	actualEmail	Актуальный e-mail	actualEmail
MasterEntityConfiguration	Employee	actors	OrganisationViewer	OrganisationViewer	Просмотр	OrganisationViewer
UiSchema	EmployeeMainContent	ui-label	branchKSP	branchKSP	КСП филиала	branchKSP
UiSchema	EmployeeMainContent	ui-label	branchRegion	branchRegion	Регион филиала	branchRegion
