ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
ViewConfiguration	UsersExcelFailedImports	actors	OrganisationAdministrator	OrganisationAdministrator	Администратор орг. структуры	OrganisationAdministrator
UiSchema	UsersExcelFailedImportsUiSchema	ui-label	Failed imports	Failed imports	Ошибки импорта	Failed imports
UiSchema	UsersExcelFailedImportsUiSchema	ui-label	Export	Export	Экспорт	Export
UiSchema	UsersExcelFailedImportsUiSchema	ui-label	RecordKey	RecordKey	Ключ записи	RecordKey
UiSchema	UsersExcelFailedImportsUiSchema	ui-label	ErrorType	ErrorType	Тип ошибки	ErrorType
UiSchema	UsersExcelFailedImportsUiSchema	ui-label	ErrorMessage	ErrorMessage	Сообщение ошибки	ErrorMessage
ViewConfiguration	UsersExcelFailedImports	rootConfiguration	UsersExcelFailedImports@Title	UsersExcelFailedImports	Ошибки Импорта	UsersExcelFailedImports
UiSchema	UsersExcelFailedImportsUiSchema	ui-label	Full Name	Full Name	ФИО	Full Name
UiSchema	UsersExcelFailedImportsUiSchema	ui-label	Username	Username	Логин	Username
ViewConfiguration	UsersExcelFailedImports	dataExport	UsersExcelFailedImportsExport@ExportExcelUserFailed	UsersExcelFailedImportsExport@ExportExcelUserFailed	UsersExcelFailedImportsExport	UsersExcelFailedImportsExport
UiSchema	UsersExcelFailedImportsUiSchema	ui-label	Name Sink	Name Sink	Место ошибки	Name Sink
