ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
ViewConfiguration	UsersExcelLoadSuccess	actors	OrganisationAdministrator	OrganisationAdministrator	Администратор орг. структуры	OrganisationAdministrator
UiSchema	UsersExcelLoadSuccessUiSchema	ui-label	Loaded data	Loaded data	Загруженные данные	Loaded data
ViewConfiguration	UsersExcelLoadSuccess	rootConfiguration	UsersExcelLoadSuccess@Title	UsersExcelLoadSuccess	УСПЕШНО ЗАГРУЖЕННАЯ ИНФОРМАЦИЯ	UsersExcelLoadSuccess
UiSchema	UsersExcelLoadSuccessUiSchema	ui-label	DO Code	DO Code	код ДО	DO Code
UiSchema	UsersExcelLoadSuccessUiSchema	ui-label	Position	Position	Должность сотрудника	Position
UiSchema	UsersExcelLoadSuccessUiSchema	ui-label	FullName	FullName	ФИО	FullName
UiSchema	UsersExcelLoadSuccessUiSchema	ui-label	Tab Number	Tab Number	Таб номер	Tab Number
UiSchema	UsersExcelLoadSuccessUiSchema	ui-label	Email	Email	Эл адрес сотрудника	Email
UiSchema	UsersExcelLoadSuccessUiSchema	ui-label	MobTel	MobTel	Моб тел	MobTel
UiSchema	UsersExcelLoadSuccessUiSchema	ui-label	Visibility Type	Visibility Type	Видимость договоров	Visibility Type
UiSchema	UsersExcelLoadSuccessUiSchema	ui-label	Groups	Groups	Группа доступа	Groups
UiSchema	UsersExcelLoadSuccessUiSchema	ui-label	Roles	Roles	Роль доступа	Roles
UiSchema	UsersExcelLoadSuccessUiSchema	ui-label	Username	Username	Имя пользователя	Username
UiSchema	UsersExcelLoadSuccessUiSchema	ui-label	SendEmail	SendEmail	Отправка пароля на e-mail	SendEmail
