ApplicationRole	PermissionType	CodeName	ConceptTypeName	AssignedPermission	AssignmentOperator
Administrator	Allow Actor	EquityLifeInsuranceQuote	DocumentConfiguration	Agent	Add
Administrator	Allow Actor	EquityLifeInsuranceQuote	DocumentConfiguration	Operations	Add
Administrator	Allow Actor	EquityLifeInsuranceQuote	DocumentConfiguration	Underwriter	Add
Administrator	Allow Actor	EquityLifeInsuranceQuote	DocumentConfiguration	UKSP	Add
Administrator	Allow Actor	EquityLifeInsuranceQuote	DocumentConfiguration	Viewer	Add
Administrator	Allow Actor	EquityLifeInsuranceQuote	DocumentConfiguration	System	Add
System	Allow Actor	EquityLifeInsuranceQuote	DocumentConfiguration	System	Add
Administrator	Allow Actor	EquityLifeInsurancePolicy	DocumentConfiguration	Agent	Add
Administrator	Allow Actor	EquityLifeInsurancePolicy	DocumentConfiguration	Operations	Add
Administrator	Allow Actor	EquityLifeInsurancePolicy	DocumentConfiguration	Viewer	Add
Administrator	Allow Actor	EquityLifeInsuranceCancellation	DocumentConfiguration	Operations	Add
Administrator	Allow Actor	EquityLifeInsuranceCancellation	DocumentConfiguration	Viewer	Add
Administrator	Allow Actor	EquityLifeInsuranceCancellation	DocumentConfiguration	UKSP	Add
Administrator	Allow Actor	EquityLifeInsuranceCancellation	DocumentConfiguration	OperationsDirector	Add
AccountingGroup	Allow Actor	EquityLifeInsuranceCancellation	DocumentConfiguration	Accounting	Add
AccountingGroup	Allow Actor	EquityLifeInsuranceCancellation	DocumentConfiguration	Viewer	Add
OperationsGroup	Allow Actor	EquityLifeInsuranceQuote	DocumentConfiguration	Operations	Add
UnderwritingGroup	Allow Actor	EquityLifeInsuranceQuote	DocumentConfiguration	Underwriter	Add
UKSPGroup	Allow Actor	EquityLifeInsuranceQuote	DocumentConfiguration	UKSP	Add
GeneralBackOffice	Allow Actor	EquityLifeInsuranceQuote	DocumentConfiguration	Viewer	Add
OperationsGroup	Allow Actor	EquityLifeInsurancePolicy	DocumentConfiguration	Operations	Add
GeneralBackOffice	Allow Actor	EquityLifeInsurancePolicy	DocumentConfiguration	Viewer	Add
OperationsGroup	Allow Actor	EquityLifeInsuranceCancellation	DocumentConfiguration	Operations	Add
UKSPGroup	Allow Actor	EquityLifeInsuranceCancellation	DocumentConfiguration	UKSP	Add
GeneralBackOffice	Allow Actor	EquityLifeInsuranceCancellation	DocumentConfiguration	Viewer	Add
OperationsDirectorGroup	Allow Actor	EquityLifeInsuranceCancellation	DocumentConfiguration	OperationsDirector	Add
