ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DocumentConfiguration	EquityLifeInsuranceFinChange	actors	Operations	Operations	ОПЕРУ	Operations
DocumentFlowDefinition	EquityLifeInsuranceFinChangeFlow	transitions	transitions@Draft_to_Cancelled@Title	Draft_to_Cancelled	Аннулировать	Draft_to_Cancelled
DocumentFlowDefinition	EquityLifeInsuranceFinChangeFlow	operations	operations@Save@Title	Save	Сохранить	Save
DocumentFlowDefinition	EquityLifeInsuranceFinChangeFlow	states	states@Draft	Draft	Проект	Draft
DocumentFlowDefinition	EquityLifeInsuranceFinChangeFlow	states	states@Cancelled	Cancelled	Аннулирован	Cancelled
UiSchema	EquityLifeInsuranceFinChangeMainContent	ui-label	amendment	amendment	ДС	amendment
UiSchema	EquityLifeInsuranceFinChangeMainContent	ui-label	Insurance Conditions	Insurance Conditions	Условия страхования	Insurance Conditions
UiSchema	EquityLifeInsuranceFinChangeMainContent	ui-label	Participants	Participants	Участники	Participants
UiSchema	EquityLifeInsuranceFinChangeMainContent	ui-label	Additional Conditions	Additional Conditions	Дополнительные условия	Additional Conditions
UiSchema	EquityLifeInsuranceFinChangeMainContent	ui-label	Surrender Values	Surrender Values	Выкупные суммы	Surrender Values
UiSchema	EquityLifeInsuranceFinChangeMainContent	ui-label	PaymentPlan	PaymentPlan	График платежей	PaymentPlan
UiSchema	EquityLifeInsuranceFinChangeMainContent	ui-label	Underwriting	Underwriting	Андеррайтинг	Underwriting
UiSchema	EquityLifeInsuranceFinChangeMainContent	ui-label	commissionTab	commissionTab	Комиссия	commissionTab
DocumentConfiguration	EquityLifeInsuranceFinChange	rootConfiguration	EquityLifeInsuranceFinChange@Title	EquityLifeInsuranceFinChange	ДС на финансовые изменения	EquityLifeInsuranceFinChange
DataSchema	EquityLifeInsuranceFinChange	field-title	commentIsRequired	commentIsRequired	Комментарий обязателен для заполнения	commentIsRequired
DataSchema	EquityLifeInsuranceFinChange	field-title	commentAuthorIsRequired	commentAuthorIsRequired	Автор комментария обязателен для заполнения	commentAuthorIsRequired
UiSchema	EquityLifeInsuranceFinChangeMainContent	ui-label	History	History	История	History
DocumentConfiguration	EquityLifeInsuranceFinChange	actors	System	System	Система	System
DataSchema	EquityLifeInsuranceFinChange	field-title	isAutoconversionAmendment	isAutoconversionAmendment	ДС создано автоконверсией	isAutoconversionAmendment
DocumentFlowDefinition	EquityLifeInsuranceFinChangeFlow	transitions	transitions@Draft_to_OperationsApproval@Title	Draft_to_OperationsApproval	Отправить на рассмотрение ОПЕРУ	Draft_to_OperationsApproval
DocumentFlowDefinition	EquityLifeInsuranceFinChangeFlow	transitions	transitions@OperationsApproval_to_Cancelled@Title	OperationsApproval_to_Cancelled	Аннулировать	OperationsApproval_to_Cancelled
DocumentFlowDefinition	EquityLifeInsuranceFinChangeFlow	transitions	transitions@OperationsApproval_to_Activated@Title	OperationsApproval_to_Activated	Действует	OperationsApproval_to_Activated
DocumentFlowDefinition	EquityLifeInsuranceFinChangeFlow	states	states@OperationsApproval	OperationsApproval	На рассмотрении группы ОПЕРУ	OperationsApproval
DocumentFlowDefinition	EquityLifeInsuranceFinChangeFlow	states	states@Activated	Activated	Действует	Activated
DocumentFlowDefinition	EquityLifeInsuranceFinChangeFlow	states	states@WaitingForPayment	WaitingForPayment	Ожидает оплаты	WaitingForPayment
DocumentFlowDefinition	EquityLifeInsuranceFinChangeFlow	transitions	transitions@WaitingForPayment_to_Cancelled@Title	WaitingForPayment_to_Cancelled	Аннулировать	WaitingForPayment_to_Cancelled
DocumentFlowDefinition	EquityLifeInsuranceFinChangeFlow	transitions	transitions@OperationsApproval_to_WaitingForPayment@Title	OperationsApproval_to_WaitingForPayment	Ожидает оплаты	OperationsApproval_to_WaitingForPayment
DataSchema	EquityLifeInsuranceFinChange	field-title	calculationDate	calculationDate	Дата расчета ДИД	calculationDate
