ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
DocumentConfiguration	EquityLifeInsurancePortfolioMovement	actors	Operations	Operations	Operations	ОПЕРУ
DocumentConfiguration	EquityLifeInsurancePortfolioMovement	actors	System	System	System	Система
DocumentFlowDefinition	EquityLifeInsurancePortfolioMovementFlow	transitions	transitions@Draft_to_Cancelled@Title	Draft_to_Cancelled	Draft_to_Cancelled	Отменить
DocumentFlowDefinition	EquityLifeInsurancePortfolioMovementFlow	transitions	transitions@Draft_to_Activated@Title	Draft_to_Activated	Draft_to_Activated	Проект -> Действует
DocumentFlowDefinition	EquityLifeInsurancePortfolioMovementFlow	operations	operations@Save@Title	Save	Save	Сохранить
DocumentFlowDefinition	EquityLifeInsurancePortfolioMovementFlow	states	states@Draft	Draft	Draft	Черновик
DocumentFlowDefinition	EquityLifeInsurancePortfolioMovementFlow	states	states@Activated	Activated	Activated	Активировать
DocumentFlowDefinition	EquityLifeInsurancePortfolioMovementFlow	states	states@Cancelled	Cancelled	Cancelled	Отменить
UiSchema	EquityLifeInsurancePortfolioMovementMainContent	ui-label	amendment	amendment	amendment	ДС
UiSchema	EquityLifeInsurancePortfolioMovementMainContent	ui-label	Insurance Conditions	Insurance Conditions	Insurance Conditions	Условия страхования
UiSchema	EquityLifeInsurancePortfolioMovementMainContent	ui-label	commissionTab	commissionTab	commissionTab	Комиссия
DocumentConfiguration	EquityLifeInsurancePortfolioMovement	rootConfiguration	EquityLifeInsurancePortfolioMovement@Title	EquityLifeInsurancePortfolioMovement	EquityLifeInsurancePortfolioMovement	ДС на передачу портфеля
DataSchema	EquityLifeInsurancePortfolioMovement	field-title	commentIsRequired	commentIsRequired	commentIsRequired	Комментарий обязателен для заполнения
DataSchema	EquityLifeInsurancePortfolioMovement	field-title	commentAuthorIsRequired	commentAuthorIsRequired	commentAuthorIsRequired	Автор комментария обязателен для заполнения
