ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DataSchema	EquityLifeInsuranceQuote	field-title	commentAuthorIsRequired	commentAuthorIsRequired	commentAuthorIsRequired	commentAuthorIsRequired
DataSchema	EquityLifeInsuranceQuote	field-title	commentIsRequired	commentIsRequired	commentIsRequired	commentIsRequired
DocumentConfiguration	EquityLifeInsuranceQuote	actors	Agent	Agent	Агент	Agent
DocumentConfiguration	EquityLifeInsuranceQuote	actors	Operations	Operations	ОПЕРУ	Operations
DocumentConfiguration	EquityLifeInsuranceQuote	actors	UKSP	UKSP	УКСП	UKSP
DocumentConfiguration	EquityLifeInsuranceQuote	actors	Underwriter	Underwriter	Андеррайтер	Underwriter
DocumentConfiguration	EquityLifeInsuranceQuote	actors	Viewer	Viewer	Просмотр	Viewer
DocumentConfiguration	EquityLifeInsuranceQuote	rootConfiguration	EquityLifeInsuranceQuote@Title	EquityLifeInsuranceQuote	ДСЖ. Заявка на страхование	EquityLifeInsuranceQuote
DocumentFlowDefinition	EquityLifeInsuranceQuoteFlow	operations	operations@Save@Title	Save	Сохранить	Save
DocumentFlowDefinition	EquityLifeInsuranceQuoteFlow	states	states@Approved	Approved	Согласована	Approved
DocumentFlowDefinition	EquityLifeInsuranceQuoteFlow	states	states@Cancelled	Cancelled	Отменена	Cancelled
DocumentFlowDefinition	EquityLifeInsuranceQuoteFlow	states	states@Draft	Draft	Проект	Draft
DocumentFlowDefinition	EquityLifeInsuranceQuoteFlow	states	states@InfoRequest	InfoRequest	Запрос информации	InfoRequest
DocumentFlowDefinition	EquityLifeInsuranceQuoteFlow	states	states@Issued	Issued	Создан договор	Issued
DocumentFlowDefinition	EquityLifeInsuranceQuoteFlow	states	states@OnReview	OnReview	На рассмотрении в СК	OnReview
DocumentFlowDefinition	EquityLifeInsuranceQuoteFlow	states	states@Rejected	Rejected	Не согласована	Rejected
DocumentFlowDefinition	EquityLifeInsuranceQuoteFlow	transitions	transitions@Approved_to_Cancelled@Title	Approved_to_Cancelled	Отменить	Approved_to_Cancelled
DocumentFlowDefinition	EquityLifeInsuranceQuoteFlow	transitions	transitions@Approved_to_Issued@Title	Approved_to_Issued	Согласована -> Создан договор	Approved_to_Issued
DocumentFlowDefinition	EquityLifeInsuranceQuoteFlow	transitions	transitions@Draft_to_Approved@Title	Draft_to_Approved	Согласовать	Draft_to_Approved
DocumentFlowDefinition	EquityLifeInsuranceQuoteFlow	transitions	transitions@Draft_to_Cancelled@Title	Draft_to_Cancelled	Отменить	Draft_to_Cancelled
