ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
DocumentConfiguration	EquityLifeInsuranceReactivation	actors	Operations	Operations	Operations	ОПЕРУ
DocumentConfiguration	EquityLifeInsuranceReactivation	actors	Viewer	Viewer	Viewer	Просмотр
DocumentFlowDefinition	EquityLifeInsuranceReactivationFlow	transitions	transitions@Draft_to_Activated@Title	Draft_to_Activated	Draft_to_Activated	Подтвердить
DocumentFlowDefinition	EquityLifeInsuranceReactivationFlow	transitions	transitions@Draft_to_Cancelled@Title	Draft_to_Cancelled	Draft_to_Cancelled	Аннулировать
DocumentFlowDefinition	EquityLifeInsuranceReactivationFlow	operations	operations@Save@Title	Save	Save	Сохранить
DocumentFlowDefinition	EquityLifeInsuranceReactivationFlow	states	states@Draft	Draft	Draft	Проект
DocumentFlowDefinition	EquityLifeInsuranceReactivationFlow	states	states@Activated	Activated	Activated	Действует
DocumentFlowDefinition	EquityLifeInsuranceReactivationFlow	states	states@Cancelled	Cancelled	Cancelled	Аннулирован
UiSchema	EquityLifeInsuranceReactivationMainContent	ui-label	tabAmendmentConditions	tabAmendmentConditions	tabAmendmentConditions	Основная информация
UiSchema	EquityLifeInsuranceReactivationMainContent	ui-label	History	History	History	История статусов
DocumentConfiguration	EquityLifeInsuranceReactivation	rootConfiguration	EquityLifeInsuranceReactivation@Title	EquityLifeInsuranceReactivation	EquityLifeInsuranceReactivation	ДС на восстановление
DataSchema	EquityLifeInsuranceReactivation	field-title	commentIsRequired	commentIsRequired	commentIsRequired	Комментарий обязателен
DataSchema	EquityLifeInsuranceReactivation	field-title	commentAuthorIsRequired	commentAuthorIsRequired	commentAuthorIsRequired	Автор комментария обязателен
DocumentConfiguration	EquityLifeInsuranceReactivation	actors	System	System	System	Система
