ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
UiSchema	EquityLifeInsuranceTechnicalAmendmentMainContent	ui-label	amendment	amendment	amendment	ДС
DocumentConfiguration	EquityLifeInsuranceTechnicalAmendment	actors	Viewer	Viewer	Viewer	Просмотр
DocumentFlowDefinition	EquityLifeInsuranceTechnicalAmendmentFlow	states	states@Activated	Activated	Activated	Действует
DocumentConfiguration	EquityLifeInsuranceTechnicalAmendment	rootConfiguration	EquityLifeInsuranceTechnicalAmendment@Title	EquityLifeInsuranceTechnicalAmendment	EquityLifeInsuranceTechnicalAmendment	Техническое дополнительное соглашение
DocumentConfiguration	EquityLifeInsuranceTechnicalAmendment	actors	System	System	System	Система
DocumentFlowDefinition	EquityLifeInsuranceTechnicalAmendmentFlow	states	states@Draft	Draft	Draft	Проект
DocumentFlowDefinition	EquityLifeInsuranceTechnicalAmendmentFlow	transitions	transitions@Draft_to_Activated@Title	Draft_to_Activated	Draft_to_Activated	Проект -> Действует
DocumentFlowDefinition	EquityLifeInsuranceTechnicalAmendmentFlow	operations	operations@Save@Title	Save	Save	Сохранить
DocumentFlowDefinition	EquityLifeInsuranceTechnicalAmendmentFlow	transitions	transitions@Draft_to_Cancelled@Title	Draft_to_Cancelled	Draft_to_Cancelled	Проект -> Отменён
DocumentFlowDefinition	EquityLifeInsuranceTechnicalAmendmentFlow	states	states@Cancelled	Cancelled	Cancelled	Отменён
DocumentConfiguration	EquityLifeInsuranceTechnicalAmendment	actors	Operations	Operations	Operations	ОПЕРУ
