ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
UiSchema	DefaultDashboardUISchema	ui-label	Parties	Parties	Контрагенты	Parties
UiSchema	DefaultDashboardUISchema	ui-label	Organisation	Organisation	Орг. структура	Organisation
DashboardConfiguration	DefaultDashboard	rootConfiguration	DefaultDashboard@Title	DefaultDashboard	Рабочий стол	DefaultDashboard
UiSchema	DefaultDashboardUISchema	ui-label	PartySearch	PartySearch	Поиск контрагентов	Search Party
UiSchema	DefaultDashboardUISchema	ui-label	LegalEntity	LegalEntity	Юр. лицо	LegalEntity
UiSchema	DefaultDashboardUISchema	ui-label	OrganisationUnitImplOverview	OrganisationUnitImplOverview	Орг. структура	OrganisationUnitImplOverview
UiSchema	DefaultDashboardUISchema	ui-label	OrganisationUnit	OrganisationUnit	Подразделение	OrganisationUnit
UiSchema	DefaultDashboardUISchema	ui-label	Contracts	Contracts	Оформление договора	Contracts
UiSchema	DefaultDashboardUISchema	ui-label	Requests	Requests	Заявки	Requests
UiSchema	DefaultDashboardUISchema	ui-label	NaturalPerson	NaturalPerson	Физ. лицо	NaturalPerson
UiSchema	DefaultDashboardUISchema	ui-label	ContractSearch	ContractSearch	Журнал договоров	ContractSearch
