ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
MenuConfiguration	MainMenu	ui-label	AccidentLifeInsuranceQuote	AccidentLifeInsuranceQuote	AccidentLifeInsuranceQuote	НС. Заявка на страхование
MenuConfiguration	MainMenu	ui-label	Accounting	Accounting	Accounting	Бухгалтерия
MenuConfiguration	MainMenu	ui-label	Accounting certificate journal	Accounting certificate journal	Accounting certificate journal	Журнал справок
MenuConfiguration	MainMenu	ui-label	AccountingCertificates	AccountingCertificates	AccountingCertificates	Справки для налоговой
MenuConfiguration	MainMenu	ui-label	AccumulatedLifeInsuranceQuote	AccumulatedLifeInsuranceQuote	AccumulatedLifeInsuranceQuote	Защита и накопления. Заявка на страхование
MenuConfiguration	MainMenu	ui-label	Administration	Administration	Administration	Администрация
MenuConfiguration	MainMenu	ui-label	Agent Agreements	Agent Agreements	Agent Agreements	Агентские договоры
MenuConfiguration	MainMenu	ui-label	AgentAgreementSearchView	AgentAgreementSearchView	AgentAgreementSearchView	Поиск агентских договоров
MenuConfiguration	MainMenu	ui-label	AgentVerification	AgentVerification	AgentVerification	Проверки
MenuConfiguration	MainMenu	ui-label	AgentVerificationearchView	AgentVerificationearchView	AgentVerificationearchView	Журнал проверок
MenuConfiguration	MainMenu	ui-label	AgentVerifications	AgentVerifications	AgentVerifications	Проверки
MenuConfiguration	MainMenu	ui-label	Aggregated Payment Register Import	Aggregated Payment Register Import	Aggregated Payment Register ImportAggregated Payment Register Import	Импорт реестра платежей
MenuConfiguration	MainMenu	ui-label	Allocation	Allocation	Allocations	Идентификации
MenuConfiguration	MainMenu	ui-label	Available commission	Available commission	Available commission	Кандидаты на выплату КВ
MenuConfiguration	MainMenu	ui-label	Available commission Contract	Available commission Contract	Available commission Contract	Невыплаченное КВ
MenuConfiguration	MainMenu	ui-label	Bank statement services	Bank statement services	Services	Сервисы
MenuConfiguration	MainMenu	ui-label	Bank statements	Bank statements	Bank Statements	Банковские выписки
MenuConfiguration	MainMenu	ui-label	BSI Overview	BSI Overview	BSI Overview	Журнал платежей
MenuConfiguration	MainMenu	ui-label	ClaimAdministration	ClaimAdministration	ClaimAdministration	Администрирование убытков
MenuConfiguration	MainMenu	ui-label	Claims	Claims	Claims	Убытки
MenuConfiguration	MainMenu	ui-label	ClosedPeriods	ClosedPeriods	ClosedPeriods	Закрытые периоды
MenuConfiguration	MainMenu	ui-label	Collective contracts	Collective contracts	Collective contracts	Коллективные договоры
MenuConfiguration	MainMenu	ui-label	CollectiveLifeInsurancePolicy	CollectiveLifeInsurancePolicy	CollectiveLifeInsurancePolicy	Коллективный договор
MenuConfiguration	MainMenu	ui-label	Commission act	Commission act	Commission act	АВР
MenuConfiguration	MainMenu	ui-label	Commission act item journal	Commission act item journal	Commission act item journal	Журнал строк АВР
MenuConfiguration	MainMenu	ui-label	Commission act journal	Commission act journal	Commission act journal	Журнал АВР
MenuConfiguration	MainMenu	ui-label	Commission Acts	Commission Acts	Commission acts	АВР
MenuConfiguration	MainMenu	ui-label	Configuration	Configuration	Configuration	Конфигурация
MenuConfiguration	MainMenu	ui-label	ContractAdministration	ContractAdministration	ContractAdministration	Администрирование договоров страхования
MenuConfiguration	MainMenu	ui-label	Contracts	Contracts	Contracts	Оформление договора
MenuConfiguration	MainMenu	ui-label	ContractSearch	ContractSearch	ContractSearch	Журнал договоров
MenuConfiguration	MainMenu	ui-label	Create accounting certificate	Create accounting certificate	Create accounting certificate	Создать справку
MenuConfiguration	MainMenu	ui-label	Create RSD	Create RSD	Create RSD	Создать РСД
MenuConfiguration	MainMenu	ui-label	CreateWorkingCalendar	CreateWorkingCalendar	Create working calendar	Создать рабочий календарь
MenuConfiguration	MainMenu	ui-label	CreditLifeInsuranceQuote	CreditLifeInsuranceQuote	CreditLifeInsuranceQuote	КСЖ. Заявка на страхование
MenuConfiguration	MainMenu	ui-label	Dashboards	Dashboards	Dashboards	Рабочие столы
