ApplicationRole	PermissionType	CodeName	ConceptTypeName	AssignedPermission	AssignmentOperator
General	Execute Service	ActivitiesDataSource	DataSourceConfiguration	*	Add
General	Execute Service	AttachmentsVerificationsDataSource	DataSourceConfiguration	*	Add
General	Execute Service	BannerNotificationDataSource	DataSourceConfiguration	*	Add
General	Execute Service	CancellationInquiriesDataSource	DataSourceConfiguration	*	Add
General	Execute Service	CancellationInquiriesFullDataSource	DataSourceConfiguration	*	Add
General	Execute Service	ContractAmendmentsDataSource	DataSourceConfiguration	*	Add
General	Execute Service	ContractBodyDataSource	DataSourceConfiguration	*	Add
General	Execute Service	ContractCommentsDataSource	DataSourceConfiguration	*	Add
General	Execute Service	ContractVersionsDataSource	DataSourceConfiguration	*	Add
General	Execute Service	DadataDataSource	DataSourceConfiguration	*	Add
General	Execute Service	DocumentMessageDataSource	DataSourceConfiguration	*	Add
General	Execute Service	DocumentStateHistoryDataSource	DataSourceConfiguration	*	Add
General	Execute Service	EntitiesAttachmentDataSource	DataSourceConfiguration	*	Add
General	Execute Service	EntitiesAttachmentUDDataSource	DataSourceConfiguration	*	Add
General	Execute Service	ESActivitiesDataSource	DataSourceConfiguration	*	Add
General	Execute Service	ETLTestingDataSource	DataSourceConfiguration	*	Add
General	Execute Service	GenerateSequenceNumberDataSource	DataSourceConfiguration	*	Add
Administrator	Execute Service	GetFindAbsentActivitiesDataSource	DataSourceConfiguration	*	Add
General	Execute Service	GetUserGroupsDataSource	DataSourceConfiguration	*	Add
General	Execute Service	HistoryCommentsDataSource	DataSourceConfiguration	*	Add
General	Execute Service	ImportRecordStatusFailed	DataSourceConfiguration	*	Add
General	Execute Service	InquiriesDataSource	DataSourceConfiguration	*	Add
General	Execute Service	LoadDataErrorsDataSource	DataSourceConfiguration	*	Add
General	Execute Service	OpenStateActivityDataSource	DataSourceConfiguration	*	Add
General	Execute Service	ProductRiskMappingDataSource	DataSourceConfiguration	*	Add
General	Execute Service	RelatedDocumentsDataSource	DataSourceConfiguration	*	Add
General	Execute Service	SinkErrorDataSource	DataSourceConfiguration	*	Add
General	Execute Service	RelatedRequestsDataSource	DataSourceConfiguration	*	Add
General	Execute Service	UserActiveDataSource	DataSourceConfiguration	*	Add
General	Execute Service	UserDataSource	DataSourceConfiguration	*	Add
ServiceExecutor	Execute Service	FindAbsentActivitiesETL	EtlServiceConfiguration	*	Add
Administrator	Execute Service	CreateStateActivityForDocument	IntegrationServiceConfiguration	*	Add
SystemNotificationAdministrator	Execute Service	DeleteBannerNotificationIS	IntegrationServiceConfiguration	*	Add
General	Allow Actor	AttachmentsView	ViewConfiguration	Agent	Add
General	Allow Actor	CommentsView	ViewConfiguration	General	Add
General	Allow Actor	ContractAmendmentsView	ViewConfiguration	General	Add
General	Allow Actor	DocumentStateHistoryView	ViewConfiguration	General	Add
Administrator	Allow Actor	EtlServiceManagementRGSLView	ViewConfiguration	EtlServiceAdmin	Add
Administrator	Allow Actor	ETLTestingView	ViewConfiguration	Administrator	Add
Administrator	Allow Actor	FindAbsentActivitiesRunNewView	ViewConfiguration	Administrator	Add
Administrator	Allow Actor	FindAbsentActivitiesView	ViewConfiguration	Administrator	Add
General	Allow Actor	HistoryCommentsView	ViewConfiguration	General	Add
General	Allow Actor	RelatedDocumentsView	ViewConfiguration	General	Add
General	Allow Actor	RelatedDocumentErrorsView	ViewConfiguration	General	Add
General	Allow Actor	EconomicParametersUpdateErrorsView	ViewConfiguration	General	Add
General	Allow Actor	RelatedRequestAmendmentsView	ViewConfiguration	General	Add
General	Allow Actor	RelatedRequestsView	ViewConfiguration	General	Add
SystemNotificationAdministrator	Allow Actor	SystemNotificationView	ViewConfiguration	SystemNotificationAdministrator	Add
