ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
DataSchema	ContractState	enum	contractState@Activated	Activated	Activated	Действует
DataSchema	ContractState	enum	contractState@InfoRequest	InfoRequest	InfoRequest	Запрос информации
DataSchema	ContractState	enum	contractState@OnReview	OnReview	OnReview	На рассмотрении в СК
DataSchema	ContractState	enum	contractState@Rejected	Rejected	Rejected	Не согласована
DataSchema	ContractState	enum	contractState@Cancelled	Cancelled	Cancelled	Отменен(а)
DataSchema	ContractState	enum	contractState@Active	Active	Active	Подписан
DataSchema	ContractState	enum	contractState@Draft	Draft	Draft	Проект
DataSchema	ContractState	enum	contractState@Approved	Approved	Approved	Согласована
DataSchema	ContractState	enum	contractState@Issued	Issued	Issued	Создан договор
DataSchema	ContractState	enum	contractState@CancelledByAmendment	CancelledByAmendment	CancelledByAmendment	Расторгнут
DataSchema	ContractState	enum	contractState@Completed	Completed	Completed	Завершён
DataSchema	ContractState	field-title	contractState	contractState	Contract state	Статус договора
