ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DataSchema	LoadDataErrorsDataSourceResultSchema	field-title	Import source id	Import source id	ИД источника	Import source id
DataSchema	LoadDataErrorsDataSourceResultSchema	field-title	Row number	Row number	Номер строки	Row Number
DataSchema	LoadDataErrorsDataSourceResultSchema	field-title	Record key	Record key	Номер записи	Record key
DataSchema	LoadDataErrorsDataSourceResultSchema	field-title	Error type	Error type	Тип ошибки	Error type
DataSchema	LoadDataErrorsDataSourceResultSchema	field-title	Raw data	Raw data	Данные строки	Raw data
DataSchema	LoadDataErrorsDataSourceResultSchema	field-title	Error message	Error message	Сообщение об ошибке	Error message
DataSchema	LoadDataErrorsDataSourceResultSchema	field-title	Mapping result	Mapping result	Результат маппинга	Mapping result
DataSchema	LoadDataErrorsDataSourceResultSchema	field-title	errorDetails	errorDetails	Детали ошибок	Error details
DataSchema	LoadDataErrorsDataSourceResultSchema	field-title	code	code	Код	code
DataSchema	LoadDataErrorsDataSourceResultSchema	field-title	message	message	Сообщение	message
DataSchema	LoadDataErrorsDataSourceResultSchema	field-title	errorMessages	errorMessages	Собщения об ошибках	errorMessages
