ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DataSchema	RelatedRequestsDataSourceResultSchema	field-title	requestId	requestId	Id заявки	requestId
DataSchema	RelatedRequestsDataSourceResultSchema	field-title	requestCodeName	requestCodeName	Код конфигурации заявки	requestCodeName
DataSchema	RelatedRequestsDataSourceResultSchema	field-title	requestNumber	requestNumber	Номер заявки	requestNumber
DataSchema	RelatedRequestsDataSourceResultSchema	field-title	requestState	requestState	Статус заявки	requestState
DataSchema	RelatedRequestsDataSourceResultSchema	field-title	requestIssueDate	requestIssueDate	Дата подписания заявления	requestIssueDate
DataSchema	RelatedRequestsDataSourceResultSchema	field-title	typeOfRequest	typeOfRequest	Тип обращения	typeOfRequest
DataSchema	RelatedRequestsDataSourceResultSchema	field-title	amendmentReason	amendmentReason	Причина расторжения	amendmentReason
DataSchema	RelatedRequestsDataSourceResultSchema	field-title	contractNumber	contractNumber	Номер договора	contractNumber
DataSchema	RelatedRequestsDataSourceResultSchema	field-title	requestStateEn	requestStateEn	Статус заявки (En)	requestStateEn
DataSchema	RelatedRequestsDataSourceResultSchema	field-title	typeOfRequestEn	typeOfRequestEn	Тип обращения (En)	typeOfRequestEn
