ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
MasterEntityConfiguration	AttachmentType	rootConfiguration	AttachmentType@Title	AttachmentType	Attachment Type	Тип вложения
DataSchema	AttachmentType	localized-field	AttachmentType@a7@description	description	a7	Квитанция А-7
DataSchema	AttachmentType	localized-field	AttachmentType@AAAmendment@description	description	AAAmendment	Доп.соглашение к АД
DataSchema	AttachmentType	localized-field	AttachmentType@AACancellationNotification@description	description	AACancellationNotification	Уведомление о расторжении
DataSchema	AttachmentType	localized-field	AttachmentType@accidenticalDocuments@description	description	accidenticalDocuments	Медицинские документы
DataSchema	AttachmentType	localized-field	AttachmentType@act@description	description	act	Страховой акт
DataSchema	AttachmentType	localized-field	AttachmentType@actAccidentEvent@description	description	actAccidentEvent	Акт о несчастном случае на мероприятии
DataSchema	AttachmentType	localized-field	AttachmentType@actIndustrialAccident@description	description	actIndustrialAccident	Акт о несчастном случае на производстве
DataSchema	AttachmentType	localized-field	AttachmentType@actMedicalSocialExpertise@description	description	actMedicalSocialExpertise	Акт медико-социальной экспертизы
DataSchema	AttachmentType	localized-field	AttachmentType@actPathoanatomic@description	description	actPathoanatomic	Акт патологоанатомического вскрытия
DataSchema	AttachmentType	localized-field	AttachmentType@additionalQuestionnaire@description	description	additionalQuestionnaire	Дополнительный опросник
DataSchema	AttachmentType	localized-field	AttachmentType@additionalQuestionnaireTab@description	description	additionalQuestionnaireTab	Дополнительная анкета
DataSchema	AttachmentType	localized-field	AttachmentType@AgentAgreement@description	description	AgentAgreement	Агентский договор
DataSchema	AttachmentType	localized-field	AttachmentType@alcoholIntoxicationDocuments@description	description	alcoholIntoxicationDocuments	Справка о наличии алкогольного опьянения
DataSchema	AttachmentType	localized-field	AttachmentType@amendment@description	description	amendment	Дополнительное соглашение
DataSchema	AttachmentType	localized-field	AttachmentType@amendmentSign@description	description	amendmentSign	Дополнительное соглашение - подписанное
DataSchema	AttachmentType	localized-field	AttachmentType@amountDebtDocuments@description	description	amountDebtDocuments	Справка о сумме страховой задолженности
DataSchema	AttachmentType	localized-field	AttachmentType@appendicesRulesForRisks@description	description	appendicesRulesForRisks	Приложения к правилам для рисков
DataSchema	AttachmentType	localized-field	AttachmentType@appendixA@description	description	appendixA	Приложение А к Заявлению на страхование
DataSchema	AttachmentType	localized-field	AttachmentType@application@description	description	application	Заявление на страхование
DataSchema	AttachmentType	localized-field	AttachmentType@ApplicationAccident@description	description	ApplicationAccident	Заявление по дожитию
DataSchema	AttachmentType	localized-field	AttachmentType@ApplicationCancellationInvestProfit@description	description	ApplicationCancellationInvestProfit	Заявление на отмену в выплате ДИД
DataSchema	AttachmentType	localized-field	AttachmentType@ApplicationEndowment@description	description	ApplicationEndowment	Заявление по дожитию
DataSchema	AttachmentType	localized-field	AttachmentType@ApplicationInsuranceClaim@description	description	ApplicationInsuranceClaim	Заявление на страховую выплату
DataSchema	AttachmentType	localized-field	AttachmentType@applicationInsurancePayment@description	description	applicationInsurancePayment	Заявление на страховую выплату
DataSchema	AttachmentType	localized-field	AttachmentType@ApplicationMed@description	description	ApplicationMed	Заявление по дожитию
DataSchema	AttachmentType	localized-field	AttachmentType@ApplicationPaymentInvestProfit@description	description	ApplicationPaymentInvestProfit	Заявление на выплату ДИД
DataSchema	AttachmentType	localized-field	AttachmentType@applicationTemplate@description	description	applicationTemplate	Шаблон заявления
DataSchema	AttachmentType	localized-field	AttachmentType@appointmentBeneficiary@description	description	appointmentBeneficiary	Распоряжение о назначении ВП
DataSchema	AttachmentType	localized-field	AttachmentType@assetPlacementAgreement@description	description	assetPlacementAgreement	Соглашение по размещению Актива
DataSchema	AttachmentType	localized-field	AttachmentType@attorney@description	description	attorney	Доверенность
DataSchema	AttachmentType	localized-field	AttachmentType@automatizer@description	description	automatizer	Автоматизатор
DataSchema	AttachmentType	localized-field	AttachmentType@bankDetails@description	description	bankDetails	Банковские реквизиты
DataSchema	AttachmentType	localized-field	AttachmentType@bankNotification@description	description	bankNotification	Дополнительные документы банка
DataSchema	AttachmentType	localized-field	AttachmentType@birthCertificate@description	description	birthCertificate	Свидетельство о рождении
DataSchema	AttachmentType	localized-field	AttachmentType@cancellationAgreementParties@description	description	cancellationAgreementParties	Расторжение по соглашению сторон
DataSchema	AttachmentType	localized-field	AttachmentType@cancellationApplication@description	description	cancellationApplication	Заявление о расторжении/получении ВС
DataSchema	AttachmentType	localized-field	AttachmentType@certificateDeath@description	description	certificateDeath	Медицинская справка о смерти
DataSchema	AttachmentType	localized-field	AttachmentType@certificateTemporaryDisability@description	description	certificateTemporaryDisability	Листок временной нетрудоспособности
DataSchema	AttachmentType	localized-field	AttachmentType@changeApplication@description	description	changeApplication	Заявление на внесение изменений
DataSchema	AttachmentType	localized-field	AttachmentType@commissionAct@description	description	commissionAct	АВР
DataSchema	AttachmentType	localized-field	AttachmentType@complianceDocuments@description	description	complianceDocuments	Документы комплаенс
DataSchema	AttachmentType	localized-field	AttachmentType@conclusionConductedInstrumentalResearch@description	description	conclusionConductedInstrumentalResearch	Заключение о проведенном инструментальном исследовании
DataSchema	AttachmentType	localized-field	AttachmentType@conclusionMC@description	description	conclusionMC	Заключение ВК/ЭВН
DataSchema	AttachmentType	localized-field	AttachmentType@conclusionMSE@description	description	conclusionMSE	Заключение МСЭ
DataSchema	AttachmentType	localized-field	AttachmentType@conclusionNeurologist@description	description	conclusionNeurologist	Заключение невролога
DataSchema	AttachmentType	localized-field	AttachmentType@contractProject@description	description	contractProject	Проект договора страхования
DataSchema	AttachmentType	localized-field	AttachmentType@contractSigned@description	description	contractSigned	Подписанный договор страхования
DataSchema	AttachmentType	localized-field	AttachmentType@copyApplication@description	description	copyApplication	Копия заявления
DataSchema	AttachmentType	localized-field	AttachmentType@copyAttorney@description	description	copyAttorney	Копия доверенности
DataSchema	AttachmentType	localized-field	AttachmentType@copyBirthCertificate@description	description	copyBirthCertificate	Копия свидетельства о рождении
DataSchema	AttachmentType	localized-field	AttachmentType@copyPassport@description	description	copyPassport	Копия паспорта
DataSchema	AttachmentType	localized-field	AttachmentType@copyPolicy@description	description	copyPolicy	Копия полиса
DataSchema	AttachmentType	localized-field	AttachmentType@deathCertificate@description	description	deathCertificate	Свидетельство о смерти
DataSchema	AttachmentType	localized-field	AttachmentType@descriptionTomography@description	description	descriptionTomography	Описание Рентген/МРТ/КТ
DataSchema	AttachmentType	localized-field	AttachmentType@didPaymentApplication@description	description	didPaymentApplication	Заявление на выплату ДИД
DataSchema	AttachmentType	localized-field	AttachmentType@disabilityDocuments@description	description	disabilityDocuments	Справка об инвалидности
DataSchema	AttachmentType	localized-field	AttachmentType@DocumentsBankAttachment@description	description	DocumentsBankAttachment	Документы банка
DataSchema	AttachmentType	localized-field	AttachmentType@DocumentsBankSignedAttachment@description	description	DocumentsBankSignedAttachment	Подписанные документы банка
DataSchema	AttachmentType	localized-field	AttachmentType@documentsConfirmingTravel@description	description	documentsConfirmingTravel	Документы подтверждающие проезд
DataSchema	AttachmentType	localized-field	AttachmentType@edowmentApplication@description	description	edowmentApplication	Заявление на Дожитие
DataSchema	AttachmentType	localized-field	AttachmentType@electroencephalogram@description	description	electroencephalogram	Электроэнцефалограмма
DataSchema	AttachmentType	localized-field	AttachmentType@employmentContract@description	description	employmentContract	Трудовой договор
DataSchema	AttachmentType	localized-field	AttachmentType@employmentRecord@description	description	employmentRecord	Трудовая книжка
DataSchema	AttachmentType	localized-field	AttachmentType@employmentServiceDocuments@description	description	employmentServiceDocuments	Справка из службы занятости населения
DataSchema	AttachmentType	localized-field	AttachmentType@ePolicy@description	description	ePolicy	Проект договора
DataSchema	AttachmentType	localized-field	AttachmentType@ePolicyDigitallySigned@description	description	ePolicyDigitallySigned	Договор с ЭЦП
DataSchema	AttachmentType	localized-field	AttachmentType@financialDocument@description	description	financialDocument	Финансовый документ
DataSchema	AttachmentType	localized-field	AttachmentType@financialQuestionary@description	description	financialQuestionary	Анкета о наличии финансовых знаний
DataSchema	AttachmentType	localized-field	AttachmentType@formSeventyPlus@description	description	formSeventyPlus	Анкета 70+
DataSchema	AttachmentType	localized-field	AttachmentType@guardianshipConfirmation@description	description	guardianshipConfirmation	Документы по опекунству
DataSchema	AttachmentType	localized-field	AttachmentType@heirsCertificate@description	description	heirsCertificate	Справка о круге наследников
DataSchema	AttachmentType	localized-field	AttachmentType@heritageDocuments@description	description	heritageDocuments	Свидетельство или справка о наследстве
DataSchema	AttachmentType	localized-field	AttachmentType@holder60plus@description	description	holder60plus	Уведомление 60+
DataSchema	AttachmentType	localized-field	AttachmentType@incomeConfirmation@description	description	incomeConfirmation	Справка о подтверждении доходов
DataSchema	AttachmentType	localized-field	AttachmentType@individualRehabilitationProgram@description	description	individualRehabilitationProgram	Индивидуальная программа реабилитации инвалида
DataSchema	AttachmentType	localized-field	AttachmentType@infoLetter@description	description	infoLetter	Информационное письмо
DataSchema	AttachmentType	localized-field	AttachmentType@informationTax@description	description	informationTax	Справка ИФНС
DataSchema	AttachmentType	localized-field	AttachmentType@insuranceDocumentationTemplate@description	description	insuranceDocumentationTemplate	Шаблон страховой документации
DataSchema	AttachmentType	localized-field	AttachmentType@insuranceRules@description	description	insuranceRules	Правила страхования
DataSchema	AttachmentType	localized-field	AttachmentType@InsuranceRulesAttachment@description	description	InsuranceRulesAttachment	Правила страхования жизни
DataSchema	AttachmentType	localized-field	AttachmentType@insuredAliveConfirmation@description	description	insuredAliveConfirmation	Подтверждение нахождения ЗЛ в живых
DataSchema	AttachmentType	localized-field	AttachmentType@insuredPersonsList@description	description	insuredPersonsList	Список ЗЛ
DataSchema	AttachmentType	localized-field	AttachmentType@InvApplicationAttachment@description	description	InvApplicationAttachment	Заявление
DataSchema	AttachmentType	localized-field	AttachmentType@InvApplicationSignedAttachment@description	description	InvApplicationSignedAttachment	Заявление c ПЭП
DataSchema	AttachmentType	localized-field	AttachmentType@investimentPaymentAmendment@description	description	investimentPaymentAmendment	Дополнительное соглашение о возможности получения ДИД
DataSchema	AttachmentType	localized-field	AttachmentType@investmentParametersEditApplication@description	description	investmentParametersEditApplication	Заявление на изменение структуры ИС
DataSchema	AttachmentType	localized-field	AttachmentType@invoiceForPayment@description	description	invoiceForPayment	Квитанция по оплате
DataSchema	AttachmentType	localized-field	AttachmentType@issue@description	description	issue	Претензия
DataSchema	AttachmentType	localized-field	AttachmentType@issueAnswer@description	description	issueAnswer	Ответ на претензию
DataSchema	AttachmentType	localized-field	AttachmentType@KIDAttachment@description	description	KIDAttachment	Ключевой информационный документ
DataSchema	AttachmentType	localized-field	AttachmentType@legalEntityCard@description	description	legalEntityCard	Карточка ЮЛ
DataSchema	AttachmentType	localized-field	AttachmentType@managingDirectorDRPK@description	description	managingDirectorDRPK	Согласование с управляющим директором - УД ДРПК
DataSchema	AttachmentType	localized-field	AttachmentType@managingDirectorUPIP@description	description	managingDirectorUPIP	Согласование с управляющим директором - УД УПИП
DataSchema	AttachmentType	localized-field	AttachmentType@marriageCertificate@description	description	marriageCertificate	Свидетельство о браке
DataSchema	AttachmentType	localized-field	AttachmentType@medicalCertificate@description	description	medicalCertificate	Справка из лечебно-профилактического учреждения
DataSchema	AttachmentType	localized-field	AttachmentType@medicalDocuments@description	description	medicalDocuments	Медицинские документы
