ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
MasterEntityConfiguration	TranslationData	rootConfiguration	TranslationData@Title	TranslationData	TranslationData	TranslationData
DataSchema	TranslationData	localized-field	TranslationData@ACC_CA_CONTRACTS_WAS_NOT_FOUND@description	description	Contracts was not found: {0}	Договоры не найдены: {0}
DataSchema	TranslationData	localized-field	TranslationData@ACC_CA_DUPLICATED_CONTRACT_NUMBER@description	description	Duplicated {0} ({1})	Дубли номеров: {0} ({1})
DataSchema	TranslationData	localized-field	TranslationData@ACC_CA_INSTALLMENT_WAS_NOT_FOUND@description	description	Installment was not found: ReferenceNo - {0}, DueDate - {1}, SourceLineId - {2}	Взнос не найден: Документ - {0}, Дата - {1}, Риск - {2}
DataSchema	TranslationData	localized-field	TranslationData@ACC_CA_NOT_ALLOWED_STATUS_ID@description	description	Not allowed status id {0}	Недопустимый Id статуса {0}
DataSchema	TranslationData	localized-field	TranslationData@ACC_CA_WRONG_AGENT_AGREEMENT_NAME@description	description	{0}: wrong agent agreement name	{0}: неправильное имя АгД
DataSchema	TranslationData	localized-field	TranslationData@ACC_CA_WRONG_AGENT_AGREEMENT_NUMBER@description	description	{0}: wrong agent agreement number	{0}: неправильный номер АгД
DataSchema	TranslationData	localized-field	TranslationData@ACC_CA_WRONG_AGENT_CODE@description	description	{0}: wrong agent code	{0}: неправильный код агента
DataSchema	TranslationData	localized-field	TranslationData@ACC_CA_WRONG_AGENT_NAME@description	description	{0}: wrong agent name	{0}: неправильное имя агента
DataSchema	TranslationData	localized-field	TranslationData@ACC_CF_CANCEL_OVERPAYMENT_ERROR@description	description	Allocation cancellation of overpayments is not possible	Отмена идентификации по переплате возможна только через РНВ
DataSchema	TranslationData	localized-field	TranslationData@ACC_CF_POLICY_IS_CANCELLED_ERROR@description	description	Allocation cancellation for cancelled policies is not possible	Отмена идентификации по расторгнутому договору не возможна
DataSchema	TranslationData	localized-field	TranslationData@ACC_CF_RSD_ALLOCATION_EXISTS@description	description	Allocation is not allowed if RSD allocation exists	Идентификация не разрешена если есть идентификации по РСД
DataSchema	TranslationData	localized-field	TranslationData@ACC_CF_WRONG_DIRECTION@description	description	Wrong payment direction	Неправильный тип платежа
DataSchema	TranslationData	localized-field	TranslationData@ACC_PERIOD_EXISTS_CLOSED_AFTER@description	description	Closed period after selected was found: start date - {0}, end date - {1}	Найден закрытый период после выбранного: дата начала {0}, дата окончания - {1}
DataSchema	TranslationData	localized-field	TranslationData@ACC_PERIOD_EXISTS_OPENED_BEFORE@description	description	Opened period before selected was found: start date {0}, end date - {1}	Найден открытый период перед выбранным: дата начала {0}, дата окончания - {1}
DataSchema	TranslationData	localized-field	TranslationData@PAS_INV_PROFIT_ALLOCATION_CANCEL_PAID_EXISTS@description	description	Unable to cancel allocation. Allocation is in Paid status.	Невозможно отвязать ДИД, т.к. он уже оплачен.
