ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
ViewConfiguration	AttachmentsView	rootConfiguration	AttachmentsView@Title	AttachmentsView	AttachmentsView	Attachments view
DataSchema	AttachmentsView	enum	uploadStatus@PendingUpload	PendingUpload	PendingUpload	Pending upload
DataSchema	AttachmentsView	enum	uploadStatus@Uploaded	Uploaded	Uploaded	Uploaded
DataSchema	AttachmentsView	enum	uploadStatus@PendingDeletion	PendingDeletion	PendingDeletion	Pending deletion
DataSchema	AttachmentsView	enum	uploadStatus@Deleted	Deleted	Deleted	Deleted
ViewConfiguration	AttachmentsView	actors	Agent	Agent	Agent	Agent
UiSchema	AttachmentsViewUiSchema	ui-label	contractSigned	contractSigned	Подписанный договор страхования	contractSigned
UiSchema	AttachmentsViewUiSchema	ui-label	bankNotification	bankNotification	Дополнительные документы банка	bankNotification
UiSchema	AttachmentsViewUiSchema	ui-label	application	application	Заявление на страхование	application
UiSchema	AttachmentsViewUiSchema	ui-label	passport	passport	Документ, удостоверяющий личность	passport
UiSchema	AttachmentsViewUiSchema	ui-label	financialQuestionary	financialQuestionary	Анкета о наличии финансовых знаний	financialQuestionary
UiSchema	AttachmentsViewUiSchema	ui-label	changeApplication	changeApplication	Заявление на внесение изменений	changeApplication
UiSchema	AttachmentsViewUiSchema	ui-label	supportingDocument	supportingDocument	Обосновывающий документ	supportingDocument
