ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
ViewConfiguration	ContractAmendmentsView	actors	General	General	Общее	General
UiSchema	ContractAmendmentsViewUiSchema	ui-label	publishedArtifactName	publishedArtifactName	Тип	publishedArtifactName
UiSchema	ContractAmendmentsViewUiSchema	ui-label	contractNumber	contractNumber	Номер	contractNumber
UiSchema	ContractAmendmentsViewUiSchema	ui-label	processStateName	processStateName	Статус	processStateName
UiSchema	ContractAmendmentsViewUiSchema	ui-label	sysCreatedOn	sysCreatedOn	Дата создания	sysCreatedOn
UiSchema	ContractAmendmentsViewUiSchema	ui-label	sysCreatedBy	sysCreatedBy	Создано	sysCreatedBy
UiSchema	ContractAmendmentsViewUiSchema	ui-label	sysUpdatedOn	sysUpdatedOn	Дата изменения	sysUpdatedOn
UiSchema	ContractAmendmentsViewUiSchema	ui-label	sysUpdatedBy	sysUpdatedBy	Изменено	sysUpdatedBy
ViewConfiguration	ContractAmendmentsView	rootConfiguration	ContractAmendmentsView@Title	ContractAmendmentsView	Доп. соглашения	ContractAmendmentsView
UiSchema	ContractAmendmentsViewUiSchema	ui-label	validFrom	validFrom	Действует с	validFrom
UiSchema	ContractAmendmentsViewUiSchema	ui-label	comment	comment	Комментарий	comment
