ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
ViewConfiguration	ETLTestingView	rootConfiguration	ETLTestingView@Title	ETLTestingView	Testing View	Testing View
UiSchema	ETLTestingViewUiSchema	ui-label	Billing	Billing	Billing	Billing
UiSchema	ETLTestingViewUiSchema	ui-label	Contract number	Contract number	Contract Number	Contract Number
UiSchema	ETLTestingViewUiSchema	ui-label	Accounting	Accounting	Accounting	Accounting
UiSchema	ETLTestingViewUiSchema	ui-label	Grouping payment orders	Grouping payment orders	Grouping Payment Orders	Grouping Payment Orders
UiSchema	ETLTestingViewUiSchema	ui-label	Execute	Execute	Execute	Execute
UiSchema	ETLTestingViewUiSchema	ui-label	Generate invoices	Generate invoices	Generate Invoices	Generate Invoices
ClientAction	ETLTestingViewGroupPaymentOrdersETLService	ui-message	groupPOs	groupPaymentOrdersETLService	Grouping payment orders started	Grouping payment orders started
UiSchema	ETLTestingViewUiSchema	ui-label	Payment plan based invoicing	Payment plan based invoicing	Payment plan based invoicing	Payment plan based invoicing
UiSchema	ETLTestingViewUiSchema	ui-label	Include Instalments until	Include Instalments until	Include Instalments until	Include Instalments until
UiSchema	ETLTestingViewUiSchema	ui-label	For installment based invoicing, please enter date until installments will be included in invoice.	For installment based invoicing, please enter date until installments will be included in invoice.	For installment based invoicing, please enter date until installments will be included in invoice.	For installment based invoicing, please enter date until installments will be included in invoice.
ViewConfiguration	ETLTestingView	actors	Administrator	Administrator	Administrator	Administrator
ClientAction	ETLTestingViewActivateContractsWithPaidFirstInstallment	ui-message	contractActivationStarted	activateContractsWithPaidFirstInstallment	Activation of contracts started	Activation of contracts started
UiSchema	ETLTestingViewUiSchema	ui-label	Activate policies with fully paid first installment	Activate policies with fully paid first installment	Activate policies with fully paid first installment	Activate policies with fully paid first installment
