ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
ViewConfiguration	EtlServiceManagementRGSLView	actors	EtlServiceAdmin	EtlServiceAdmin	EtlServiceAdmin	Управление ETL-сервисами
ClientAction	EtlServiceManagementRGSLViewCancelEtlService	ui-message	CancelEtlServiceEventConfirmation	cancelEtlService	CancelEtlServiceEventConfirmation	Вы хотите отменить?
ClientAction	EtlServiceManagementRGSLViewRestartEtlService	ui-message	RestartEtlServiceEventConfirmation	restartEtlService	RestartEtlServiceEventConfirmation	Вы хотите перезапустить?
ClientAction	EtlServiceManagementRGSLViewRestartEtlService	ui-message	RestartEtlServiceEventResult	restartEtlService	RestartEtlServiceEventResult	Перезапуск с ID выполнения ETL-сервиса {{taskId}}.
ClientAction	EtlServiceManagementRGSLViewRestartEtlService	ui-message	ProcessingEtlServiceEventResult	restartEtlService	ProcessingEtlServiceEventResult	Другой ETL-сервис (идентификатор выполнения {{taskId}}) уже запущен с такими же входными данными.
ClientAction	EtlServiceManagementRGSLViewShowIconForRowStatus	ui-message	CompletedWarningIconTitle	showIconForRowStatus	CompletedWarningIconTitle	ETL-сервис завершил обработку и имеет ошибки.
ClientAction	EtlServiceManagementRGSLViewShowIconForRowStatus	ui-message	CompletedIconTitle	showIconForRowStatus	CompletedIconTitle	ETL-сервис завершил обработку.
ClientAction	EtlServiceManagementRGSLViewShowIconForRowStatus	ui-message	CanceledWarningIconTitle	showIconForRowStatus	CanceledWarningIconTitle	ETL-сервис отменен и имеет ошибки.
ClientAction	EtlServiceManagementRGSLViewShowIconForRowStatus	ui-message	CanceledIconTitle	showIconForRowStatus	CanceledIconTitle	ETL-сервис отменен.
ClientAction	EtlServiceManagementRGSLViewShowIconForRowStatus	ui-message	ProcessingWarningIconTitle	showIconForRowStatus	ProcessingWarningIconTitle	ETL-сервис обрабатывается и имеет ошибки.
ClientAction	EtlServiceManagementRGSLViewShowIconForRowStatus	ui-message	ProcessingIconTitle	showIconForRowStatus	ProcessingIconTitle	ETL-сервис обрабатывается.
ClientAction	EtlServiceManagementRGSLViewShowIconForRowStatus	ui-message	FailedIconTitle	showIconForRowStatus	FailedIconTitle	ETL-сервис завершился с ошибкой.
ClientAction	EtlServiceManagementRGSLViewShowIconForRowStatus	ui-message	RequestedIconTitle	showIconForRowStatus	RequestedIconTitle	Выполнение ETL-сервиса ожидает свободного обработчика.
UiSchema	EtlServiceManagementRGSLViewFiltersContent	ui-label	General	General	General	Основные фильтры
UiSchema	EtlServiceManagementRGSLViewFiltersContent	ui-label	ETL service name	ETL service name	ETL service name	Название ETL-сервиса
UiSchema	EtlServiceManagementRGSLViewFiltersContent	ui-label	Execution id	Execution id	Execution id	ID выполнения ETL-сервиса
UiSchema	EtlServiceManagementRGSLViewFiltersContent	ui-label	State	State	State	Статус
UiSchema	EtlServiceManagementRGSLViewFiltersContent	ui-label	Date filters	Date filters	Date filters	Фильтры по датам
UiSchema	EtlServiceManagementRGSLViewFiltersContent	ui-label	Requested on from	Requested on from	Requested on from	Выполнение ETL-сервиса запрошено от
UiSchema	EtlServiceManagementRGSLViewFiltersContent	ui-label	Requested on to	Requested on to	Requested on to	Выполнение ETL-сервиса запрошено по
UiSchema	EtlServiceManagementRGSLViewFiltersContent	ui-label	Started on from	Started on from	Started on from	Начало выполнения ETL-сервиса от
UiSchema	EtlServiceManagementRGSLViewFiltersContent	ui-label	Started on to	Started on to	Started on to	Начало выполнения ETL-сервиса по
UiSchema	EtlServiceManagementRGSLViewFiltersContent	ui-label	Completed on from	Completed on from	Completed on from	Выполнение ETL-сервиса окончилось от
UiSchema	EtlServiceManagementRGSLViewFiltersContent	ui-label	Completed on to	Completed on to	Completed on to	Выполнение ETL-сервиса окончилось до
UiSchema	EtlServiceManagementRGSLViewResultsContent	ui-label	Name	Name	Name	Имя
UiSchema	EtlServiceManagementRGSLViewResultsContent	ui-label	State	State	State	Статус
UiSchema	EtlServiceManagementRGSLViewResultsContent	ui-label	Requested on	Requested on	Requested on	Выполнение ETL-сервиса запрошено на
UiSchema	EtlServiceManagementRGSLViewResultsContent	ui-label	Requested by	Requested by	Requested by	Запрошено
UiSchema	EtlServiceManagementRGSLViewResultsContent	ui-label	Started on	Started on	Started on	Начало выполнения ETL-сервиса
UiSchema	EtlServiceManagementRGSLViewResultsContent	ui-label	Completed on	Completed on	Completed on	Выполнение ETL-сервиса окончилось на
UiSchema	EtlServiceManagementRGSLViewResultsContent	ui-label	Cancel requested on	Cancel requested on	Cancel requested on	Отмена запрошена на
UiSchema	EtlServiceManagementRGSLViewResultsContent	ui-label	Cancel	Cancel	Cancel	Отменить
UiSchema	EtlServiceManagementRGSLViewResultsContent	ui-label	Restart	Restart	Restart	Перезапустить
ViewConfiguration	EtlServiceManagementRGSLView	rootConfiguration	EtlServiceManagementRGSLView@Title	EtlServiceManagementRGSLView	EtlServiceManagementRGSLView@Title	Управление ETL-сервисами
