ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
ViewConfiguration	FindAbsentActivitiesView	actors	Administrator	Administrator	Administrator	Администратор
ClientAction	FindAbsentActivitiesViewStartFindAbsentActivities	ui-message	Success	startFindAbsentActivities	Success!	Успешно!
UiSchema	FindAbsentActivitiesViewHeaderContent	ui-label	Actions	Actions	Actions	Действия
UiSchema	FindAbsentActivitiesViewHeaderContent	ui-label	Start new absent activity search	Start new absent activity search	Start new absent activity search	Начать новый поиск потерянных задач
UiSchema	FindAbsentActivitiesViewResultsContent	ui-label	Sys created on	Sys created on	Sys created on	Дата создания
UiSchema	FindAbsentActivitiesViewResultsContent	ui-label	Date from	Date from	Date from	Дата с
UiSchema	FindAbsentActivitiesViewResultsContent	ui-label	Date to	Date to	Date to	Дата до
UiSchema	FindAbsentActivitiesViewResultsContent	ui-label	State description	State description	State	Статус
UiSchema	FindAbsentActivitiesViewResultsContent	ui-label	Absent activities	Absent activities	Absent activities	Потерянные задачи
ViewConfiguration	FindAbsentActivitiesView	rootConfiguration	FindAbsentActivitiesView@Title	FindAbsentActivitiesView	Find absent activities view	Форма поиска потерянных задач
