ApplicationRole	PermissionType	CodeName	ConceptTypeName	AssignedPermission	AssignmentOperator
Administrator	Allow Actor	InvestmentLifeInsuranceQuote	DocumentConfiguration	Agent	Add
Administrator	Allow Actor	InvestmentLifeInsuranceQuote	DocumentConfiguration	Operations	Add
Administrator	Allow Actor	InvestmentLifeInsuranceQuote	DocumentConfiguration	Underwriter	Add
Administrator	Allow Actor	InvestmentLifeInsuranceQuote	DocumentConfiguration	UKSP	Add
Administrator	Allow Actor	InvestmentLifeInsuranceQuote	DocumentConfiguration	Viewer	Add
Administrator	Allow Actor	InvestmentLifeInsuranceQuote	DocumentConfiguration	System	Add
System	Allow Actor	InvestmentLifeInsuranceQuote	DocumentConfiguration	System	Add
Administrator	Allow Actor	InvestmentLifeInsurancePolicy	DocumentConfiguration	Agent	Add
Administrator	Allow Actor	InvestmentLifeInsurancePolicy	DocumentConfiguration	Operations	Add
Administrator	Allow Actor	InvestmentLifeInsurancePolicy	DocumentConfiguration	Viewer	Add
Administrator	Allow Actor	InvestmentLifeInsuranceCancellation	DocumentConfiguration	Operations	Add
Administrator	Allow Actor	InvestmentLifeInsuranceCancellation	DocumentConfiguration	Viewer	Add
Administrator	Allow Actor	InvestmentLifeInsuranceCancellation	DocumentConfiguration	UKSP	Add
Administrator	Allow Actor	InvestmentLifeInsuranceCancellation	DocumentConfiguration	OperationsDirector	Add
AccountingGroup	Allow Actor	InvestmentLifeInsuranceCancellation	DocumentConfiguration	Accounting	Add
AccountingGroup	Allow Actor	InvestmentLifeInsuranceCancellation	DocumentConfiguration	Viewer	Add
InvestmentLifeBFKOMass	Allow Actor	InvestmentLifeInsuranceQuote	DocumentConfiguration	Agent	Add
InvestmentLifeBFKOAffluent	Allow Actor	InvestmentLifeInsuranceQuote	DocumentConfiguration	Agent	Add
InvestmentLifePSBMass	Allow Actor	InvestmentLifeInsuranceQuote	DocumentConfiguration	Agent	Add
InvestmentLifePSBAffluent	Allow Actor	InvestmentLifeInsuranceQuote	DocumentConfiguration	Agent	Add
