ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DocumentConfiguration	InvestmentLifeInsuranceNonFinChange	actors	Operations	Operations	ОПЕРУ	Operations
DocumentFlowDefinition	InvestmentLifeInsuranceNonFinChangeFlow	operations	operations@Save@Title	Save	Сохранить	Save
DocumentFlowDefinition	InvestmentLifeInsuranceNonFinChangeFlow	states	states@Cancelled	Cancelled	Аннулирован	Cancelled
UiSchema	InvestmentLifeInsuranceNonFinChangeMainContent	ui-label	amendment	amendment	ДС	amendment
UiSchema	InvestmentLifeInsuranceNonFinChangeMainContent	ui-label	Insurance Conditions	Insurance Conditions	Условия страхования	Insurance Conditions
UiSchema	InvestmentLifeInsuranceNonFinChangeMainContent	ui-label	Participants	Participants	Участники	Participants
UiSchema	InvestmentLifeInsuranceNonFinChangeMainContent	ui-label	Additional Conditions	Additional Conditions	Дополнительные условия	Additional Conditions
UiSchema	InvestmentLifeInsuranceNonFinChangeMainContent	ui-label	Surrender Values	Surrender Values	Выкупные суммы	Surrender Values
UiSchema	InvestmentLifeInsuranceNonFinChangeMainContent	ui-label	PaymentPlan	PaymentPlan	График платежей	PaymentPlan
UiSchema	InvestmentLifeInsuranceNonFinChangeMainContent	ui-label	Underwriting	Underwriting	Андеррайтинг	Underwriting
UiSchema	InvestmentLifeInsuranceNonFinChangeMainContent	ui-label	commissionTab	commissionTab	Комиссия	commissionTab
DocumentConfiguration	InvestmentLifeInsuranceNonFinChange	rootConfiguration	InvestmentLifeInsuranceNonFinChange@Title	InvestmentLifeInsuranceNonFinChange	ДС на нефинансовые изменения	InvestmentLifeInsuranceNonFinChange
DataSchema	InvestmentLifeInsuranceNonFinChange	field-title	commentIsRequired	commentIsRequired	Комментарий обязателен для заполнения	commentIsRequired
DataSchema	InvestmentLifeInsuranceNonFinChange	field-title	commentAuthorIsRequired	commentAuthorIsRequired	Автор комментария обязателен для заполнения	commentAuthorIsRequired
DocumentFlowDefinition	InvestmentLifeInsuranceNonFinChangeFlow	transitions	transitions@OperationsApproval_to_Cancelled@Title	OperationsApproval_to_Cancelled	Отменить	transitions@OperationsApproval_to_Cancelled@Title
DocumentFlowDefinition	InvestmentLifeInsuranceNonFinChangeFlow	transitions	transitions@OperationsApproval_to_Rejected@Title	OperationsApproval_to_Rejected	Отказ СК	transitions@OperationsApproval_to_Rejected@Title
DocumentFlowDefinition	InvestmentLifeInsuranceNonFinChangeFlow	transitions	transitions@OperationsApproval_to_RejectedByClient@Title	OperationsApproval_to_RejectedByClient	Отказ Клиента	transitions@OperationsApproval_to_RejectedByClient@Title
DocumentFlowDefinition	InvestmentLifeInsuranceNonFinChangeFlow	transitions	transitions@OperationsApproval_to_InsuranceMethodologyApproval@Title	OperationsApproval_to_InsuranceMethodologyApproval	Отправить в Направление методологии страхования	transitions@OperationsApproval_to_InsuranceMethodologyApproval@Title
DocumentFlowDefinition	InvestmentLifeInsuranceNonFinChangeFlow	transitions	transitions@InsuranceMethodologyApproval_to_OperationsApproval@Title	InsuranceMethodologyApproval_to_OperationsApproval	Предоставлена обратная связь	transitions@InsuranceMethodologyApproval_to_OperationsApproval@Title
DocumentFlowDefinition	InvestmentLifeInsuranceNonFinChangeFlow	transitions	transitions@OperationsApproval_to_ActuaryApproval@Title	OperationsApproval_to_ActuaryApproval	Отправить в Направление актуарных расчётов	transitions@OperationsApproval_to_ActuaryApproval@Title
DocumentFlowDefinition	InvestmentLifeInsuranceNonFinChangeFlow	transitions	transitions@ActuaryApproval_to_OperationsApproval@Title	ActuaryApproval_to_OperationsApproval	Предоставлена обратная связь	transitions@ActuaryApproval_to_OperationsApproval@Title
DocumentFlowDefinition	InvestmentLifeInsuranceNonFinChangeFlow	transitions	transitions@OperationsApproval_to_LegalApproval@Title	OperationsApproval_to_LegalApproval	Отправить в Юридическое управление	transitions@OperationsApproval_to_LegalApproval@Title
DocumentFlowDefinition	InvestmentLifeInsuranceNonFinChangeFlow	transitions	transitions@LegalApproval_to_OperationsApproval@Title	LegalApproval_to_OperationsApproval	Предоставлена обратная связь	transitions@LegalApproval_to_OperationsApproval@Title
DocumentFlowDefinition	InvestmentLifeInsuranceNonFinChangeFlow	transitions	transitions@OperationsApproval_to_SecurityApproval@Title	OperationsApproval_to_SecurityApproval	Отправить в Направление экономической безопасности	transitions@OperationsApproval_to_SecurityApproval@Title
DocumentFlowDefinition	InvestmentLifeInsuranceNonFinChangeFlow	transitions	transitions@SecurityApproval_to_OperationsApproval@Title	SecurityApproval_to_OperationsApproval	Предоставлена обратная связь	transitions@SecurityApproval_to_OperationsApproval@Title
DocumentFlowDefinition	InvestmentLifeInsuranceNonFinChangeFlow	transitions	transitions@OperationsApproval_to_UnderwriterApproval@Title	OperationsApproval_to_UnderwriterApproval	Отправить в Центр андеррайтинга	transitions@OperationsApproval_to_UnderwriterApproval@Title
DocumentFlowDefinition	InvestmentLifeInsuranceNonFinChangeFlow	transitions	transitions@UnderwriterApproval_to_OperationsApproval@Title	UnderwriterApproval_to_OperationsApproval	Предоставлена обратная связь	transitions@UnderwriterApproval_to_OperationsApproval@Title
DocumentFlowDefinition	InvestmentLifeInsuranceNonFinChangeFlow	transitions	transitions@OperationsApproval_to_CallCenterApproval@Title	OperationsApproval_to_CallCenterApproval	Отправить в Колл-центр	transitions@OperationsApproval_to_CallCenterApproval@Title
DocumentFlowDefinition	InvestmentLifeInsuranceNonFinChangeFlow	transitions	transitions@CallCenterApproval_to_RequestToClient@Title	CallCenterApproval_to_RequestToClient	Запрос клиенту	transitions@CallCenterApproval_to_RequestToClient@Title
DocumentFlowDefinition	InvestmentLifeInsuranceNonFinChangeFlow	transitions	transitions@OperationsApproval_to_PartnerSalesSupportApproval@Title	OperationsApproval_to_PartnerSalesSupportApproval	Отправить в Направление поддержки партнёрских продаж	transitions@OperationsApproval_to_PartnerSalesSupportApproval@Title
DocumentFlowDefinition	InvestmentLifeInsuranceNonFinChangeFlow	transitions	transitions@PartnerSalesSupportApproval_to_RequestToClient@Title	PartnerSalesSupportApproval_to_RequestToClient	Запрос клиенту	transitions@PartnerSalesSupportApproval_to_RequestToClient@Title
DocumentFlowDefinition	InvestmentLifeInsuranceNonFinChangeFlow	transitions	transitions@OperationsApproval_to_CustomerServiceApproval@Title	OperationsApproval_to_CustomerServiceApproval	Отправить в Направление клиентского сервиса	transitions@OperationsApproval_to_CustomerServiceApproval@Title
DocumentFlowDefinition	InvestmentLifeInsuranceNonFinChangeFlow	transitions	transitions@CustomerServiceApproval_to_RequestToClient@Title	CustomerServiceApproval_to_RequestToClient	Запрос клиенту	transitions@CustomerServiceApproval_to_RequestToClient@Title
DocumentFlowDefinition	InvestmentLifeInsuranceNonFinChangeFlow	transitions	transitions@RequestToClient_to_OperationsApproval@Title	RequestToClient_to_OperationsApproval	Отправить на рассмотрение в ОПЕРУ	transitions@RequestToClient_to_OperationsApproval@Title
DocumentFlowDefinition	InvestmentLifeInsuranceNonFinChangeFlow	transitions	transitions@OperationsApproval_to_Activated@Title	OperationsApproval_to_Activated	Действует	transitions@OperationsApproval_to_Activated@Title
DocumentFlowDefinition	InvestmentLifeInsuranceNonFinChangeFlow	states	states@OperationsApproval	OperationsApproval	На рассмотрении ОПЕРУ	states@OperationsApproval
