ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DocumentConfiguration	InvestmentLifeInsurancePolicy	actors	Agent	Agent	Агент	Agent
DocumentFlowDefinition	InvestmentLifeInsurancePolicyFlow	transitions	transitions@Draft_to_Active@Title	Draft_to_Active	Проект -> Подписан	Draft_to_Active
DocumentFlowDefinition	InvestmentLifeInsurancePolicyFlow	transitions	transitions@Draft_to_Cancelled@Title	Draft_to_Cancelled	Проект -> Отменен	Draft_to_Cancelled
DocumentFlowDefinition	InvestmentLifeInsurancePolicyFlow	transitions	transitions@Active_to_Cancelled@Title	Active_to_Cancelled	Подписан -> Отменен	Active_to_Cancelled
DocumentFlowDefinition	InvestmentLifeInsurancePolicyFlow	transitions	transitions@Active_to_Activated@Title	Active_to_Activated	Подписан -> Действует	Active_to_Activated
DocumentFlowDefinition	InvestmentLifeInsurancePolicyFlow	transitions	transitions@Activated_to_CancelledByAmendment@Title	Activated_to_CancelledByAmendment	Действует -> Расторгнут	Activated_to_CancelledByAmendment
DocumentFlowDefinition	InvestmentLifeInsurancePolicyFlow	transitions	transitions@CancelledByAmendment_to_Activated@Title	CancelledByAmendment_to_Activated	Восстановление	CancelledByAmendment_to_Activated
DocumentFlowDefinition	InvestmentLifeInsurancePolicyFlow	transitions	transitions@Cancelled_to_Draft@Title	Cancelled_to_Draft	Отменен -> Проект	Cancelled_to_Draft
DocumentFlowDefinition	InvestmentLifeInsurancePolicyFlow	transitions	transitions@Draft_to_Active_Operations@Title	Draft_to_Active_Operations	Проект -> Подписан (ОПЕРУ)	Draft_to_Active_Operations
DocumentFlowDefinition	InvestmentLifeInsurancePolicyFlow	transitions	transitions@Draft_to_Active_System@Title	Draft_to_Active_System	Проект -> Подписан (Система)	Draft_to_Active_System
DocumentFlowDefinition	InvestmentLifeInsurancePolicyFlow	transitions	transitions@Active_to_Cancelled_Operations@Title	Active_to_Cancelled_Operations	Подписан -> Отменен (ОПЕРУ)	Active_to_Cancelled_Operations
DocumentFlowDefinition	InvestmentLifeInsurancePolicyFlow	transitions	transitions@Cancelled_to_Active@Title	Cancelled_to_Active	Отменен -> Подписан	Cancelled_to_Active
DocumentFlowDefinition	InvestmentLifeInsurancePolicyFlow	states	states@Draft	Draft	Проект	Draft
DocumentFlowDefinition	InvestmentLifeInsurancePolicyFlow	states	states@Active	Active	Подписан	Active
DocumentFlowDefinition	InvestmentLifeInsurancePolicyFlow	states	states@Activated	Activated	Действует	Activated
DocumentFlowDefinition	InvestmentLifeInsurancePolicyFlow	states	states@Cancelled	Cancelled	Отменен	Cancelled
DocumentFlowDefinition	InvestmentLifeInsurancePolicyFlow	states	states@CancelledByAmendment	CancelledByAmendment	Расторгнут	CancelledByAmendment
DocumentConfiguration	InvestmentLifeInsurancePolicy	rootConfiguration	InvestmentLifeInsurancePolicy@Title	InvestmentLifeInsurancePolicy	ИСЖ. Договор	InvestmentLifeInsurancePolicy
UiSchema	InvestmentLifeInsurancePolicyMainContent	ui-label	Participants	Participants	Участники	Participants
UiSchema	InvestmentLifeInsurancePolicyMainContent	ui-label	Underwriting	Underwriting	Андеррайтинг	Underwriting
UiSchema	InvestmentLifeInsurancePolicyMainContent	ui-label	PaymentPlan	PaymentPlan	График платежей	PaymentPlan
UiSchema	InvestmentLifeInsurancePolicyMainContent	ui-label	Insurance Conditions	Insurance Conditions	Условия страхования	Insurance Conditions
UiSchema	InvestmentLifeInsurancePolicyMainContent	ui-label	Additional Conditions	Additional Conditions	Дополнительные условия	Additional Conditions
UiSchema	InvestmentLifeInsurancePolicyMainContent	ui-label	Surrender Values	Surrender Values	Выкупные суммы	Surrender Values
DocumentConfiguration	InvestmentLifeInsurancePolicy	actors	Viewer	Viewer	Просмотр	Viewer
UiSchema	InvestmentLifeInsurancePolicyMainContent	ui-label	History	History	История	History
DocumentConfiguration	InvestmentLifeInsurancePolicy	actors	Operations	Operations	ОПЕРУ	Operations
DocumentConfiguration	InvestmentLifeInsurancePolicy	actors	System	System	Система	System
Rule	InvestmentLifeInsurancePolicyDraft_to_ActiveTransitionRule	rule	validation@Draft_to_Active_contractAttachment_contractSigned	Draft_to_Active	E: Необходимо добавить вложение с типом 'Подписанный договор страхования'	E: validation@Draft_to_Active_contractAttachment_contractSigned
Rule	InvestmentLifeInsurancePolicyDraft_to_ActiveTransitionRule	rule	validation@Draft_to_Active_contractAttachment_bankNotificationForBFKOPartner	Draft_to_Active	E: Необходимо добавить вложение с типом 'Дополнительные документы банка' либо 'Согласие на обработку персональных данных' и 'Уведомление о финансовой услуге'	E: validation@Draft_to_Active_contractAttachment_bankNotificationForBFKOPartner
Rule	InvestmentLifeInsurancePolicyDraft_to_ActiveTransitionRule	rule	validation@Draft_to_Active_contractAttachment_servicesMemo	Draft_to_Active	E: Необходимо добавить вложение с типом 'Памятка, содержащая порядок получения сервисов'	E: validation@Draft_to_Active_contractAttachment_servicesMemo
Rule	InvestmentLifeInsurancePolicyDraft_to_ActiveTransitionRule	rule	validation@Draft_to_Active_insuredPersonAttachment_passport	Draft_to_Active	E: Необходимо добавить вложение с типом 'Документ, удостоверяющий личность' на карточке застрахованного	E: validation@Draft_to_Active_insuredPersonAttachment_passport
Rule	InvestmentLifeInsurancePolicyDraft_to_ActiveTransitionRule	rule	validation@Draft_to_Active_policyHolderAttachment_passport	Draft_to_Active	E: Необходимо добавить вложение с типом 'Документ, удостоверяющий личность' на карточке страхователя	E: validation@Draft_to_Active_policyHolderAttachment_passport
Rule	InvestmentLifeInsurancePolicyDraft_to_ActiveTransitionRule	rule	validation@Draft_to_Active_policyHolderAttachment_financialQuestionary	Draft_to_Active	E: Необходимо добавить вложение с типом 'Анкета о наличии финансовых знаний' на карточке страхователя	E: validation@Draft_to_Active_policyHolderAttachment_financialQuestionary
Rule	InvestmentLifeInsurancePolicyDraft_to_ActiveTransitionRule	rule	validation@Draft_to_Active_policyHolderAttachment_financialQuestionary_wrongDate	Draft_to_Active	E: Дата прикрепления документа с типом «Анкета фин. грамотности» не может быть раньше даты актуализации анкеты	E: validation@Draft_to_Active_policyHolderAttachment_financialQuestionary_wrongDate
UiSchema	InvestmentLifeInsurancePolicyMainContent	ui-label	paymentOrders	paymentOrders	Связанные РНВ	paymentOrders
UiSchema	InvestmentLifeInsurancePolicyMainContent	ui-label	commissionTab	commissionTab	Комиссия	commissionTab
UiSchema	InvestmentLifeInsurancePolicyMainContent	ui-label	allocations	allocations	Связанные платежи	Allocations
UiSchema	InvestmentLifeInsurancePolicyMainContent	ui-label	accountingEntries	accountingEntries	Проводки по договору	accountingEntries
DocumentConfiguration	InvestmentLifeInsurancePolicy	actors	Claims	Claims	Убытки	Claims
Rule	InvestmentLifeInsurancePolicyCancelled_to_ActiveTransitionRule	rule	validation@Cancelled_to_Active_WasNotActive	Cancelled_to_Active	E: Договор не был подписан перед отменой, возврат в Подписан невозможен	E: validation@Cancelled_to_Active_WasNotActive
DocumentFlowDefinition	InvestmentLifeInsurancePolicyFlow	operations	operations@Save@Title	Save	Сохранить	Save
UiSchema	InvestmentLifeInsurancePolicyMainContent	ui-label	contractAmendments	contractAmendments	Доп. соглашения	contractAmendments
DocumentFlowDefinition	InvestmentLifeInsurancePolicyFlow	transitions	transitions@Activated_to_Cancelled@Title	Activated_to_Cancelled	Действует -> Отменен	Activated_to_Cancelled
Rule	InvestmentLifeInsurancePolicyActivated_to_CancelledTransitionRule	rule	validation@Activated_to_Cancelled_HasAllocations	Activated_to_Cancelled	E: По договору имеются идентификации. Отмена запрещена.	E: Activated_to_Cancelled
DocumentFlowDefinition	InvestmentLifeInsurancePolicyFlow	transitions	transitions@Activated_to_Completed@Title	Activated_to_Completed	Действует -> Завершён	Activated_to_Completed
DocumentFlowDefinition	InvestmentLifeInsurancePolicyFlow	states	states@Completed	Completed	Завершён	Completed
UiSchema	InvestmentLifeInsurancePolicyMainContent	ui-label	Reinsurance	Reinsurance	Перестрахование	Reinsurance
UiSchema	InvestmentLifeInsurancePolicyMainContent	ui-label	InvestmentProfit	InvestmentProfit	ДИД	InvestmentProfit
