ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
DocumentConfiguration	InvestmentLifeInsurancePortfolioMovement	actors	System	System	System	Система
DocumentFlowDefinition	InvestmentLifeInsurancePortfolioMovementFlow	transitions	transitions@Draft_to_Cancelled@Title	Draft_to_Cancelled	Draft_to_Cancelled	Отменить
DocumentFlowDefinition	InvestmentLifeInsurancePortfolioMovementFlow	transitions	transitions@Draft_to_Activated@Title	Draft_to_Activated	Draft_to_Activated	Проект -> Действует
DocumentFlowDefinition	InvestmentLifeInsurancePortfolioMovementFlow	operations	operations@Save@Title	Save	Save	Сохранить
DocumentFlowDefinition	InvestmentLifeInsurancePortfolioMovementFlow	states	states@Draft	Draft	Draft	Черновик
DocumentFlowDefinition	InvestmentLifeInsurancePortfolioMovementFlow	states	states@Activated	Activated	Activated	Действует
DocumentFlowDefinition	InvestmentLifeInsurancePortfolioMovementFlow	states	states@Cancelled	Cancelled	Cancelled	Отменен
UiSchema	InvestmentLifeInsurancePortfolioMovementMainContent	ui-label	amendment	amendment	amendment	Дополнительное соглашение
UiSchema	InvestmentLifeInsurancePortfolioMovementMainContent	ui-label	Insurance Conditions	Insurance Conditions	Insurance Conditions	Условия страхования
DocumentConfiguration	InvestmentLifeInsurancePortfolioMovement	rootConfiguration	InvestmentLifeInsurancePortfolioMovement@Title	InvestmentLifeInsurancePortfolioMovement	InvestmentLifeInsurancePortfolioMovement	ДС на перевод портфеля
DataSchema	InvestmentLifeInsurancePortfolioMovement	field-title	commentIsRequired	commentIsRequired	commentIsRequired	Комментарий обязателен для заполнения
DataSchema	InvestmentLifeInsurancePortfolioMovement	field-title	commentAuthorIsRequired	commentAuthorIsRequired	commentAuthorIsRequired	Автор комментария обязателен для заполнения
DocumentConfiguration	InvestmentLifeInsurancePortfolioMovement	actors	Operations	Operations	Operations	ОПЕРУ
UiSchema	InvestmentLifeInsurancePortfolioMovementMainContent	ui-label	commissionTab	commissionTab	commissionTab	Комиссия
