ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DataSchema	InvestmentLifeInsuranceQuote	field-title	commentAuthorIsRequired	commentAuthorIsRequired	commentAuthorIsRequired	commentAuthorIsRequired
DataSchema	InvestmentLifeInsuranceQuote	field-title	commentIsRequired	commentIsRequired	commentIsRequired	commentIsRequired
DocumentConfiguration	InvestmentLifeInsuranceQuote	actors	Agent	Agent	Агент	Agent
DocumentConfiguration	InvestmentLifeInsuranceQuote	actors	Operations	Operations	ОПЕРУ	Operations
DocumentConfiguration	InvestmentLifeInsuranceQuote	actors	UKSP	UKSP	УКСП	UKSP
DocumentConfiguration	InvestmentLifeInsuranceQuote	actors	Underwriter	Underwriter	Андеррайтер	Underwriter
DocumentConfiguration	InvestmentLifeInsuranceQuote	actors	Viewer	Viewer	Просмотр	Viewer
DocumentConfiguration	InvestmentLifeInsuranceQuote	rootConfiguration	InvestmentLifeInsuranceQuote@Title	InvestmentLifeInsuranceQuote	Инвестиции. Заявка на страхование	InvestmentLifeInsuranceQuote
DocumentFlowDefinition	InvestmentLifeInsuranceQuoteFlow	operations	operations@Save@Title	Save	Сохранить	Save
DocumentFlowDefinition	InvestmentLifeInsuranceQuoteFlow	states	states@Approved	Approved	Согласована	Approved
DocumentFlowDefinition	InvestmentLifeInsuranceQuoteFlow	states	states@Cancelled	Cancelled	Отменена	Cancelled
DocumentFlowDefinition	InvestmentLifeInsuranceQuoteFlow	states	states@Draft	Draft	Проект	Draft
DocumentFlowDefinition	InvestmentLifeInsuranceQuoteFlow	states	states@InfoRequest	InfoRequest	Запрос информации	InfoRequest
DocumentFlowDefinition	InvestmentLifeInsuranceQuoteFlow	states	states@Issued	Issued	Создан договор	Issued
DocumentFlowDefinition	InvestmentLifeInsuranceQuoteFlow	states	states@OnReview	OnReview	На рассмотрении в СК	OnReview
DocumentFlowDefinition	InvestmentLifeInsuranceQuoteFlow	states	states@Rejected	Rejected	Не согласована	Rejected
DocumentFlowDefinition	InvestmentLifeInsuranceQuoteFlow	transitions	transitions@Approved_to_Cancelled@Title	Approved_to_Cancelled	Отменить	Approved_to_Cancelled
DocumentFlowDefinition	InvestmentLifeInsuranceQuoteFlow	transitions	transitions@Approved_to_Issued@Title	Approved_to_Issued	Согласована -> Создан договор	Approved_to_Issued
DocumentFlowDefinition	InvestmentLifeInsuranceQuoteFlow	transitions	transitions@Draft_to_Approved@Title	Draft_to_Approved	Согласовать	Draft_to_Approved
DocumentFlowDefinition	InvestmentLifeInsuranceQuoteFlow	transitions	transitions@Draft_to_Cancelled@Title	Draft_to_Cancelled	Отменить	Draft_to_Cancelled
DocumentFlowDefinition	InvestmentLifeInsuranceQuoteFlow	transitions	transitions@Draft_to_OnReview@Title	Draft_to_OnReview	Отправить в СК	Draft_to_OnReview
DocumentFlowDefinition	InvestmentLifeInsuranceQuoteFlow	transitions	transitions@InfoRequest_to_Cancelled@Title	InfoRequest_to_Cancelled	Отменить	InfoRequest_to_Cancelled
DocumentFlowDefinition	InvestmentLifeInsuranceQuoteFlow	transitions	transitions@InfoRequest_to_OnReview@Title	InfoRequest_to_OnReview	Отправить в СК	InfoRequest_to_OnReview
DocumentFlowDefinition	InvestmentLifeInsuranceQuoteFlow	transitions	transitions@OnReview_to_Approved@Title	OnReview_to_Approved	Согласовать	OnReview_to_Approved
DocumentFlowDefinition	InvestmentLifeInsuranceQuoteFlow	transitions	transitions@OnReview_to_InfoRequest@Title	OnReview_to_InfoRequest	Запросить информацию	OnReview_to_InfoRequest
