ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
DocumentConfiguration	InvestmentLifeInsuranceReactivation	actors	Operations	Operations	Operations	ОПЕРУ
DocumentConfiguration	InvestmentLifeInsuranceReactivation	actors	Viewer	Viewer	Viewer	Просмотр
DocumentFlowDefinition	InvestmentLifeInsuranceReactivationFlow	transitions	transitions@Draft_to_Activated@Title	Draft_to_Activated	Draft_to_Activated	Подтвердить
DocumentFlowDefinition	InvestmentLifeInsuranceReactivationFlow	transitions	transitions@Draft_to_Cancelled@Title	Draft_to_Cancelled	Draft_to_Cancelled	Аннулировать
DocumentFlowDefinition	InvestmentLifeInsuranceReactivationFlow	operations	operations@Save@Title	Save	Save	Сохранить
DocumentFlowDefinition	InvestmentLifeInsuranceReactivationFlow	states	states@Draft	Draft	Draft	Проект
DocumentFlowDefinition	InvestmentLifeInsuranceReactivationFlow	states	states@Activated	Activated	Activated	Действует
DocumentFlowDefinition	InvestmentLifeInsuranceReactivationFlow	states	states@Cancelled	Cancelled	Cancelled	Аннулирован
UiSchema	InvestmentLifeInsuranceReactivationMainContent	ui-label	tabAmendmentConditions	tabAmendmentConditions	tabAmendmentConditions	Основная информация
UiSchema	InvestmentLifeInsuranceReactivationMainContent	ui-label	History	History	History	История статусов
DocumentConfiguration	InvestmentLifeInsuranceReactivation	rootConfiguration	InvestmentLifeInsuranceReactivation@Title	InvestmentLifeInsuranceReactivation	InvestmentLifeInsuranceReactivation	ДС на восстановление
DataSchema	InvestmentLifeInsuranceReactivation	field-title	commentIsRequired	commentIsRequired	commentIsRequired	Комментарий обязателен
DataSchema	InvestmentLifeInsuranceReactivation	field-title	commentAuthorIsRequired	commentAuthorIsRequired	commentAuthorIsRequired	Автор комментария обязателен
DocumentConfiguration	InvestmentLifeInsuranceReactivation	actors	System	System	System	Система
