ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
UiSchema	InvestmentLifeInsuranceTechnicalAmendmentMainContent	ui-label	amendment	amendment	amendment	ДС
DocumentConfiguration	InvestmentLifeInsuranceTechnicalAmendment	actors	Viewer	Viewer	Viewer	Просмотр
DocumentFlowDefinition	InvestmentLifeInsuranceTechnicalAmendmentFlow	states	states@Activated	Activated	Activated	Действует
DocumentConfiguration	InvestmentLifeInsuranceTechnicalAmendment	rootConfiguration	InvestmentLifeInsuranceTechnicalAmendment@Title	InvestmentLifeInsuranceTechnicalAmendment	InvestmentLifeInsuranceTechnicalAmendment	Техническое дополнительное соглашение
DocumentConfiguration	InvestmentLifeInsuranceTechnicalAmendment	actors	System	System	System	Система
DocumentFlowDefinition	InvestmentLifeInsuranceTechnicalAmendmentFlow	states	states@Draft	Draft	Draft	Проект
DocumentFlowDefinition	InvestmentLifeInsuranceTechnicalAmendmentFlow	transitions	transitions@Draft_to_Activated@Title	Draft_to_Activated	Draft_to_Activated	Проект -> Действует
DocumentFlowDefinition	InvestmentLifeInsuranceTechnicalAmendmentFlow	operations	operations@Save@Title	Save	Save	Сохранить
DocumentFlowDefinition	InvestmentLifeInsuranceTechnicalAmendmentFlow	transitions	transitions@Draft_to_Cancelled@Title	Draft_to_Cancelled	Draft_to_Cancelled	Проект -> Отменён
DocumentFlowDefinition	InvestmentLifeInsuranceTechnicalAmendmentFlow	states	states@Cancelled	Cancelled	Cancelled	Отменён
DocumentConfiguration	InvestmentLifeInsuranceTechnicalAmendment	actors	Operations	Operations	Operations	ОПЕРУ
