ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
MasterEntityConfiguration	LegalEntity	actors	PartyViewer	PartyViewer	Просмотр	PartyViewer
MasterEntityConfiguration	LegalEntity	actors	PartyEditor	PartyEditor	Редактирование	PartyEditor
MasterEntityConfiguration	LegalEntity	rootConfiguration	LegalEntity@Title	LegalEntity	Юр. лицо	LegalEntity
UiSchema	LegalEntityMainContent	ui-label	MainTab	MainTab	Основная информация	MainTab
UiSchema	LegalEntityMainContent	operations	operations@Save@Title	Save	Сохранить	Save
UiSchema	LegalEntitySummaryContent	operations	operations@Save@Title	Save	Сохранить	Save
UiSchema	LegalEntityConfiguration	operations	operations@Save@Title	Save	Сохранить	Save
MasterEntityConfiguration	LegalEntity	actors	RiskManager	RiskManager	Риск-менеджер	RiskManager
UiSchema	LegalEntityMainContent	ui-label	AdditionalDataTab	AdditionalDataTab	Дополнительная информация	AdditionalDataTab
UiSchema	LegalEntityMainContent	ui-label	VerificationsTab	VerificationsTab	Проверки ПОД/ФТ	VerificationsTab
