ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
Rule	AdditionalBeneficiariesValidateBeneficiaries	rule	validation@riskPercentageForAdditionalBeneficiariesIsTooHigh	validateBeneficiaries	E: Доля превышает 100% для риска: ${riskNameText}	E: Risk percentage is too high for risk: ${riskNameText}
Rule	AdditionalBeneficiariesValidateBeneficiaries	rule	validation@beneficiariesCountForRiskIsTooHigh	validateBeneficiaries	E: Количество выгодоприобретателей превышает 4 для риска: ${riskNameText}	E: More than four beneficiaries selected for risk: ${riskNameText}
DataSchema	AdditionalBeneficiaries	field-title	Beneficiary generated id	Beneficiary generated id	Id выгодоприобретателя	Beneficiary generated id
DataSchema	AdditionalBeneficiaries	field-title	partyFullName	partyFullName	ФИО	partyFullName
DataSchema	AdditionalBeneficiaries	field-title	share	share	Доля	share
DataSchema	AdditionalBeneficiaries	field-title	relationType	relationType	Родственная связь	relationType
DataSchema	AdditionalBeneficiaries	field-title	dateOfBirth	dateOfBirth	Дата рождения	dateOfBirth
DataSchema	AdditionalBeneficiaries	field-title	personGender	personGender	Пол	personGender
DataSchema	AdditionalBeneficiaries	enum	personGender@Male	Male	Мужской	Male
DataSchema	AdditionalBeneficiaries	enum	personGender@Female	Female	Женский	Female
DataSchema	AdditionalBeneficiaries	field-title	risk	risk	Риск	risk
UiSchema	AdditionalBeneficiaries	ui-label	AdditionalBeneficiaries	AdditionalBeneficiaries	Выгодоприобретатели по ДС	AdditionalBeneficiaries
UiSchema	AdditionalBeneficiaries	ui-label	beneficiaryRisk	beneficiaryRisk	Риск	beneficiaryRisk
UiSchema	AdditionalBeneficiaries	ui-label	beneficiary	beneficiary	Выгодоприобретатель	beneficiary
UiSchema	AdditionalBeneficiaries	ui-label	share	share	Доля	share
UiSchema	AdditionalBeneficiaries	ui-label	relationType	relationType	Родственная связь	relationType
UiSchema	AdditionalBeneficiaries	ui-label	dateOfBirth	dateOfBirth	Дата рождения	dateOfBirth
UiSchema	AdditionalBeneficiaries	ui-label	partyFullName	partyFullName	ФИО	partyFullName
UiSchema	AdditionalBeneficiaries	ui-label	personGender	personGender	Пол	personGender
UiSchema	AdditionalBeneficiaries	ui-label	relationTypeDesc	relationTypeDesc	Родственная связь	relationTypeDesc
Rule	AdditionalBeneficiariesValidateBeneficiaries	rule	validation@beneficiaryBirthDateMustBeGreaterThan1901YearAndLesserThanToday	validateBeneficiaries	E: Дата рождения должна быть больше 1901 года и меньше или равна сегодняшней	E: validation@beneficiaryBirthDateMustBeGreaterThan1901YearAndLesserThanToday
