ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU	
UiSchema	AdditionalInitiators	ui-label	Initiator	Initiator	Initiator	Дополнительные инициаторы	
UiSchema	AdditionalInitiators	ui-label	mainAgent	mainAgent	mainAgent	Основной агент	
DataSchema	AdditionalInitiators	enum	agentShare@0	0	0	0	
DataSchema	AdditionalInitiators	enum	agentShare@25	25	25	25	
DataSchema	AdditionalInitiators	enum	agentShare@50	50	50	50	
DataSchema	AdditionalInitiators	enum	agentShare@75	75	75	75	
DataSchema	AdditionalInitiators	enum	agentShare@100	100	100	100	
UiSchema	AdditionalInitiators	ui-label	agent	agent	Agent	Агент	
UiSchema	AdditionalInitiators	ui-label	agentShare	agentShare	Share	Доля	
UiSchema	AdditionalInitiators	ui-label	agentType	agentType	Type	Тип агента	
DataSchema	AdditionalInitiators	enum	agentType@Main	Main	Main	Основной	
DataSchema	AdditionalInitiators	enum	agentType@Split	Split	Split	Агент для сплитования АВ	
DataSchema	AdditionalInitiators	enum	agentType@Mage	Mage	Mage	Маг	
