ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
DataSchema	AdditionalInvestmentParameters	field-title	investmentStartDate	investmentStartDate	investmentStartDate	Дата начала инвестирования
DataSchema	AdditionalInvestmentParameters	field-title	investmentEndDate	investmentEndDate	investmentEndDate	Дата окончания инвестирования
DataSchema	AdditionalInvestmentParameters	field-title	mf	mf	mf	Показатель расходов Страховщика на адм.
UiSchema	AdditionalInvestmentParameters	ui-label	Additional Investment Parameters	Additional Investment Parameters	Additional Investment Parameters	Дополнительные параметры инвестирования
UiSchema	AdditionalInvestmentParameters	ui-label	mf	mf	mf	Показатель расходов Страховщика на адм.
DataSchema	AdditionalInvestmentParameters	field-title	coolOffDID	coolOffDID	coolOffDID	ДИД в ПО
DataSchema	AdditionalInvestmentParameters	field-title	coolOffDIDRate	coolOffDIDRate	coolOffDIDRate	Ставка ДИД в ПО
UiSchema	AdditionalInvestmentParameters	ui-label	basisForPayment	basisForPayment	basisForPayment	Основание выплаты ДИД
UiSchema	AdditionalInvestmentParameters	ui-label	insuredEventOccurrence	insuredEventOccurrence	insuredEventOccurrence	Наступление страхового случая по рискам «Дожитие», «Смерть»
UiSchema	AdditionalInvestmentParameters	ui-label	earlyTerminationContract	earlyTerminationContract	earlyTerminationContract	Досрочное прекращение договора страхования по причинам иным, чем наступление страхового случая
UiSchema	AdditionalInvestmentParameters	ui-label	insuredPersonAppeal	insuredPersonAppeal	insuredPersonAppeal	Обращение Застрахованного (или иного лица, в пользу которого заключен Договор страхования по риску «Дожитие») в течении срока страхования за выплатой ДИД (или его части)
UiSchema	AdditionalInvestmentParameters	ui-label	manualRateList	manualRateList	manualRateList	Доступные ставки КВ
UiSchema	AdditionalInvestmentParameters	ui-label	manualRate	manualRate	manualRate	Установленная ставка КВ
UiSchema	AdditionalInvestmentParameters	ui-label	investmentFrequency	investmentFrequency	investmentFrequency	Инвестиционная часть
UiSchema	AdditionalInvestmentParameters	ui-label	WithdrawalFee	WithdrawalFee	Withdrawal fee	Комиссия за вывод средств
DataSchema	AdditionalInvestmentParameters	field-title	basisForPayment	basisForPayment	basisForPayment	Основание выплаты ДИД
DataSchema	AdditionalInvestmentParameters	field-title	insuredEventOccurrence	insuredEventOccurrence	insuredEventOccurrence	Наступление страхового случая по рискам «Дожитие», «Смерть»
DataSchema	AdditionalInvestmentParameters	field-title	earlyTerminationContract	earlyTerminationContract	earlyTerminationContract	Досрочное прекращение договора страхования по причинам иным, чем наступление страхового случая
DataSchema	AdditionalInvestmentParameters	field-title	insuredPersonAppeal	insuredPersonAppeal	insuredPersonAppeal	Обращение Застрахованного (или иного лица, в пользу которого заключен Договор страхования по риску «Дожитие») в течении срока страхования за выплатой ДИД (или его части)
Rule	AdditionalInvestmentParametersValidateAdditionalInvestmentParameters	rule	validation@coordinationUDRequired	validateAdditionalInvestmentParameters	E: validation@coordinationUDRequired	E: Должно быть приложено вложение типа «Согласование с управляющим директором - УД ДРПК»
Rule	AdditionalInvestmentParametersValidateAdditionalInvestmentParameters	rule	validation@manualRateRequired	validateAdditionalInvestmentParameters	E: validation@manualRateRequired	E: Должна быть заполнена Ставка КВ
DataSchema	AdditionalInvestmentParameters	field-title	rateOfReturnEquityActives	rateOfReturnEquityActives	rateOfReturnEquityActives	Дополнительные параметры инвестирования
