ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
UiSchema	AdditionalServices	ui-label	Additional Services	Additional Services	Additional Services	Дополнительные сервисы
UiSchema	AdditionalServices	ui-label	serviceName	serviceName	serviceName	Наименование
UiSchema	AdditionalServices	ui-label	startDate	startDate	startDate	Дата начала действия
UiSchema	AdditionalServices	ui-label	endDate	endDate	endDate	Дата окончания действия
UiSchema	AdditionalServices	ui-label	serviceParty	serviceParty	serviceParty	Контрагент
UiSchema	AdditionalServices	ui-label	serviceFrequency	serviceFrequency	serviceFrequency	Периодичность
UiSchema	AdditionalServices	ui-label	specialConditions	specialConditions	specialConditions	Спец. условия
DataSchema	AdditionalServices	field-title	serviceName	serviceName	serviceName	Наименование
DataSchema	AdditionalServices	field-title	startDate	startDate	startDate	Дата начала действия
DataSchema	AdditionalServices	field-title	endDate	endDate	endDate	Дата окончания действия
DataSchema	AdditionalServices	field-title	serviceParty	serviceParty	serviceParty	Контрагент
DataSchema	AdditionalServices	field-title	serviceFrequency	serviceFrequency	serviceFrequency	Периодичность
DataSchema	AdditionalServices	field-title	specialConditions	specialConditions	specialConditions	Спец. условия
DataSchema	AdditionalServices	field-title	serviceCode	serviceCode	serviceCode	Код
DataSchema	AdditionalServices	field-title	serviceTypeCode	serviceTypeCode	serviceTypeCode	Код типа сервиса
DataSchema	AdditionalServices	field-title	serviceType	serviceType	serviceType	Тип сервиса
DataSchema	AdditionalServices	field-title	serviceSubTypeCode	serviceSubTypeCode	serviceSubTypeCode	Код подтипа сервиса
DataSchema	AdditionalServices	field-title	serviceSubType	serviceSubType	serviceSubType	Подтип сервиса
DataSchema	AdditionalServices	field-title	serviceAgreement	serviceAgreement	serviceAgreement	Имя партнера
DataSchema	AdditionalServices	field-title	serviceStartDate	serviceStartDate	serviceStartDate	Дата начала сервиса
DataSchema	AdditionalServices	field-title	serviceEndDate	serviceEndDate	serviceEndDate	Дата окончания сервиса
UiSchema	AdditionalServices	ui-label	Add	Add	Add	Добавить
ClientAction	AdditionalServicesAddAdditionalService	ui-message	AdditionalServiceTitle	addAdditionalService	addAdditionalService	Список дополнительных сервисов
ClientAction	AdditionalServicesCheckBeforeConfirmSelectAdditionalServices	ui-message	AdditionalServicesAreNotSelected	checkBeforeConfirmSelectAdditionalServices	AdditionalServicesAreNotSelected	Дополнительные сервисы не выбраны
ClientAction	AdditionalServicesAddAdditionalService	ui-message	AdditionalServicesAreNotAvailable	addAdditionalService	AdditionalServicesAreNotAvailable	Нет доступных для выбора дополнительных сервисов
ClientAction	AdditionalServicesAddAdditionalService	ui-message	ProductCodeIsEmpty	addAdditionalService	ProductCodeIsEmpty	Не указан код продукта
