ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
UiSchema	AmendmentInquiries	ui-label	Basic Conditions	Basic Conditions	Основные параметры	Basic Conditions
UiSchema	AmendmentInquiries	ui-label	inquiryNumber	inquiryNumber	Номер запроса	inquiryNumber
UiSchema	AmendmentInquiries	ui-label	createdOn	createdOn	Создан	createdOn
UiSchema	AmendmentInquiries	ui-label	updatedOn	updatedOn	Обновлен	updatedOn
UiSchema	AmendmentInquiries	ui-label	state	state	Статус	state
UiSchema	AmendmentInquiries	ui-label	departmentCode	departmentCode	Код подразделения	departmentCode
UiSchema	AmendmentInquiries	ui-label	department	department	Подразделение	department
UiSchema	AmendmentInquiries	ui-label	inquiryReasons	inquiryReasons	Причина запроса	inquiryReasons
UiSchema	AmendmentInquiries	ui-label	Text of Inquiry	Text of Inquiry	Текст запроса	Text of Inquiry
UiSchema	AmendmentInquiries	ui-label	Enter Inquiry	Enter Inquiry	Создать запрос	Enter Inquiry
Rule	AmendmentInquiriesValidateInquiries	rule	validation@hasActiveCancellationInquiries	validateInquiries	W: По документу есть запросы в не финальном статусе	W: validation@hasActiveCancellationInquiries
