ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
DataSchema	AmendmentReason	field-title	amendmentReason	amendmentReason	amendmentReason	Класс события
DataSchema	AmendmentReason	enum	amendmentReason@byClientCoolOff	byClientCoolOff	byClientCoolOff	Период охлаждения
DataSchema	AmendmentReason	enum	amendmentReason@byClientNonCoolOff	byClientNonCoolOff	byClientNonCoolOff	После периода охлаждения
DataSchema	AmendmentReason	enum	amendmentReason@byCompany	byCompany	byCompany	Неуплата очередного взноса
DataSchema	AmendmentReason	enum	amendmentReason@byCourt	byCourt	byCourt	По решению суда
DataSchema	AmendmentReason	enum	amendmentReason@partialRepayment	partialRepayment	partialRepayment	Частичный возврат взноса
DataSchema	AmendmentReason	enum	amendmentReason@creditRepayment	creditRepayment	creditRepayment	Полное досрочное погашение кредита
DataSchema	AmendmentReason	enum	amendmentReason@individualCommission	individualCommission	individualCommission	По решению ИК
DataSchema	AmendmentReason	enum	amendmentReason@holderDeath	holderDeath	holderDeath	Смерть
DataSchema	AmendmentReason	enum	amendmentReason@partiesAgreement	partiesAgreement	partiesAgreement	По соглашению сторон
