ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DataSchema	BasicAmendmentConditions	field-title	applicationSignDate	applicationSignDate	Дата подписания заявления	applicationSignDate
DataSchema	BasicAmendmentConditions	field-title	applicationReceiveDate	applicationReceiveDate	Дата поступления заявления в СК	applicationReceiveDate
DataSchema	BasicAmendmentConditions	field-title	applicationOperationsReceiveDate	applicationOperationsReceiveDate	Дата получения заявления в ОПЕРУ	applicationOperationsReceiveDate
DataSchema	BasicAmendmentConditions	field-title	applicationOperationsWorkStartDate	applicationOperationsWorkStartDate	Дата принятия в работу заявления	applicationOperationsWorkStartDate
DataSchema	BasicAmendmentConditions	field-title	issueDate	issueDate	Дата заключения доп. соглашения	issueDate
DataSchema	BasicAmendmentConditions	field-title	validFrom	validFrom	Дата вступления в силу изменений / дата расторжения	validFrom
DataSchema	BasicAmendmentConditions	field-title	fullPackageReceiveDate	fullPackageReceiveDate	Дата получения полного комплекта	fullPackageReceiveDate
DataSchema	BasicAmendmentConditions	field-title	outputDate	outputDate	Дата выпуска доп. соглашения	outputDate
DataSchema	BasicAmendmentConditions	field-title	signDate	signDate	Дата подписания доп. соглашения	signDate
UiSchema	BasicAmendmentConditions	ui-label	BasicAmendmentConditions	BasicAmendmentConditions	Основная информация	BasicAmendmentConditions
UiSchema	BasicAmendmentConditions	ui-label	applicationSignDate	applicationSignDate	Дата подписания заявления	applicationSignDate
UiSchema	BasicAmendmentConditions	ui-label	applicationReceiveDate	applicationReceiveDate	Дата поступления заявления в СК	applicationReceiveDate
UiSchema	BasicAmendmentConditions	ui-label	validFrom	validFrom	Дата вступления в силу изменений / дата расторжения	validFrom
UiSchema	BasicAmendmentConditions	ui-label	fullPackageReceiveDate	fullPackageReceiveDate	Дата получения полного комплекта	fullPackageReceiveDate
UiSchema	BasicAmendmentConditions	ui-label	outputDate	outputDate	Дата выпуска доп. соглашения	outputDate
UiSchema	BasicAmendmentConditions	ui-label	signDate	signDate	Дата подписания доп. соглашения	signDate
UiSchema	BasicAmendmentConditions	ui-label	amendmentReason	amendmentReason	Класс события	amendmentReason
Rule	BasicAmendmentConditionsValidateBasicAmendmentConditions	rule	validation@CoolOffValidFrom	validateBasicAmendmentConditions	E: Дата вступления в силу изменений / дата расторжения должна совпадать с датой начала действия договора	E: validation@CoolOffValidFrom
Rule	BasicAmendmentConditionsValidateBasicAmendmentConditions	rule	validation@NonCoolOffValidFrom	validateBasicAmendmentConditions	E: Дата вступления в силу изменений / дата расторжения должна попадать в период действия договора	E: validation@NonCoolOffValidFrom
Rule	BasicAmendmentConditionsValidateBasicAmendmentConditions	rule	validation@ReceiveMethodRequired	validateBasicAmendmentConditions	E: Необходимо заполнить «Способ подачи заявления»	E: validation@ReceiveMethodRequired
Rule	BasicAmendmentConditionsValidateBasicAmendmentConditions	rule	validation@DatesBeforePolicy	validateBasicAmendmentConditions	E: Документы не могут быть получены ранее даты заключения договора	E: validation@DatesBeforePolicy
Rule	BasicAmendmentConditionsValidateBasicAmendmentConditions	rule	validation@ZeroDebtAmount	validateBasicAmendmentConditions	E: Расторжение за неуплату взноса невозможно, т.к. задолженность = 0	E: validation@ZeroDebtAmount
DataSchema	BasicAmendmentConditions	field-title	receiveMethod	receiveMethod	Способ подачи заявления	receiveMethod
DataSchema	BasicAmendmentConditions	enum	receiveMethod@email	email	E-mail от Клиента	email
DataSchema	BasicAmendmentConditions	enum	receiveMethod@office	office	В офисе Общества	office
DataSchema	BasicAmendmentConditions	enum	receiveMethod@personalCabinet	personalCabinet	Личный кабинет	personalCabinet
DataSchema	BasicAmendmentConditions	enum	receiveMethod@post	post	Почтовая служба	post
DataSchema	BasicAmendmentConditions	enum	receiveMethod@partner	partner	Через представителя партнёра / банка	partner
UiSchema	BasicAmendmentConditions	ui-label	receiveMethod	receiveMethod	Способ подачи заявления	receiveMethod
DataSchema	BasicAmendmentConditions	field-title	amendmentSubType	amendmentSubType	Подтип события	amendmentSubType
DataSchema	BasicAmendmentConditions	enum	amendmentSubType@byCompanyDecision	byCompanyDecision	По инициативе Общества	byCompanyDecision
DataSchema	BasicAmendmentConditions	enum	amendmentSubType@byClientDecision	byClientDecision	По инициативе клиента	byClientDecision
DataSchema	BasicAmendmentConditions	enum	amendmentSubType@byCourtDecision	byCourtDecision	По решению суда	byCourtDecision
DataSchema	BasicAmendmentConditions	enum	amendmentSubType@byCommissionDecision	byCommissionDecision	По решению ИК	byCommissionDecision
UiSchema	BasicAmendmentConditions	ui-label	policyNumber	policyNumber	Номер договора	policyNumber
UiSchema	BasicAmendmentConditions	ui-label	policyProductGroup	policyProductGroup	Группа продуктов	policyProductGroup
UiSchema	BasicAmendmentConditions	ui-label	insuranceProductName	insuranceProductName	Продукт	insuranceProductName
UiSchema	BasicAmendmentConditions	ui-label	contractCurrencyName	contractCurrencyName	Валюта договора	contractCurrencyName
UiSchema	BasicAmendmentConditions	ui-label	exchangeRate	exchangeRate	Обменный курс	exchangeRate
UiSchema	BasicAmendmentConditions	ui-label	policyHolderFullName	policyHolderFullName	Страхователь	policyHolderFullName
UiSchema	BasicAmendmentConditions	ui-label	policyIssueDate	policyIssueDate	Дата заключения договора	policyIssueDate
UiSchema	BasicAmendmentConditions	ui-label	policyStartDate	policyStartDate	Дата начала срока страхования	policyStartDate
UiSchema	BasicAmendmentConditions	ui-label	policyEndDate	policyEndDate	Дата окончания срока страхования	policyEndDate
UiSchema	BasicAmendmentConditions	ui-label	applicant	applicant	Заявитель	applicant
UiSchema	BasicAmendmentConditions	ui-label	amendmentSubType	amendmentSubType	Подтип события	amendmentSubType
DataSchema	BasicAmendmentConditions	field-title	applicantFullName	applicantFullName	Заявитель	applicantFullName
UiSchema	BasicAmendmentConditions	ui-label	rejectionText	rejectionText	Причина отказа	rejectionText
UiSchema	BasicAmendmentConditions	ui-label	fixedExchangeRate	fixedExchangeRate	Фиксированный курс	fixedExchangeRate
UiSchema	BasicAmendmentConditions	ui-label	useFixedExchangeRate	useFixedExchangeRate	Использовать фиксированный курс	useFixedExchangeRate
UiSchema	BasicAmendmentConditions	ui-label	editFixedExchangeRate	editFixedExchangeRate	Ручной фикс. курс	editFixedExchangeRate
