ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
UiSchema	BasicInvestmentParameters	ui-label	Basic Investment Parameters	Basic Investment Parameters	Базовые параметры инвестирования	Basic Investment Parameters
UiSchema	BasicInvestmentParameters	ui-label	investmentStrategy	investmentStrategy	Стратегия инвестирования	investmentStrategy
DataSchema	BasicInvestmentParameters	field-title	investmentStrategyCode	investmentStrategyCode	Стратегия инвестирования Код	investmentStrategyCode
DataSchema	BasicInvestmentParameters	field-title	investmentStrategyDescription	investmentStrategyDescription	Стратегия инвестирования	investmentStrategyDescription
DataSchema	BasicInvestmentParameters	field-title	investmentStrategyDescriptionFull	investmentStrategyDescriptionFull	Описание стратегии	investmentStrategyDescriptionFull
DataSchema	BasicInvestmentParameters	field-title	payOffDescription	payOffDescription	Описание pay-off	payOffDescription
DataSchema	BasicInvestmentParameters	field-title	baseActiveDescription	baseActiveDescription	Описание БА	baseActiveDescription
DataSchema	BasicInvestmentParameters	field-title	participationCoeff	participationCoeff	КУ/ИЧ	participationCoeff
DataSchema	BasicInvestmentParameters	field-title	optionPrice	optionPrice	Цена опциона	optionPrice
DataSchema	BasicInvestmentParameters	field-title	barrier	barrier	Барьер	barrier
DataSchema	BasicInvestmentParameters	field-title	barrierAutoCall	barrierAutoCall	Барьер автоотзыва	barrierAutoCall
UiSchema	BasicInvestmentParameters	ui-label	investmentStrategyDescriptionFull	investmentStrategyDescriptionFull	Описание стратегии	investmentStrategyDescriptionFull
UiSchema	BasicInvestmentParameters	ui-label	payOffDescription	payOffDescription	Описание pay-off	payOffDescription
UiSchema	BasicInvestmentParameters	ui-label	baseActiveDescription	baseActiveDescription	Описание БА	baseActiveDescription
UiSchema	BasicInvestmentParameters	ui-label	participationCoeff	participationCoeff	КУ/ИЧ	participationCoeff
UiSchema	BasicInvestmentParameters	ui-label	optionPrice	optionPrice	Цена опциона	optionPrice
UiSchema	BasicInvestmentParameters	ui-label	barrier	barrier	Барьер	barrier
UiSchema	BasicInvestmentParameters	ui-label	barrierAutoCall	barrierAutoCall	Барьер автоотзыва	barrierAutoCall
DataSchema	BasicInvestmentParameters	field-title	participationCoeffByPeriods	participationCoeffByPeriods	КУ/Купон по периодам	participationCoeffByPeriods
UiSchema	BasicInvestmentParameters	ui-label	participationCoeffByPeriods	participationCoeffByPeriods	КУ/Купон по периодам	participationCoeffByPeriods
Rule	BasicInvestmentParametersValidationBasicInvestmentParameters	rule	validation@investmentStrategyIsRequired	validationBasicInvestmentParameters	E: Необходимо указать стратегию инвестирования	E: validation@investmentStrategyIsRequired
Rule	BasicInvestmentParametersValidationBasicInvestmentParameters	rule	validation@managingDirectorDRPKAttachmentIsRequired	validationBasicInvestmentParameters	E: Должно быть приложено вложение типа «Согласование с управляющим директором - УД ДРПК»	E: validation@managingDirectorDRPKAttachmentIsRequired
DataSchema	BasicInvestmentParameters	field-title	emitent	emitent	Эмитент	emitent
DataSchema	BasicInvestmentParameters	field-title	fixRate	fixRate	Ставка фиксации/Купон	fixRate
DataSchema	BasicInvestmentParameters	field-title	intialShare	intialShare	Первоначальная доля инвестиционной части	intialShare
UiSchema	BasicInvestmentParameters	ui-label	fixRate	fixRate	Ставка фиксации/Купон	fixRate
DataSchema	BasicInvestmentParameters	field-title	hedgeCost	hedgeCost	Стоимость Хеджа	hedgeCost
DataSchema	BasicInvestmentParameters	field-title	spreadBA	spreadBA	Спред БА	spreadBA
DataSchema	BasicInvestmentParameters	field-title	payOffShortDescription	payOffShortDescription	Краткое наименование Pay-off	payOffShortDescription
UiSchema	BasicInvestmentParameters	ui-label	hedgeCost	hedgeCost	Стоимость Хеджа	hedgeCost
UiSchema	BasicInvestmentParameters	ui-label	spreadBA	spreadBA	Спред БА	spreadBA
UiSchema	BasicInvestmentParameters	ui-label	payOffShortDescription	payOffShortDescription	Краткое наименование Pay-off	payOffShortDescription
DataSchema	BasicInvestmentParameters	field-title	isManualSetInvestmentParams	isManualSetInvestmentParams	Ручная корректировка	isManualSetInvestmentParams
UiSchema	BasicInvestmentParameters	ui-label	isManualSetInvestmentParams	isManualSetInvestmentParams	Ручная корректировка	isManualSetInvestmentParams
DataSchema	BasicInvestmentParameters	field-title	toolType	toolType	Вид инструмента	toolType
UiSchema	BasicInvestmentParameters	ui-label	toolType	toolType	Вид инструмента	toolType
DataSchema	BasicInvestmentParameters	field-title	calculatingAgent	calculatingAgent	Расчетный агент	calculatingAgent
UiSchema	BasicInvestmentParameters	ui-label	measureToolNominal	measureToolNominal	Единица измерения инструмента	measureToolNominal
UiSchema	BasicInvestmentParameters	ui-label	calculatingAgent	calculatingAgent	Расчетный агент	calculatingAgent
UiSchema	BasicInvestmentParameters	ui-label	priceOfMeasureTool	priceOfMeasureTool	Цена единицы инструмента	priceOfMeasureTool
UiSchema	BasicInvestmentParameters	ui-label	partOfPremiumForTool	partOfPremiumForTool	Доля страховой премии	partOfPremiumForTool
DataSchema	BasicInvestmentParameters	field-title	measureToolNominal	measureToolNominal	Единица измерения инструмента	measureToolNominal
DataSchema	BasicInvestmentParameters	field-title	priceOfMeasureTool	priceOfMeasureTool	Цена единицы инструмента	priceOfMeasureTool
DataSchema	BasicInvestmentParameters	field-title	partOfPremiumForTool	partOfPremiumForTool	Доля страховой премии	partOfPremiumForTool
DataSchema	BasicInvestmentParameters	field-title	variantCode	variantCode	Код вариант	Variant code
DataSchema	BasicInvestmentParameters	field-title	variantDescription	variantDescription	Описание варианта	Cashback
DataSchema	BasicInvestmentParameters	field-title	discount	discount	Дисконт	discount
