ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
UiSchema	CancellationInquiries	ui-label	inquiryNumber	inquiryNumber	Номер запроса	inquiryNumber
UiSchema	CancellationInquiries	ui-label	createdOn	createdOn	Создан	createdOn
UiSchema	CancellationInquiries	ui-label	updatedOn	updatedOn	Обновлен	updatedOn
UiSchema	CancellationInquiries	ui-label	state	state	Статус	state
UiSchema	CancellationInquiries	ui-label	departmentCode	departmentCode	Код подразделения	departmentCode
UiSchema	CancellationInquiries	ui-label	department	department	Подразделение	department
UiSchema	CancellationInquiries	ui-label	Text of Inquiry	Text of Inquiry	Текст запроса	Text of Inquiry
UiSchema	CancellationInquiries	ui-label	Enter Inquiry	Enter Inquiry	Создать запрос	Enter Inquiry
UiSchema	CancellationInquiries	ui-label	Basic Conditions	Basic Conditions	Основные параметры	Basic Conditions
Rule	CancellationInquiriesValidateInquiries	rule	validation@hasActiveCancellationInquiries	validateInquiries	W: По документу есть запросы в не финальном статусе	W: validation@hasActiveCancellationInquiries
UiSchema	CancellationInquiries	ui-label	inquiryReasons	inquiryReasons	Причина запроса	inquiryReasons
