ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
UiSchema	CheckImportedConfigurations	ui-label	CheckImportedConfigsData	CheckImportedConfigsData	CheckImportedConfigsData	Проверка последних загруженных конфигураций
UiSchema	CheckImportedConfigurations	ui-label	configCurrentRows	configCurrentRows	configCurrentRows	Количество строк в текущей (загруженной) версии
UiSchema	CheckImportedConfigurations	ui-label	configCurrentLoadedBy	configCurrentLoadedBy	configCurrentLoadedBy	Кем загружено в текущей (загруженной) версии
UiSchema	CheckImportedConfigurations	ui-label	configCurrentLoadDate	configCurrentLoadDate	configCurrentLoadDate	Дата загрузки в текущей (загруженной) версии
UiSchema	CheckImportedConfigurations	ui-label	configCurrentImportDocumentId	configCurrentImportDocumentId	configCurrentImportDocumentId	Id в текущей (загруженной) версии
UiSchema	CheckImportedConfigurations	ui-label	configPreviousRows	configPreviousRows	configPreviousRows	Количество строк в предыдущей версии
UiSchema	CheckImportedConfigurations	ui-label	configPreviousLoadedBy	configPreviousLoadedBy	configPreviousLoadedBy	Кем загружено в предыдущей версии
UiSchema	CheckImportedConfigurations	ui-label	configPreviousLoadDate	configPreviousLoadDate	configPreviousLoadDate	Дата загрузки в предыдущей версии
UiSchema	CheckImportedConfigurations	ui-label	configPreviousImportDocumentId	configPreviousImportDocumentId	configPreviousImportDocumentId	Id в предыдущей версии
UiSchema	CheckImportedConfigurations	ui-label	configBeforePreviousRows	configBeforePreviousRows	configBeforePreviousRows	Количество строк в версии перед предыдущей
UiSchema	CheckImportedConfigurations	ui-label	configBeforePreviousLoadedBy	configBeforePreviousLoadedBy	configBeforePreviousLoadedBy	Кем загружено в версии перед предыдущей
UiSchema	CheckImportedConfigurations	ui-label	configBeforePreviousLoadDate	configBeforePreviousLoadDate	configBeforePreviousLoadDate	Дата загрузки в версии перед предыдущей
UiSchema	CheckImportedConfigurations	ui-label	configBeforePreviousImportDocumentId	configBeforePreviousImportDocumentId	configBeforePreviousImportDocumentId	Id в версии перед предыдущей
UiSchema	CheckImportedConfigurations	ui-label	configNotification	configNotification	configNotification	Статус
