ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
UiSchema	DeclarationMainConfirmationUI	ui-label	DeclarationMainQuestions	DeclarationMainQuestions	ДЕКЛАРАЦИЯ СТРАХОВАТЕЛЯ И ЗАСТРАХОВАННОГО	DeclarationMainQuestions
UiSchema	DeclarationMainConfirmationUI	ui-label	PolicyHolder	PolicyHolder	Страхователь	PolicyHolder
UiSchema	DeclarationMainConfirmationUI	ui-label	isConfirmedPolicyHolder	isConfirmedPolicyHolder	Подтверждаю	isConfirmedPolicyHolder
UiSchema	DeclarationMainConfirmationUI	ui-label	isNotConfirmedPolicyHolder	isNotConfirmedPolicyHolder	Не подтверждаю	isNotConfirmedPolicyHolder
UiSchema	DeclarationMainConfirmationUI	ui-label	InsuredPerson	InsuredPerson	Застрахованный	InsuredPerson
UiSchema	DeclarationMainConfirmationUI	ui-label	isConfirmedInsuredPerson	isConfirmedInsuredPerson	Подтверждаю	isConfirmedInsuredPerson
UiSchema	DeclarationMainConfirmationUI	ui-label	isNotConfirmedInsuredPerson	isNotConfirmedInsuredPerson	Не подтверждаю	isNotConfirmedInsuredPerson
UiSchema	DeclarationMainConfirmationUI	ui-label	manualCorrection	manualCorrection	Использовать ручную корректировку	manualCorrection
UiSchema	DeclarationMainConfirmationUI	ui-label	commentPolicyHolder	commentPolicyHolder	Комментарий	commentPolicyHolder
UiSchema	DeclarationMainConfirmationUI	ui-label	commentInsuredPerson	commentInsuredPerson	Комментарий	commentInsuredPerson
