ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DataSchema	DeclarationMainEdit	enum	departament@underwriting	underwriting	Андеррайтеры	underwriting
DataSchema	DeclarationMainEdit	enum	departament@compliance	compliance	Комплаенс	compliance
DataSchema	DeclarationMainEdit	enum	departament@legal	legal	Юристы	legal
DataSchema	DeclarationMainEdit	enum	departament@block	block	Блокирование заявки	block
DataSchema	DeclarationMainEdit	enum	departament@podft	podft	ПОД/ФТ	podft
UiSchema	DeclarationMainEdit	ui-label	itemNumber	itemNumber	Номер пункта	itemNumber
UiSchema	DeclarationMainEdit	ui-label	itemText	itemText	Текст пункта	itemText
DataSchema	DeclarationMainEdit	field-title	itemText	itemText	Текст пункта	itemText
DataSchema	DeclarationMainEdit	field-title	departament	departament	Подразделение	departament
UiSchema	DeclarationMainEdit	ui-label	agreementPolicyHolder	agreementPolicyHolder	Согласие страхователя	agreementPolicyHolder
UiSchema	DeclarationMainEdit	ui-label	commentPolicyHolder	commentPolicyHolder	Комментарий страхователя	commentPolicyHolder
UiSchema	DeclarationMainEdit	ui-label	agreementInsuredPerson	agreementInsuredPerson	Согласие застрахованного	agreementInsuredPerson
UiSchema	DeclarationMainEdit	ui-label	commentInsuredPerson	commentInsuredPerson	Комментарий застрахованного	commentInsuredPerson
