ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
UiSchema	DeclarationMedicalEdit	ui-label	itemNumber	itemNumber	Номер пункта	Item Number
UiSchema	DeclarationMedicalEdit	ui-label	itemText	itemText	Текст пункта	Item Text
DataSchema	DeclarationMedicalEdit	field-title	itemText	itemText	Текст пункта	Item Text
DataSchema	DeclarationMedicalEdit	field-title	departament	departament	Подразделение	Departament
UiSchema	DeclarationMedicalEdit	ui-label	agreement	agreement	Согласие застрахованного	Agreement
UiSchema	DeclarationMedicalEdit	ui-label	comment	comment	Комментарий застрахованного	Comment
DataSchema	DeclarationMedicalEdit	enum	departament@underwriting	underwriting	Андеррайтеры	underwriting
DataSchema	DeclarationMedicalEdit	enum	departament@compliance	compliance	Комплаенс	compliance
DataSchema	DeclarationMedicalEdit	enum	departament@legal	legal	Юристы	legal
DataSchema	DeclarationMedicalEdit	enum	departament@block	block	Блокирование заявки	block
