ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DataSchema	DepartmentCodes	enum	departmentCodes@actuary	actuary	Актуарии	actuary
DataSchema	DepartmentCodes	enum	departmentCodes@underwriting	underwriting	Андеррайтеры	underwriting
DataSchema	DepartmentCodes	enum	departmentCodes@accounting	accounting	Бухгалтеры	accounting
DataSchema	DepartmentCodes	enum	departmentCodes@investment	investment	Инвестиции	investment
DataSchema	DepartmentCodes	enum	departmentCodes@compliance	compliance	Комплаенс	compliance
DataSchema	DepartmentCodes	enum	departmentCodes@podft	podft	ПОД/ФТ	podft
DataSchema	DepartmentCodes	enum	departmentCodes@operations	operations	ОПЕРУ	operations
DataSchema	DepartmentCodes	enum	departmentCodes@agentSalesSupport	agentSalesSupport	Агентская поддержка продаж	agentSalesSupport
DataSchema	DepartmentCodes	enum	departmentCodes@partnerSalesSupport	partnerSalesSupport	Партнёрская поддержка продаж	partnerSalesSupport
DataSchema	DepartmentCodes	enum	departmentCodes@claims	claims	Урегулирование убытков	claims
DataSchema	DepartmentCodes	enum	departmentCodes@security	security	Безопасность	security
DataSchema	DepartmentCodes	enum	departmentCodes@products	products	Продуктовая фабрика	products
DataSchema	DepartmentCodes	enum	departmentCodes@legal	legal	Юристы	legal
DataSchema	DepartmentCodes	enum	departmentCodes@methodology	methodology	Методология	methodology
DataSchema	DepartmentCodes	enum	departmentCodes@UKSP	UKSP	УКСП	UKSP
DataSchema	DepartmentCodes	enum	departmentCodes@salesPSB	salesPSB	Продажи ПСБ	salesPSB
DataSchema	DepartmentCodes	enum	departmentCodes@administratorAAandAVR	administratorAAandAVR	Администратор АД и АВР	administratorAAandAVR
DataSchema	DepartmentCodes	enum	departmentCodes@specialistAAandAVR	specialistAAandAVR	Специалист АВР и АД	specialistAAandAVR
DataSchema	DepartmentCodes	enum	departmentCodes@claimDirector	claimDirector	Урегулирование убытков - руководитель	claimDirector
DataSchema	DepartmentCodes	enum	departmentCodes@methodologyDirector	methodologyDirector	Директор по методологии	methodologyDirector
DataSchema	DepartmentCodes	enum	departmentCodes@operationsDirector	operationsDirector	ОПЕРУ-руководитель	operationsDirector
DataSchema	DepartmentCodes	enum	departmentCodes@salesBFKO	salesBFKO	Продажи БФКО	salesBFKO
DataSchema	DepartmentCodes	enum	departmentCodes@salesDemo	salesDemo	Продажи Демо	salesDemo
DataSchema	DepartmentCodes	enum	departmentCodes@salesAKCEPT	salesAKCEPT	Продажи АКЦЕПТ	salesAKCEPT
DataSchema	DepartmentCodes	enum	departmentCodes@salesAKBARS	salesAKBARS	Продажи АКБАРС	salesAKBARS
DataSchema	DepartmentCodes	enum	departmentCodes@salesZENIT	salesZENIT	Продажи ЗЕНИТ	salesZENIT
DataSchema	DepartmentCodes	enum	departmentCodes@salesPSBVIP	salesPSBVIP	Продажи ПСБ Прайвет	salesPSBVIP
DataSchema	DepartmentCodes	enum	departmentCodes@salesBFKOAuto	salesBFKOAuto	Продажи БФКО Авто	salesBFKOAuto
DataSchema	DepartmentCodes	enum	departmentCodes@salesOAS	salesOAS	Продажи ОАС	salesOAS
DataSchema	DepartmentCodes	enum	departmentCodes@callCenter	callCenter	Колл-центр	callCenter
DataSchema	DepartmentCodes	enum	departmentCodes@clientServiceCenter	clientServiceCenter	Направление клиентского сервиса	clientServiceCenter
DataSchema	DepartmentCodes	enum	departmentCodes@salesMINBANK	salesMINBANK	Продажи МИНБанк	salesMINBANK
DataSchema	DepartmentCodes	enum	departmentCodes@audit	audit	Внутренний аудит	audit
DataSchema	DepartmentCodes	enum	departmentCodes@deputyDirector	deputyDirector	Зам. ген. директора	deputyDirector
DataSchema	DepartmentCodes	enum	departmentCodes@salesBFKOVIP	salesBFKOVIP	Продажи БФКО ПРайвет	salesBFKOVIP
DataSchema	DepartmentCodes	enum	departmentCodes@salesSOVKOMVIP	salesSOVKOMVIP	Продажи Совкомбанк ПРайвет	salesSOVKOMVIP
DataSchema	DepartmentCodes	enum	departmentCodes@salesROSBANKVIP	salesROSBANKVIP	Продажи Росбанк ПРайвет	salesROSBANKVIP
DataSchema	DepartmentCodes	enum	departmentCodes@claimAdministrator	claimAdministrator	Администратор убытков	claimAdministrator
DataSchema	DepartmentCodes	enum	departmentCodes@salesSMP	salesSMP	Продажи СМП банк	salesSMP
DataSchema	DepartmentCodes	enum	departmentCodes@salesREINVEST	salesREINVEST	Продажи Реинвест	salesREINVEST
DataSchema	DepartmentCodes	enum	departmentCodes@endowmentAdministrator	endowmentAdministrator	Администратор Дожитий/ДИД	endowmentAdministrator
