ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
DataSchema	EconomicParameter	field-title	lastUpdateDate	lastUpdateDate	lastUpdateDate	Дата последнего обновления
DataSchema	EconomicParameter	field-title	agentAgreement	agentAgreement	agentAgreement	Агентский договор
DataSchema	EconomicParameter	field-title	externalNumber	externalNumber	externalNumber	Агентский договор (внешний номер)
DataSchema	EconomicParameter	field-title	partner	partner	partner	Партнёр
DataSchema	EconomicParameter	field-title	partnerCode	partnerCode	partnerCode	Партнёр (код)
DataSchema	EconomicParameter	field-title	partnerDescription	partnerDescription	partnerDescription	Партнёр (описание)
DataSchema	EconomicParameter	field-title	insuranceProduct	insuranceProduct	insuranceProduct	Страховой продукт
DataSchema	EconomicParameter	field-title	productCode	productCode	productCode	Страховой продукт (код)
DataSchema	EconomicParameter	field-title	productDescription	productDescription	productDescription	Страховой продукт (описание)
DataSchema	EconomicParameter	field-title	productDescriptionWithCode	productDescriptionWithCode	productDescriptionWithCode	Страховой продукт (код и описание)
DataSchema	EconomicParameter	field-title	productGroup	productGroup	productGroup	Группа продуктов
DataSchema	EconomicParameter	field-title	policyIssueDateStart	policyIssueDateStart	policyIssueDateStart	Дата заключения договора c
DataSchema	EconomicParameter	field-title	policyIssueDateEnd	policyIssueDateEnd	policyIssueDateEnd	Дата заключения договора по
DataSchema	EconomicParameter	field-title	insuranceTermFrom	insuranceTermFrom	insuranceTermFrom	Срок страхования с
DataSchema	EconomicParameter	field-title	insuranceTermTo	insuranceTermTo	insuranceTermTo	Срок страхования по
DataSchema	EconomicParameter	field-title	currency	currency	currency	Валюта
DataSchema	EconomicParameter	field-title	currencyCode	currencyCode	currencyCode	Валюта (код)
DataSchema	EconomicParameter	field-title	currencyDesc	currencyDesc	currencyDesc	Валюта (описание)
DataSchema	EconomicParameter	field-title	currencyNumericCode	currencyNumericCode	currencyNumericCode	Валюта (числовой код)
